office,district,candidate,incumbent,party,votes,pct
State Representative,43  Unexpired Term,Juan M. Escobar,False,DEM,1772,26.41
State Representative,43  Unexpired Term,Eliud Garcia,False,DEM,127,1.89
State Representative,43  Unexpired Term,Ron Lozano,False,REP,113,1.68
State Representative,43  Unexpired Term,James R. Matz,False,REP,1756,26.17
State Representative,43  Unexpired Term,Dolores Munoz,False,DEM,674,10.05
State Representative,43  Unexpired Term,Victor Rubalcaba,False,DEM,336,5.01
State Representative,43  Unexpired Term,Joey Trevino,False,DEM,357,5.32
State Representative,43  Unexpired Term,Richard Valdez,False,DEM,1429,21.30
State Representative,43  Unexpired Term,Debra Winger,False,DEM,145,2.16
State Representative,43  Unexpired Term,Total,,,6709,
