county,office,district,candidate,incumbent,party,votes,pct
BROOKS,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,441,74.12
BROOKS,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,0,0.00
BROOKS,State Representative,43 Unexpired Term,Ron Lozano,False,REP,5,0.84
BROOKS,State Representative,43 Unexpired Term,James R. Matz,False,REP,7,1.18
BROOKS,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,10,1.68
BROOKS,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,19,3.19
BROOKS,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,27,4.54
BROOKS,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,75,12.61
BROOKS,State Representative,43 Unexpired Term,Debra Winger,False,DEM,11,1.85
BROOKS,State Representative,43 Unexpired Term,Total,,,595,
CAMERON,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,30,1.09
CAMERON,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,110,3.99
CAMERON,State Representative,43 Unexpired Term,Ron Lozano,False,REP,58,2.10
CAMERON,State Representative,43 Unexpired Term,James R. Matz,False,REP,1326,48.08
CAMERON,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,329,11.93
CAMERON,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,28,1.02
CAMERON,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,42,1.52
CAMERON,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,780,28.28
CAMERON,State Representative,43 Unexpired Term,Debra Winger,False,DEM,55,1.99
CAMERON,State Representative,43 Unexpired Term,Total,,,2758,
JIM HOGG,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,74,19.32
JIM HOGG,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,1,0.26
JIM HOGG,State Representative,43 Unexpired Term,Ron Lozano,False,REP,7,1.83
JIM HOGG,State Representative,43 Unexpired Term,James R. Matz,False,REP,11,2.87
JIM HOGG,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,32,8.36
JIM HOGG,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,4,1.04
JIM HOGG,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,237,61.88
JIM HOGG,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,7,1.83
JIM HOGG,State Representative,43 Unexpired Term,Debra Winger,False,DEM,10,2.61
JIM HOGG,State Representative,43 Unexpired Term,Total,,,383,
KENEDY,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,29,50.00
KENEDY,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,0,0.00
KENEDY,State Representative,43 Unexpired Term,Ron Lozano,False,REP,3,5.17
KENEDY,State Representative,43 Unexpired Term,James R. Matz,False,REP,8,13.79
KENEDY,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,6,10.34
KENEDY,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,2,3.45
KENEDY,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,0,0.00
KENEDY,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,9,15.52
KENEDY,State Representative,43 Unexpired Term,Debra Winger,False,DEM,1,1.72
KENEDY,State Representative,43 Unexpired Term,Total,,,58,
KLEBERG,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,1175,66.88
KLEBERG,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,10,0.57
KLEBERG,State Representative,43 Unexpired Term,Ron Lozano,False,REP,20,1.14
KLEBERG,State Representative,43 Unexpired Term,James R. Matz,False,REP,180,10.24
KLEBERG,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,192,10.93
KLEBERG,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,12,0.68
KLEBERG,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,40,2.28
KLEBERG,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,91,5.18
KLEBERG,State Representative,43 Unexpired Term,Debra Winger,False,DEM,37,2.11
KLEBERG,State Representative,43 Unexpired Term,Total,,,1757,
WILLACY,State Representative,43 Unexpired Term,Juan M. Escobar,False,DEM,23,1.99
WILLACY,State Representative,43 Unexpired Term,Eliud Garcia,False,DEM,6,0.52
WILLACY,State Representative,43 Unexpired Term,Ron Lozano,False,REP,20,1.73
WILLACY,State Representative,43 Unexpired Term,James R. Matz,False,REP,224,19.34
WILLACY,State Representative,43 Unexpired Term,Dolores Munoz,False,DEM,105,9.07
WILLACY,State Representative,43 Unexpired Term,Victor Rubalcaba,False,DEM,271,23.40
WILLACY,State Representative,43 Unexpired Term,Joey Trevino,False,DEM,11,0.95
WILLACY,State Representative,43 Unexpired Term,Richard Valdez,False,DEM,467,40.33
WILLACY,State Representative,43 Unexpired Term,Debra Winger,False,DEM,31,2.68
WILLACY,State Representative,43 Unexpired Term,Total,,,1158,
