office,district,candidate,incumbent,party,votes,pct
State Representative,97  Unexpired Term,Dan Barrett,False,DEM,5365,52.19
State Representative,97  Unexpired Term,Mark M. Shelton,False,REP,4915,47.81
State Representative,97  Unexpired Term,Total,,,10280,
