county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Colorado,Precinct 101,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 102,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 103,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 201,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 202,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 302,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 303,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 304,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 305,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 401,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 402,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 209,REGISTERED VOTERS,,,,0,0,0,0
Colorado,Precinct 101,BALLOTS CAST,,,,1583,182,1142,259
Colorado,Precinct 102,BALLOTS CAST,,,,217,21,118,78
Colorado,Precinct 103,BALLOTS CAST,,,,468,34,211,223
Colorado,Precinct 201,BALLOTS CAST,,,,2283,224,1776,283
Colorado,Precinct 202,BALLOTS CAST,,,,439,46,220,173
Colorado,Precinct 302,BALLOTS CAST,,,,927,94,588,245
Colorado,Precinct 303,BALLOTS CAST,,,,464,34,343,87
Colorado,Precinct 304,BALLOTS CAST,,,,420,33,277,110
Colorado,Precinct 305,BALLOTS CAST,,,,1292,119,1008,165
Colorado,Precinct 401,BALLOTS CAST,,,,294,31,217,46
Colorado,Precinct 402,BALLOTS CAST,,,,1626,183,1184,259
Colorado,Precinct 209,BALLOTS CAST,,,,7,4,1,2
Colorado,Precinct 101,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 102,BALLOTS CAST - BLANK,,,,1,0,0,1
Colorado,Precinct 103,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 201,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 202,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 302,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 303,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 304,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 305,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 401,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 402,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 209,BALLOTS CAST - BLANK,,,,0,0,0,0
Colorado,Precinct 101,President,,REP,Donald J. Trump,1141,92,841,208
Colorado,Precinct 102,President,,REP,Donald J. Trump,170,8,94,68
Colorado,Precinct 103,President,,REP,Donald J. Trump,404,22,182,200
Colorado,Precinct 201,President,,REP,Donald J. Trump,1781,128,1424,229
Colorado,Precinct 202,President,,REP,Donald J. Trump,376,28,187,161
Colorado,Precinct 302,President,,REP,Donald J. Trump,792,54,511,227
Colorado,Precinct 303,President,,REP,Donald J. Trump,392,14,298,80
Colorado,Precinct 304,President,,REP,Donald J. Trump,357,22,242,93
Colorado,Precinct 305,President,,REP,Donald J. Trump,1002,69,811,122
Colorado,Precinct 401,President,,REP,Donald J. Trump,177,7,139,31
Colorado,Precinct 402,President,,REP,Donald J. Trump,880,66,670,144
Colorado,Precinct 101,President,,DEM,Joseph R. Biden,425,86,292,47
Colorado,Precinct 102,President,,DEM,Joseph R. Biden,42,13,21,8
Colorado,Precinct 103,President,,DEM,Joseph R. Biden,62,12,28,22
Colorado,Precinct 201,President,,DEM,Joseph R. Biden,477,95,332,50
