county,precinct,office,district,party,candidate,votes,mail,provisional,early_voting,election_day
Starr,Precinct 1,Ballots Cast,,,,1563,101,0,1203,259
Starr,Precinct 1,Ballots Cast Blank,,,,5,4,0,1,0
Starr,Precinct 1,President,,REP,Donald J. Trump,682,15,0,537,130
Starr,Precinct 1,President,,DEM,Joseph R. Biden,843,81,0,640,122
Starr,Precinct 1,President,,LBT,Jo Jorgensen,7,0,0,6,1
Starr,Precinct 1,President,,GRE,Howie Hawkins,6,0,0,5,1
Starr,Precinct 1,President,,,Write-ins,1,0,0,1,0
Starr,Precinct 1,U.S. Senate,,REP,John Cornyn,544,22,0,423,99
Starr,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",789,72,0,599,118
Starr,Precinct 1,U.S. Senate,,LBT,Kerry Douglas McKennon,25,0,0,16,9
Starr,Precinct 1,U.S. Senate,,GRE,David B. Collins,33,0,0,29,4
Starr,Precinct 1,U.S. Senate,,,Write-ins,1,0,0,1,0
Starr,Precinct 1,U.S. House,28,REP,Sandra Whitten,367,8,0,294,65
Starr,Precinct 1,U.S. House,28,DEM,Henry Cuellar,1049,87,0,798,164
Starr,Precinct 1,U.S. House,28,LBT,Bekah Congdon,19,1,0,14,4
Starr,Precinct 1,Railroad Commissioner,,REP,"James ""Jim"" Wright",459,14,0,359,86
Starr,Precinct 1,Railroad Commissioner,,DEM,Chrysta Castaneda,846,78,0,633,135
Starr,Precinct 1,Railroad Commissioner,,LBT,Matt Sterett,23,1,0,20,2
Starr,Precinct 1,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",23,0,0,18,5
Starr,Precinct 1,State Senate,21,REP,Frank Pomeroy,412,10,0,331,71
Starr,Precinct 1,State Senate,21,DEM,Judith Zaffirini,975,85,0,734,156
Starr,Precinct 1,State Representative,31,REP,Marian Knowlton,317,3,0,263,51
Starr,Precinct 1,State Representative,31,DEM,Ryan Guillen,1127,93,0,847,187
Starr,Precinct 2,Ballots Cast,,,,2309,125,0,1807,377
Starr,Precinct 2,Ballots Cast Blank,,,,7,6,0,1,0
Starr,Precinct 2,President,,REP,Donald J. Trump,1077,25,0,854,198
Starr,Precinct 2,President,,DEM,Joseph R. Biden,1183,91,0,918,174
Starr,Precinct 2,President,,LBT,Jo Jorgensen,11,1,0,9,1
Starr,Precinct 2,President,,GRE,Howie Hawkins,9,0,0,9,0
Starr,Precinct 2,President,,,Write-ins,1,0,0,1,0
Starr,Precinct 2,U.S. Senate,,REP,John Cornyn,835,26,0,672,137
Starr,Precinct 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",1073,88,0,830,155
Starr,Precinct 2,U.S. Senate,,LBT,Kerry Douglas McKennon,54,0,0,42,12
Starr,Precinct 2,U.S. Senate,,GRE,David B. Collins,48,0,0,41,7
Starr,Precinct 2,U.S. Senate,,,Write-ins,4,0,0,4,0
Starr,Precinct 2,U.S. House,28,REP,Sandra Whitten,579,11,0,465,103
Starr,Precinct 2,U.S. House,28,DEM,Henry Cuellar,1497,104,0,1177,216
Starr,Precinct 2,U.S. House,28,LBT,Bekah Congdon,32,2,0,26,4
Starr,Precinct 2,Railroad Commissioner,,REP,"James ""Jim"" Wright",724,18,0,584,122
Starr,Precinct 2,Railroad Commissioner,,DEM,Chrysta Castaneda,1155,96,0,895,164
Starr,Precinct 2,Railroad Commissioner,,LBT,Matt Sterett,44,1,0,34,9
Starr,Precinct 2,Railroad Commissioner,,GRE,"Katija ""Kat"" Gruene",32,0,0,26,6
Starr,Precinct 2,State Senate,21,REP,Frank Pomeroy,612,9,0,503,100
Starr,Precinct 2,State Senate,21,DEM,Judith Zaffirini,1401,108,0,1084,209
Starr,Precinct 2,State Representative,31,REP,Marian Knowlton,497,6,0,405,86
Starr,Precinct 2,State Representative,31,DEM,Ryan Guillen,1620,110,0,1266,244
Starr,Precinct 3,Ballots Cast,,,,1129,86,0,850,193
Starr,Precinct 3,Ballots Cast Blank,,,,1,0,0,1,0
Starr,Precinct 3,President,,REP,Donald J. Trump,533,36,0,398,99
Starr,Precinct 3,President,,DEM,Joseph R. Biden,554,50,0,416,88
Starr,Precinct 3,President,,LBT,Jo Jorgensen,6,0,0,5,1
Starr,Precinct 3,President,,GRE,Howie Hawkins,7,0,0,6,1
Starr,Precinct 3,President,,,Write-ins,2,0,0,2,0
Starr,Precinct 3,U.S. Senate,,REP,John Cornyn,287,19,0,219,49
Starr,Precinct 3,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",502,42,0,381,79
Starr,Precinct 3,U.S. Senate,,LBT,Kerry Douglas McKennon,24,0,0,22,2
Starr,Precinct 3,U.S. Senate,,GRE,David B. Collins,26,0,0,22,4
Starr,Precinct 3,U.S. Senate,,,Write-ins,3,0,0,3,0
Starr,Precinct 3,U.S. House,28,REP,Sandra Whitten,191,10,0,144,37
Starr,Precinct 3,U.S. House,28,DEM,Henry Cuellar,802,70,0,610,122
Starr,Precinct 3,U.S. House,28,LBT,Bekah Congdon,12,1,0,7,4
Starr,Precinct 3,Railroad Commissioner,,REP,"James ""Jim"" Wright",259,12,0,201,46
Starr,Precinct 3,Railroad Commissioner,,DEM,Chrysta Castaneda,500,41,0,383,76
