county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Hill,2 HILLSBORO,Ballots Cast,,,,,,,668
Hill,2 HILLSBORO,Registered Voters,,,,,,,1153
Hill,2 HILLSBORO,President,,Donald J. Trump / Michael R. Pence,REP,24,377,74,475
Hill,2 HILLSBORO,President,,Joseph R. Biden / Kamala D. Harris,DEM,24,121,32,177
Hill,2 HILLSBORO,President,,Jo Jorgensen / Jeremy Spike Cohen,LIB,0,4,6,10
Hill,2 HILLSBORO,President,,Howie Hawkins / Angela Walker,GRN,0,1,0,1
Hill,2 HILLSBORO,President,,Abram Loeb / Jennifer Jairala (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Brian Carroll / Amar Patel (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Gloria La Riva / Leonard Peltier (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Jesse Cuellar / Jimmy Monreal (W),,0,0,0,0
Hill,2 HILLSBORO,President,,President R. Boddie / Eric C. Stoneham (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Robert Morrow / Anne Beckett (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Todd Cella / Tim Cella (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Tom Hoefling / Andy Prior (W),,0,0,0,0
Hill,2 HILLSBORO,President,,Under Votes,,0,4,0,4
Hill,2 HILLSBORO,President,,Over Votes,,0,1,0,1
Hill,2 HILLSBORO,U.S. Senate,,John Cornyn,REP,24,380,71,475
Hill,2 HILLSBORO,U.S. Senate,,Mary MJ Hegar,DEM,22,110,26,158
Hill,2 HILLSBORO,U.S. Senate,,Kerry Douglas McKennon,LIB,2,10,7,19
Hill,2 HILLSBORO,U.S. Senate,,David B. Collins,GRN,0,4,4,8
Hill,2 HILLSBORO,U.S. Senate,,Ricardo Turullols-Bonilla (W),,0,0,0,0
Hill,2 HILLSBORO,U.S. Senate,,Under Votes,,0,4,4,8
Hill,2 HILLSBORO,U.S. Senate,,Over Votes,,0,0,0,0
Hill,2 HILLSBORO,U.S. House,25,Roger Williams,REP,22,381,72,475
Hill,2 HILLSBORO,U.S. House,25,Julie Oliver,DEM,26,110,33,169
Hill,2 HILLSBORO,U.S. House,25,Bill Kelsey,LIB,0,12,3,15
