county,precinct,office,district,candidate,party,absentee,early_voting,election_day,limited,provisional,votes
Parker,100 - BS4,Ballots Cast,,,,,,,,,3225
Parker,100 - BS4,Registered Voters,,,,,,,,,4234
Parker,100 - BS4,President,,Donald J. Trump Michael R. Pence,REP,116,2047,307,21,20,2511
Parker,100 - BS4,President,,Joseph R. Biden Kamala D. Harris,DEM,97,487,59,3,15,661
Parker,100 - BS4,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,2,20,7,0,0,29
Parker,100 - BS4,President,,Howie Hawkins Angela Walker,GRN,2,5,1,0,1,9
Parker,100 - BS4,President,,Abram Loeb/Jennifer Jairala (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Brian Carroll/Amar Patel (W),,0,0,1,0,0,1
Parker,100 - BS4,President,,Gloria La Riva/Leonard Peltier (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Jesse Cuellar/Jimmy Monreal (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Kasey Wells/Rachel Wells (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,President R. Boddie/Eric C. Stoneham (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Robert Morrow/Anne Beckett (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Todd Cella/Tim Cella (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Tom Hoefling/Andy Prior (W),,0,0,0,0,0,0
Parker,100 - BS4,President,,Under Votes,,1,9,4,0,0,14
Parker,100 - BS4,President,,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,U.S. Senate,,John Cornyn,REP,119,2041,309,20,20,2509
Parker,100 - BS4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,86,448,50,3,15,602
Parker,100 - BS4,U.S. Senate,,Kerry Douglas McKennon,LIB,3,45,10,0,0,58
Parker,100 - BS4,U.S. Senate,,David B. Collins,GRN,2,13,5,0,0,20
Parker,100 - BS4,U.S. Senate,,Ricardo Turullols-Bonilla (W),,0,0,0,0,0,0
Parker,100 - BS4,U.S. Senate,,Under Votes,,8,21,5,1,1,36
Parker,100 - BS4,U.S. Senate,,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,U.S. House,12,Kay Granger,REP,123,2092,315,17,22,2569
Parker,100 - BS4,U.S. House,12,Lisa Welch,DEM,81,381,43,2,13,520
Parker,100 - BS4,U.S. House,12,Trey Holcomb,LIB,4,67,14,0,0,85
Parker,100 - BS4,U.S. House,12,Under Votes,,10,28,7,5,1,51
Parker,100 - BS4,U.S. House,12,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,Railroad Commissioner,,"James ""Jim"" Wright",REP,102,2054,309,20,22,2507
Parker,100 - BS4,Railroad Commissioner,,Chrysta Castañeda,DEM,64,405,49,3,13,534
Parker,100 - BS4,Railroad Commissioner,,Matt Sterett,LIB,2,57,9,0,0,68
Parker,100 - BS4,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,3,14,0,0,0,17
Parker,100 - BS4,Railroad Commissioner,,Under Votes,,47,38,12,1,1,99
Parker,100 - BS4,Railroad Commissioner,,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,"Chief Justice, Supreme Court",,Nathan Hecht,REP,101,2047,307,18,19,2492
Parker,100 - BS4,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,71,421,49,4,16,561
Parker,100 - BS4,"Chief Justice, Supreme Court",,Mark Ash,LIB,0,56,9,1,0,66
Parker,100 - BS4,"Chief Justice, Supreme Court",,Under Votes,,46,44,14,1,1,106
Parker,100 - BS4,"Chief Justice, Supreme Court",,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,"Justice, Supreme Court, Place 6 Unexpired Term",,Jane Bland,REP,103,2097,311,20,19,2550
Parker,100 - BS4,"Justice, Supreme Court, Place 6 Unexpired Term",,Kathy Cheng,DEM,68,423,53,2,14,560
Parker,100 - BS4,"Justice, Supreme Court, Place 6 Unexpired Term",,Under Votes,,47,48,15,2,3,115
Parker,100 - BS4,"Justice, Supreme Court, Place 6 Unexpired Term",,Over Votes,,0,0,0,0,0,0
Parker,100 - BS4,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,100,2044,309,19,21,2493
Parker,100 - BS4,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,69,418,47,2,15,551
Parker,100 - BS4,"Justice, Supreme Court, Place 7",,William Bryan Strange III,LIB,1,55,10,1,0,67
Parker,100 - BS4,"Justice, Supreme Court, Place 7",,Under Votes,,48,51,13,2,0,114
