county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Stonewall,Precinct 1,Ballots Cast,,,,180,15,117,48
Stonewall,Precinct 1,President,,Donald J. Trump,REP,161,8,111,42
Stonewall,Precinct 1,President,,Joseph R. Biden,DEM,16,5,5,6
Stonewall,Precinct 1,President,,"Jo Jorgensen",LIB,1,1,0,0
Stonewall,Precinct 1,President,,Howie Hawkinss,GRN,1,0,1,0
Stonewall,Precinct 1,President,,Write-in,,0,0,0,0
Stonewall,Precinct 1,President,,Over Votes,,0,0,0,0
Stonewall,Precinct 1,President,,Under Votes,,1,1,0,0
Stonewall,Precinct 1,U.S. Senate,,John Cornyn,REP,153,8,104,41
Stonewall,Precinct 1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,18,7,7,4
Stonewall,Precinct 1,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Stonewall,Precinct 1,U.S. Senate,,David B. Collins,GRN,1,0,1,0
Stonewall,Precinct 1,U.S. Senate,,Write-in,,0,0,0,0
Stonewall,Precinct 1,U.S. Senate,,Over Votes,,0,0,0,0
Stonewall,Precinct 1,U.S. Senate,,Under Votes,,8,0,5,3
Stonewall,Precinct 1,U.S. House,19,Jodey C. Arrington,REP,153,8,103,42
Stonewall,Precinct 1,U.S. House,19,Tom Watson,DEM,16,7,6,3
Stonewall,Precinct 1,U.S. House,19,Joe Burnes,LIB,0,0,0,0
Stonewall,Precinct 1,U.S. House,19,Over Votes,,0,0,0,0
Stonewall,Precinct 1,U.S. House,19,Under Votes,,11,0,8,3
Stonewall,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,148,8,99,41
Stonewall,Precinct 1,Railroad Commissioner,,Chrysta Castaneda,DEM,15,7,5,3
Stonewall,Precinct 1,Railroad Commissioner,,Matt Sterett,LIB,3,0,2,1
Stonewall,Precinct 1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Stonewall,Precinct 1,Railroad Commissioner,,Over Votes,,0,0,0,0
Stonewall,Precinct 1,Railroad Commissioner,,Under Votes,,13,0,10,3
Stonewall,Precinct 1,State Senate,28,Charles Perry,REP,148,12,95,41
Stonewall,Precinct 1,State Senate,28,Over Votes,,0,0,0,0
Stonewall,Precinct 1,State Senate,28,Under Votes,,32,3,22,7
Stonewall,Precinct 1,State Representative,68,Drew Springer,REP,148,8,101,39
Stonewall,Precinct 1,State Representative,68,Patsy Ledbetter,DEM,16,6,4,6
Stonewall,Precinct 1,State Representative,68,Over Votes,,0,0,0,0
Stonewall,Precinct 1,State Representative,68,Under Votes,,16,1,12,3
Stonewall,Precinct 2,Ballots Cast,,,,197,16,128,53
Stonewall,Precinct 2,President,,Donald J. Trump,REP,163,10,109,44
Stonewall,Precinct 2,President,,Joseph R. Biden,DEM,31,6,18,7
Stonewall,Precinct 2,President,,"Jo Jorgensen",LIB,1,0,0,1
Stonewall,Precinct 2,President,,Howie Hawkins,GRN,0,0,0,0
Stonewall,Precinct 2,President,,Write-in,,0,0,0,0
Stonewall,Precinct 2,President,,Over Votes,,0,0,0,0
Stonewall,Precinct 2,President,,Under Votes,,2,0,1,1
Stonewall,Precinct 2,U.S. Senate,,John Cornyn,REP,158,11,104,43
Stonewall,Precinct 2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,33,5,18,10
Stonewall,Precinct 2,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Stonewall,Precinct 2,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Stonewall,Precinct 2,U.S. Senate,,Write-in,,0,0,0,0
Stonewall,Precinct 2,U.S. Senate,,Over Votes,,0,0,0,0
Stonewall,Precinct 2,U.S. Senate,,Under Votes,,6,0,6,0
Stonewall,Precinct 2,U.S. House,19,Jodey C. Arrington,REP,158,11,103,44
Stonewall,Precinct 2,U.S. House,19,Tom Watson,DEM,31,5,18,8
Stonewall,Precinct 2,U.S. House,19,Joe Burnes,LIB,0,0,0,0
Stonewall,Precinct 2,U.S. House,19,Over Votes,,0,0,0,0
Stonewall,Precinct 2,U.S. House,19,Under Votes,,8,0,7,1
Stonewall,Precinct 2,Railroad Commissioner,,"James ""Jim"" Wright",REP,156,10,103,43
Stonewall,Precinct 2,Railroad Commissioner,,Chrysta Castaneda,DEM,31,5,18,8
Stonewall,Precinct 2,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Stonewall,Precinct 2,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,0,1
Stonewall,Precinct 2,Railroad Commissioner,,Over Votes,,0,0,0,0
Stonewall,Precinct 2,Railroad Commissioner,,Under Votes,,9,1,7,1
Stonewall,Precinct 2,State Senate,28,Charles Perry,REP,149,9,95,45
Stonewall,Precinct 2,State Senate,28,Over Votes,,0,0,0,0
Stonewall,Precinct 2,State Senate,28,Under Votes,,48,7,33,8
Stonewall,Precinct 2,State Representative,68,Drew Springer,REP,152,10,99,43
Stonewall,Precinct 2,State Representative,68,Patsy Ledbetter,DEM,32,6,18,8
Stonewall,Precinct 2,State Representative,68,Over Votes,,0,0,0,0
Stonewall,Precinct 2,State Representative,68,Under Votes,,13,0,11,2
Stonewall,Precinct 3,Ballots Cast,,,,180,15,124,41
Stonewall,Precinct 3,President,,Donald J. Trump,REP,155,10,111,34
Stonewall,Precinct 3,President,,Joseph R. Biden,DEM,24,4,13,7
Stonewall,Precinct 3,President,,"Jo Jorgensen",LIB,0,0,0,0
Stonewall,Precinct 3,President,,Howie Hawkins,GRN,0,0,0,0
Stonewall,Precinct 3,President,,Write-in,,0,0,0,0
Stonewall,Precinct 3,President,,Over Votes,,0,0,0,0
Stonewall,Precinct 3,President,,Under Votes,,1,1,0,0
Stonewall,Precinct 3,U.S. Senate,,John Cornyn,REP,150,8,109,33
Stonewall,Precinct 3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,24,5,13,6
Stonewall,Precinct 3,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Stonewall,Precinct 3,U.S. Senate,,David B. Collins,GRN,0,0,0,0
