candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Donald J Trump,President,,REP,Taylor,101 - 0,139,1290,200,1629
Joseph R Biden,President,,DEM,Taylor,101 - 0,142,581,81,804
Jo Jorgensen,President,,LIB,Taylor,101 - 0,0,32,9,41
Howie Hawkins,President,,GRN,Taylor,101 - 0,2,7,1,10
Abram Loeb (W),President,,,Taylor,101 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,101 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,101 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,101 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,101 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,101 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,101 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,101 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,101 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,101 - 0,143,1292,187,1622
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,101 - 0,129,540,75,744
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,101 - 0,2,43,15,60
David B. Collins,U.S. Senate,,GRN,Taylor,101 - 0,3,10,3,16
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,101 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,101 - 0,152,1329,200,1681
Tom Watson,U.S. House,19,DEM,Taylor,101 - 0,120,494,63,677
Joe Bumes,U.S. House,19,LIB,Taylor,101 - 0,2,60,17,79
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,101 - 0,138,1272,186,1596
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,101 - 0,120,507,67,694
Matt Sterett,Railroad Commissioner,,LIB,Taylor,101 - 0,2,55,19,76
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,101 - 0,4,25,1,30
Charles Perry,State Senate,28,REP,Taylor,101 - 0,188,1536,239,1963
Stan Lambert,State Representative,71,REP,Taylor,101 - 0,153,1371,206,1730
Samuel Hatton,State Representative,71,DEM,Taylor,101 - 0,113,493,68,674
Donald J Trump,President,,REP,Taylor,102 - 0,81,770,234,1085
Joseph R Biden,President,,DEM,Taylor,102 - 0,76,338,81,495
Jo Jorgensen,President,,LIB,Taylor,102 - 0,2,22,17,41
Howie Hawkins,President,,GRN,Taylor,102 - 0,0,5,1,6
Abram Loeb (W),President,,,Taylor,102 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,102 - 0,0,3,0,3
Gloria La Rivera (W),President,,,Taylor,102 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,102 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,102 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,102 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,102 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,102 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,102 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,102 - 0,84,794,232,1110
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,102 - 0,74,301,68,443
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,102 - 0,1,24,24,49
David B. Collins,U.S. Senate,,GRN,Taylor,102 - 0,0,7,1,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,102 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,102 - 0,86,801,240,1127
Tom Watson,U.S. House,19,DEM,Taylor,102 - 0,73,291,59,423
Joe Bumes,U.S. House,19,LIB,Taylor,102 - 0,0,29,25,54
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,102 - 0,85,791,222,1098
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,102 - 0,64,289,68,421
Matt Sterett,Railroad Commissioner,,LIB,Taylor,102 - 0,2,26,26,54
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,102 - 0,2,14,6,22
Dawn Buckingham,State Senate,24,REP,Taylor,102 - 0,86,789,249,1124
Clayton Tucker,State Senate,24,DEM,Taylor,102 - 0,67,317,73,457
Stan Lambert,State Representative,71,REP,Taylor,102 - 0,88,838,252,1178
Samuel Hatton,State Representative,71,DEM,Taylor,102 - 0,65,270,68,403
Donald J Trump,President,,REP,Taylor,103 - 0,113,866,184,1163
Joseph R Biden,President,,DEM,Taylor,103 - 0,84,345,79,508
Jo Jorgensen,President,,LIB,Taylor,103 - 0,0,19,6,25
Howie Hawkins,President,,GRN,Taylor,103 - 0,0,3,2,5
Abram Loeb (W),President,,,Taylor,103 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,103 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,103 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,103 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,103 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,103 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,103 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,103 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,103 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,103 - 0,117,857,179,1153
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,103 - 0,77,314,74,465
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,103 - 0,0,36,7,43
David B. Collins,U.S. Senate,,GRN,Taylor,103 - 0,0,9,4,13
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,103 - 0,1,0,0,1
Jodey C Arrington,U.S. House,19,REP,Taylor,103 - 0,119,885,190,1194
Tom Watson,U.S. House,19,DEM,Taylor,103 - 0,76,301,62,439
Joe Bumes,U.S. House,19,LIB,Taylor,103 - 0,0,32,14,46
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,103 - 0,112,854,180,1146
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,103 - 0,77,307,63,447
Matt Sterett,Railroad Commissioner,,LIB,Taylor,103 - 0,2,28,9,39
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,103 - 0,1,12,9,22
Dawn Buckingham,State Senate,24,REP,Taylor,103 - 0,121,874,189,1184
Clayton Tucker,State Senate,24,DEM,Taylor,103 - 0,74,328,73,475
Stan Lambert,State Representative,71,REP,Taylor,103 - 0,118,900,194,1212
Samuel Hatton,State Representative,71,DEM,Taylor,103 - 0,73,302,67,442
Donald J Trump,President,,REP,Taylor,104 - 0,123,1136,167,1426
Joseph R Biden,President,,DEM,Taylor,104 - 0,89,335,49,473
Jo Jorgensen,President,,LIB,Taylor,104 - 0,1,17,5,23
Howie Hawkins,President,,GRN,Taylor,104 - 0,0,3,1,4
Abram Loeb (W),President,,,Taylor,104 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,104 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,104 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,104 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,104 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,104 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,104 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,104 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,104 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,104 - 0,133,1186,174,1493
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,104 - 0,78,277,36,391
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,104 - 0,1,20,8,29
David B. Collins,U.S. Senate,,GRN,Taylor,104 - 0,0,5,2,7
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,104 - 0,0,0,0,0
