county,precinct,office,district,candidate,party,votes,election day,early_voting,absentee
Sutton,101,Registered Voters,,,,549,,,
Sutton,101,Ballots Cast,,,,196,78,115,3
Sutton,101,Ballots Cast,,,REP,186,76,109,1
Sutton,101,Ballots Cast,,,DEM,10,2,6,2
Sutton,101,Ballots Cast,,,NONPARTISAN,0,0,0,0
Sutton,101,President,,Tulsi Gabbard,DEM,0,0,0,0
Sutton,101,President,,Bernie Sanders,DEM,0,0,0,0
Sutton,101,President,,Robby Wells,DEM,0,0,0,0
Sutton,101,President,,Elizabeth Warren,DEM,4,2,2,0
Sutton,101,President,,Cory Booker,DEM,0,0,0,0
Sutton,101,President,,John K. Delaney,DEM,0,0,0,0
Sutton,101,President,,Julian Castro,DEM,1,0,1,0
Sutton,101,President,,Deval Patrick,DEM,0,0,0,0
Sutton,101,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Sutton,101,President,,Andrew Yang,DEM,0,0,0,0
Sutton,101,President,,Joseph R. Biden,DEM,4,0,2,2
Sutton,101,President,,Tom Steyer,DEM,0,0,0,0
Sutton,101,President,,Marianne Williamson,DEM,0,0,0,0
Sutton,101,President,,Michael Bennet,DEM,0,0,0,0
Sutton,101,President,,Pete Buttigieg,DEM,0,0,0,0
Sutton,101,President,,Amy Klobuchar,DEM,0,0,0,0
Sutton,101,President,,Michael R. Bloomberg,DEM,1,0,1,0
Sutton,101,U.S. Senate,,Amanda K. Edwards,DEM,2,1,1,0
Sutton,101,U.S. Senate,,D.R. Hunter,DEM,0,0,0,0
Sutton,101,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0
Sutton,101,U.S. Senate,,Royce West,DEM,0,0,0,0
Sutton,101,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Sutton,101,U.S. Senate,,Mary (MJ) Hegar,DEM,2,0,1,1
Sutton,101,U.S. Senate,,Sema Hernandez,DEM,3,0,3,0
Sutton,101,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,2,1,1,0
Sutton,101,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,1,0,0,1
Sutton,101,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0
Sutton,101,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Sutton,101,U.S. Senate,,Chris Bell,DEM,0,0,0,0
Sutton,101,U.S. House,23,Jaime Escuder,DEM,0,0,0,0
Sutton,101,U.S. House,23,Gina Ortiz Jones,DEM,5,1,2,2
Sutton,101,U.S. House,23,Rosalinda Ramos Abuabara,DEM,2,0,2,0
Sutton,101,U.S. House,23,Efrain V Valdez,DEM,1,1,0,0
Sutton,101,U.S. House,23,Ricardo R. Madrid,DEM,2,0,2,0
Sutton,101,Railroad Commissioner,,Chrysta Castaneda,DEM,3,0,3,0
Sutton,101,Railroad Commissioner,,Kelly Stone,DEM,1,0,1,0
Sutton,101,Railroad Commissioner,,Mark Watson,DEM,2,1,0,1
Sutton,101,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo ",DEM,4,1,2,1
Sutton,101,State Representative,53,Joe P. Herrera,DEM,9,2,6,1
Sutton,201,Registered Voters,,,,590,,,
Sutton,201,Ballots Cast,,,,233,99,132,2
Sutton,201,Ballots Cast,,,REP,220,88,131,1
Sutton,201,Ballots Cast,,,DEM,13,11,1,1
Sutton,201,Ballots Cast,,,NONPARTISAN,0,0,0,0
Sutton,201,President,,Tulsi Gabbard,DEM,0,0,0,0
Sutton,201,President,,Bernie Sanders,DEM,2,2,0,0
Sutton,201,President,,Robby Wells,DEM,0,0,0,0
Sutton,201,President,,Elizabeth Warren,DEM,1,1,0,0
Sutton,201,President,,Cory Booker,DEM,0,0,0,0
Sutton,201,President,,John K. Delaney,DEM,0,0,0,0
Sutton,201,President,,Julian Castro,DEM,0,0,0,0
Sutton,201,President,,Deval Patrick,DEM,0,0,0,0
