county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Van Zandt,1A,Registered Voters,,,,0,,,,
Van Zandt,1A,Ballots Cast,,,,609,33,292,269,15
Van Zandt,1A,Ballots Cast,,,REP,542,29,265,233,15
Van Zandt,1A,Ballots Cast,,,DEM,67,4,27,36,0
Van Zandt,1A,President,,"Roque ""Rocky"" De La Fuente Guerrra",REP,1,0,0,1,0
Van Zandt,1A,President,,Matthew John Matern,REP,2,0,0,2,0
Van Zandt,1A,President,,Joe Walsh,REP,1,0,0,1,0
Van Zandt,1A,President,,Donald J. Trump,REP,510,28,253,214,15
Van Zandt,1A,President,,Bill Weld,REP,1,1,0,0,0
Van Zandt,1A,President,,Bob Ely,REP,0,0,0,0,0
Van Zandt,1A,President,,Zoltan G. Istvan,REP,0,0,0,0,0
Van Zandt,1A,President,,Uncommitted,REP,21,0,9,12,0
Van Zandt,1A,U.S. Senate,,Mark Yancey,REP,46,4,20,21,1
Van Zandt,1A,U.S. Senate,,John Anthony Castro,REP,12,0,5,7,0
Van Zandt,1A,U.S. Senate,,Virgil Bierschwale,REP,1,0,0,1,0
Van Zandt,1A,U.S. Senate,,Dwayne Stovall,REP,90,1,43,44,2
Van Zandt,1A,U.S. Senate,,John Cornyn,REP,357,24,186,137,10
Van Zandt,1A,U.S. House,5,Lance Gooden,REP,420,28,219,165,8
Van Zandt,1A,U.S. House,5,Don Hill,REP,93,1,32,56,4
Van Zandt,1A,Railroad Commissioner,,"James ""Jim"" Wright",REP,270,21,141,105,3
Van Zandt,1A,Railroad Commissioner,,Ryan Sitton,REP,192,6,92,86,8
Van Zandt,1A,State Representative,2,Dan Flynn,REP,219,9,107,96,7
Van Zandt,1A,State Representative,2,Bryan Slaton,REP,166,11,83,67,5
Van Zandt,1A,State Representative,2,"Dwayne ""Doc"" Collins",REP,138,9,67,60,2
Van Zandt,1A,President,,Michael R. Bloomberg,DEM,17,2,9,6,0
Van Zandt,1A,President,,Marianne Williamson,DEM,0,0,0,0,0
Van Zandt,1A,President,,Bernie Sanders,DEM,17,0,4,13,0
Van Zandt,1A,President,,Julian Castro,DEM,0,0,0,0,0
Van Zandt,1A,President,,Deval Patrick,DEM,0,0,0,0,0
Van Zandt,1A,President,,Joseph R. Biden,DEM,26,0,10,16,0
Van Zandt,1A,President,,Michael Bennet,DEM,0,0,0,0,0
Van Zandt,1A,President,,Amy Klobuchar,DEM,2,1,1,0,0
Van Zandt,1A,President,,Tom Steyer,DEM,1,0,1,0,0
Van Zandt,1A,President,,Robby Wells,DEM,0,0,0,0,0
Van Zandt,1A,President,,Andrew Yang,DEM,0,0,0,0,0
Van Zandt,1A,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0,0
Van Zandt,1A,President,,John K. Delaney,DEM,0,0,0,0,0
Van Zandt,1A,President,,Pete Buttigieg,DEM,3,1,2,0,0
Van Zandt,1A,President,,Elizabeth Warren,DEM,1,0,0,1,0
Van Zandt,1A,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Van Zandt,1A,President,,Cory Booker,DEM,0,0,0,0,0
Van Zandt,1A,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,22,0,11,11,0
Van Zandt,1A,U.S. Senate,,Michael Cooper,DEM,4,2,1,1,0
Van Zandt,1A,U.S. Senate,,D. R. Hunter,DEM,2,0,2,0,0
Van Zandt,1A,U.S. Senate,,Chris Bell,DEM,4,0,1,3,0
Van Zandt,1A,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,7,1,2,4,0
Van Zandt,1A,U.S. Senate,,Amanda K. Edwards,DEM,5,0,2,3,0
Van Zandt,1A,U.S. Senate,,Adrian Ocegueda,DEM,0,0,0,0,0
Van Zandt,1A,U.S. Senate,,Sema Hernandez,DEM,2,0,0,2,0
Van Zandt,1A,U.S. Senate,,Royce West,DEM,7,1,4,2,0
Van Zandt,1A,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0,0,0
Van Zandt,1A,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0,0
Van Zandt,1A,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,9,0,2,7,0
Van Zandt,1A,U.S. House,,Carolyn Salter,DEM,55,3,22,30,0
Van Zandt,1A,Railroad Commissioner,,Kelly Stone,DEM,19,2,9,8,0
Van Zandt,1A,Railroad Commissioner,,Chrysta Castaneda,DEM,16,2,7,7,0
Van Zandt,1A,Railroad Commissioner,,Mark Watson,DEM,10,0,3,7,0
Van Zandt,1A,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,13,0,3,10,0
Van Zandt,1A,State Representative,2,Bill Brannon,DEM,56,3,22,31,0
Van Zandt,1B,Registered Voters,,,,0,,,,
