county,precinct,office,district,candidate,party,early_voting,election day,votes
Hockley,Precinct 11,Registered Voters,,,,,,695
Hockley,Precinct 11,President,,Bob Ely,REP,1,0,1
Hockley,Precinct 11,President,,Donald J. Trump,REP,190,69,259
Hockley,Precinct 11,President,,Matthew John Matern,REP,1,0,1
Hockley,Precinct 11,President,,Joe Walsh,REP,2,1,3
Hockley,Precinct 11,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,1,2
Hockley,Precinct 11,President,,Zoltan G. Istvan,REP,0,0,0
Hockley,Precinct 11,President,,Bill Weld,REP,1,0,1
Hockley,Precinct 11,President,,Uncommitted,REP,8,4,12
Hockley,Precinct 11,U.S. Senate,,John Cornyn,REP,165,58,223
Hockley,Precinct 11,U.S. Senate,,John Anthony Castro,REP,6,1,7
Hockley,Precinct 11,U.S. Senate,,Mark Yancey,REP,6,3,9
Hockley,Precinct 11,U.S. Senate,,Dwayne Stovall,REP,18,9,27
Hockley,Precinct 11,U.S. Senate,,Virgil Bierschwale,REP,2,0,2
Hockley,Precinct 11,U.S. House,19,Jodey C. Arrington,REP,189,71,260
Hockley,Precinct 11,U.S. House,19,Vance W. Boyd,REP,17,71,88
Hockley,Precinct 11,Railroad Commissioner,,Ryan Sitton,REP,105,39,144
Hockley,Precinct 11,Railroad Commissioner,,"James ""Jim"" Wright",REP,79,24,103
Hockley,Precinct 11,State Senate,28,Charles Perry,REP,182,66,248
Hockley,Precinct 11,State Representative,88,Ken King,REP,177,63,240
Hockley,Precinct 14,Registered Voters,,,,,,806
Hockley,Precinct 14,President,,Bob Ely,REP,0,1,1
Hockley,Precinct 14,President,,Donald J. Trump,REP,38,201,239
Hockley,Precinct 14,President,,Matthew John Matern,REP,0,0,0
Hockley,Precinct 14,President,,Joe Walsh,REP,1,1,2
Hockley,Precinct 14,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0
Hockley,Precinct 14,President,,Zoltan G. Istvan,REP,0,0,0
Hockley,Precinct 14,President,,Bill Weld,REP,0,3,3
Hockley,Precinct 14,President,,Uncommitted,REP,1,7,8
Hockley,Precinct 14,U.S. Senate,,John Cornyn,REP,33,153,186
Hockley,Precinct 14,U.S. Senate,,John Anthony Castro,REP,2,9,11
Hockley,Precinct 14,U.S. Senate,,Mark Yancey,REP,1,7,8
Hockley,Precinct 14,U.S. Senate,,Dwayne Stovall,REP,1,25,26
Hockley,Precinct 14,U.S. Senate,,Virgil Bierschwale,REP,1,1,2
Hockley,Precinct 14,U.S. House,19,Jodey C. Arrington,REP,38,189,227
Hockley,Precinct 14,U.S. House,19,Vance W. Boyd,REP,1,189,190
Hockley,Precinct 14,Railroad Commissioner,,Ryan Sitton,REP,19,117,136
Hockley,Precinct 14,Railroad Commissioner,,"James ""Jim"" Wright",REP,14,61,75
Hockley,Precinct 14,State Senate,28,Charles Perry,REP,36,190,226
Hockley,Precinct 14,State Representative,88,Ken King,REP,35,168,203
Hockley,Precinct 15,Registered Voters,,,,,,516
Hockley,Precinct 15,President,,Bob Ely,REP,0,0,0
Hockley,Precinct 15,President,,Donald J. Trump,REP,27,71,98
Hockley,Precinct 15,President,,Matthew John Matern,REP,0,1,1
Hockley,Precinct 15,President,,Joe Walsh,REP,2,0,2
Hockley,Precinct 15,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0
Hockley,Precinct 15,President,,Zoltan G. Istvan,REP,0,0,0
Hockley,Precinct 15,President,,Bill Weld,REP,0,0,0
Hockley,Precinct 15,President,,Uncommitted,REP,2,2,4
Hockley,Precinct 15,U.S. Senate,,John Cornyn,REP,23,52,75
Hockley,Precinct 15,U.S. Senate,,John Anthony Castro,REP,1,1,2
Hockley,Precinct 15,U.S. Senate,,Mark Yancey,REP,4,6,10
Hockley,Precinct 15,U.S. Senate,,Dwayne Stovall,REP,3,8,11
Hockley,Precinct 15,U.S. Senate,,Virgil Bierschwale,REP,0,0,0
Hockley,Precinct 15,U.S. House,19,Jodey C. Arrington,REP,26,64,90
Hockley,Precinct 15,U.S. House,19,Vance W. Boyd,REP,5,64,69
Hockley,Precinct 15,Railroad Commissioner,,Ryan Sitton,REP,18,43,61
Hockley,Precinct 15,Railroad Commissioner,,"James ""Jim"" Wright",REP,11,19,30
Hockley,Precinct 15,State Senate,28,Charles Perry,REP,24,63,87
Hockley,Precinct 15,State Representative,88,Ken King,REP,23,58,81
Hockley,Precinct 16,Registered Voters,,,,,,1821
Hockley,Precinct 16,President,,Bob Ely,REP,4,2,6
Hockley,Precinct 16,President,,Donald J. Trump,REP,394,270,664
Hockley,Precinct 16,President,,Matthew John Matern,REP,0,0,0
Hockley,Precinct 16,President,,Joe Walsh,REP,1,2,3
Hockley,Precinct 16,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,1,3
Hockley,Precinct 16,President,,Zoltan G. Istvan,REP,0,0,0
Hockley,Precinct 16,President,,Bill Weld,REP,2,0,2
Hockley,Precinct 16,President,,Uncommitted,REP,20,7,27
Hockley,Precinct 16,U.S. Senate,,John Cornyn,REP,336,202,538
Hockley,Precinct 16,U.S. Senate,,John Anthony Castro,REP,14,19,33
Hockley,Precinct 16,U.S. Senate,,Mark Yancey,REP,20,18,38
Hockley,Precinct 16,U.S. Senate,,Dwayne Stovall,REP,40,29,69
Hockley,Precinct 16,U.S. Senate,,Virgil Bierschwale,REP,1,1,2
Hockley,Precinct 16,U.S. House,19,Jodey C. Arrington,REP,388,262,650
Hockley,Precinct 16,U.S. House,19,Vance W. Boyd,REP,26,262,288
Hockley,Precinct 16,Railroad Commissioner,,Ryan Sitton,REP,220,130,350
Hockley,Precinct 16,Railroad Commissioner,,"James ""Jim"" Wright",REP,151,118,269
Hockley,Precinct 16,State Senate,28,Charles Perry,REP,364,249,613
Hockley,Precinct 16,State Representative,88,Ken King,REP,367,249,616
Hockley,Precinct 21,Registered Voters,,,,,,2278
Hockley,Precinct 21,President,,Bob Ely,REP,2,0,2
Hockley,Precinct 21,President,,Donald J. Trump,REP,264,161,425
Hockley,Precinct 21,President,,Matthew John Matern,REP,0,1,1
Hockley,Precinct 21,President,,Joe Walsh,REP,0,1,1
Hockley,Precinct 21,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,1,1
Hockley,Precinct 21,President,,Zoltan G. Istvan,REP,0,0,0
Hockley,Precinct 21,President,,Bill Weld,REP,2,1,3
Hockley,Precinct 21,President,,Uncommitted,REP,8,6,14
