county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Milam,Precinct 101,Registered Voters,,,,,,,2349
Milam,Precinct 101,Ballots Cast,,,REP,40,632,256,928
Milam,Precinct 101,President,,Bob Ely,REP,,,,5
Milam,Precinct 101,President,,Matthew John Matern,REP,,,,2
Milam,Precinct 101,President,,Zoltan G. Istvan,REP,,,,3
Milam,Precinct 101,President,,Joe Walsh,REP,,,,9
Milam,Precinct 101,President,,Donald J. Trump,REP,,,,824
Milam,Precinct 101,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,,,,6
Milam,Precinct 101,President,,Bill Weld,REP,,,,7
Milam,Precinct 101,President,,Uncommitted,REP,,,,46
Milam,Precinct 101,President,,Undervotes,REP,,,,26
Milam,Precinct 101,President,,Overvotes,REP,,,,0
Milam,Precinct 101,U.S. Senate,,Mark Yancey,REP,,,,74
Milam,Precinct 101,U.S. Senate,,John Cornyn,REP,,,,633
Milam,Precinct 101,U.S. Senate,,John Anthony Castro,REP,,,,49
Milam,Precinct 101,U.S. Senate,,Dwayne Stovall,REP,,,,78
Milam,Precinct 101,U.S. Senate,,Virgil Bierschwale,REP,,,,10
Milam,Precinct 101,U.S. Senate,,Undervotes,REP,,,,84
Milam,Precinct 101,U.S. Senate,,Overvotes,REP,,,,0
Milam,Precinct 101,U.S. House,17,Renee Swann,REP,,,,356
Milam,Precinct 101,U.S. House,17,Kristen Alamo Rowin,REP,,,,16
Milam,Precinct 101,U.S. House,17,Scott Bland,REP,,,,50
Milam,Precinct 101,U.S. House,17,Trent Sutton,REP,,,,51
Milam,Precinct 101,U.S. House,17,Jeff Oppenheim,REP,,,,11
Milam,Precinct 101,U.S. House,17,David Saucedo,REP,,,,19
Milam,Precinct 101,U.S. House,17,Laurie Godfrey McReynolds,REP,,,,16
Milam,Precinct 101,U.S. House,17,George W. Hindman,REP,,,,120
Milam,Precinct 101,U.S. House,17,Elianor Vessali,REP,,,,29
Milam,Precinct 101,U.S. House,17,Ahmad Adnan,REP,,,,1
Milam,Precinct 101,U.S. House,17,Pete Sessions,REP,,,,153
Milam,Precinct 101,U.S. House,17,Todd Kent,REP,,,,15
Milam,Precinct 101,U.S. House,17,Undervotes,REP,,,,91
Milam,Precinct 101,U.S. House,17,Overvotes,REP,,,,0
