county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes
Jeff Davis,1,Registered Voters,,,,,,,,452
Jeff Davis,2,Registered Voters,,,,,,,,356
Jeff Davis,3,Registered Voters,,,,,,,,396
Jeff Davis,4,Registered Voters,,,,,,,,177
Jeff Davis,5,Registered Voters,,,,,,,,244
Jeff Davis,1,Ballots Cast,,REP,,3,87,49,0,139
Jeff Davis,2,Ballots Cast,,REP,,6,40,44,0,90
Jeff Davis,3,Ballots Cast,,REP,,6,68,44,0,118
Jeff Davis,4,Ballots Cast,,REP,,0,26,23,0,49
Jeff Davis,5,Ballots Cast,,REP,,3,34,48,0,85
Jeff Davis,1,President,,REP,Matthew John Matern,0,0,0,0,0
Jeff Davis,1,President,,REP,Joe Walsh,0,1,0,0,1
Jeff Davis,1,President,,REP,Zoltan G. Istvan,0,0,0,0,0
Jeff Davis,1,President,,REP,Bob Ely,0,0,0,0,0
Jeff Davis,1,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,1,0,0,1
Jeff Davis,1,President,,REP,Donald J. Trump,3,77,45,0,125
Jeff Davis,1,President,,REP,Bill Weld,0,1,1,0,2
Jeff Davis,1,President,,REP,Uncommitted,0,7,2,0,9
Jeff Davis,2,President,,REP,Matthew John Matern,0,0,0,0,0
Jeff Davis,2,President,,REP,Joe Walsh,0,0,1,0,1
Jeff Davis,2,President,,REP,Zoltan G. Istvan,0,0,0,0,0
Jeff Davis,2,President,,REP,Bob Ely,0,0,0,0,0
Jeff Davis,2,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,1,0,1
Jeff Davis,2,President,,REP,Donald J. Trump,6,39,40,0,85
Jeff Davis,2,President,,REP,Bill Weld,0,0,1,0,1
Jeff Davis,2,President,,REP,Uncommitted,0,0,0,0,0
Jeff Davis,3,President,,REP,Matthew John Matern,0,0,0,0,0
Jeff Davis,3,President,,REP,Joe Walsh,0,0,0,0,0
Jeff Davis,3,President,,REP,Zoltan G. Istvan,0,0,1,0,1
Jeff Davis,3,President,,REP,Bob Ely,0,0,0,0,0
Jeff Davis,3,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0,0
Jeff Davis,3,President,,REP,Donald J. Trump,5,66,39,0,110
Jeff Davis,3,President,,REP,Bill Weld,1,0,0,0,1
Jeff Davis,3,President,,REP,Uncommitted,0,1,4,0,5
Jeff Davis,4,President,,REP,Matthew John Matern,0,0,0,0,0
Jeff Davis,4,President,,REP,Joe Walsh,0,0,0,0,0
Jeff Davis,4,President,,REP,Zoltan G. Istvan,0,0,0,0,0
Jeff Davis,4,President,,REP,Bob Ely,0,0,0,0,0
Jeff Davis,4,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0,0
Jeff Davis,4,President,,REP,Donald J. Trump,0,26,22,0,48
Jeff Davis,4,President,,REP,Bill Weld,0,0,0,0,0
Jeff Davis,4,President,,REP,Uncommitted,0,0,1,0,1
Jeff Davis,5,President,,REP,Matthew John Matern,0,0,0,0,0
Jeff Davis,5,President,,REP,Joe Walsh,0,1,0,0,1
Jeff Davis,5,President,,REP,Zoltan G. Istvan,0,0,0,0,0
Jeff Davis,5,President,,REP,Bob Ely,0,0,0,0,0
Jeff Davis,5,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0,0
Jeff Davis,5,President,,REP,Donald J. Trump,3,30,47,0,80
Jeff Davis,5,President,,REP,Bill Weld,0,2,0,0,2
Jeff Davis,5,President,,REP,Uncommitted,0,1,1,0,2
Jeff Davis,1,U.S. Senate,,REP,Mark Yancey,0,5,4,0,9
Jeff Davis,1,U.S. Senate,,REP,Dwayne Stovall,0,11,11,0,22
Jeff Davis,1,U.S. Senate,,REP,John Anthony Castro,0,5,2,0,7
Jeff Davis,1,U.S. Senate,,REP,Virgil Bierschwale,0,2,0,0,2
Jeff Davis,1,U.S. Senate,,REP,John Cornyn,3,58,30,0,91
Jeff Davis,2,U.S. Senate,,REP,Mark Yancey,2,1,3,0,6
Jeff Davis,2,U.S. Senate,,REP,Dwayne Stovall,2,4,5,0,11
Jeff Davis,2,U.S. Senate,,REP,John Anthony Castro,0,3,9,0,12
Jeff Davis,2,U.S. Senate,,REP,Virgil Bierschwale,0,2,2,0,4
Jeff Davis,2,U.S. Senate,,REP,John Cornyn,1,24,19,0,44
Jeff Davis,3,U.S. Senate,,REP,Mark Yancey,0,2,3,0,5
Jeff Davis,3,U.S. Senate,,REP,Dwayne Stovall,1,10,4,0,15
Jeff Davis,3,U.S. Senate,,REP,John Anthony Castro,1,1,2,0,4
Jeff Davis,3,U.S. Senate,,REP,Virgil Bierschwale,0,1,2,0,3
Jeff Davis,3,U.S. Senate,,REP,John Cornyn,4,50,25,0,79
Jeff Davis,4,U.S. Senate,,REP,Mark Yancey,0,0,1,0,1
Jeff Davis,4,U.S. Senate,,REP,Dwayne Stovall,0,5,1,0,6
Jeff Davis,4,U.S. Senate,,REP,John Anthony Castro,0,1,0,0,1
Jeff Davis,4,U.S. Senate,,REP,Virgil Bierschwale,0,0,0,0,0
Jeff Davis,4,U.S. Senate,,REP,John Cornyn,0,19,20,0,39
Jeff Davis,5,U.S. Senate,,REP,Mark Yancey,0,1,4,0,5
Jeff Davis,5,U.S. Senate,,REP,Dwayne Stovall,3,9,4,0,16
Jeff Davis,5,U.S. Senate,,REP,John Anthony Castro,0,2,1,0,3
Jeff Davis,5,U.S. Senate,,REP,Virgil Bierschwale,0,1,0,0,1
Jeff Davis,5,U.S. Senate,,REP,John Cornyn,0,19,38,0,57
