county,precinct,office,district,candidate,party,election_day,early_voting,votes
King,3,COUNTY COMMISSIONER PRECINCT 3,,DWAYNE GREEN,REP,18,15,33
King,1,U.S. Senate,,DWAYNE STOVALL,REP,0,2,2
King,1,U.S. Senate,,JOHN ANTHONY CASTRO,REP,0,0,0
King,1,U.S. Senate,,JOHN CORNYN,REP,2,18,20
King,1,U.S. Senate,,MARK YANCEY,REP,0,4,4
King,1,U.S. Senate,,VIRGIL BIERSCHWALE,REP,0,1,1
King,2,U.S. Senate,,DWAYNE STOVALL,REP,0,0,0
King,2,U.S. Senate,,JOHN ANTHONY CASTRO,REP,0,0,0
King,2,U.S. Senate,,JOHN CORNYN,REP,2,6,8
King,2,U.S. Senate,,MARK YANCEY,REP,3,2,5
King,2,U.S. Senate,,VIRGIL BIERSCHWALE,REP,0,0,0
King,3,U.S. Senate,,DWAYNE STOVALL,REP,0,0,0
King,3,U.S. Senate,,JOHN ANTHONY CASTRO,REP,0,0,0
King,3,U.S. Senate,,JOHN CORNYN,REP,14,14,28
King,3,U.S. Senate,,MARK YANCEY,REP,0,0,0
King,3,U.S. Senate,,VIRGIL BIERSCHWALE,REP,1,0,1
King,4,U.S. Senate,,DWAYNE STOVALL,REP,0,2,2
King,4,U.S. Senate,,JOHN ANTHONY CASTRO,REP,0,0,0
King,4,U.S. Senate,,JOHN CORNYN,REP,8,8,16
King,4,U.S. Senate,,MARK YANCEY,REP,0,0,0
King,4,U.S. Senate,,VIRGIL BIERSCHWALE,REP,2,0,2
King,1,SHERIFF,,MICHAEL MCWHIRTER,REP,4,32,36
King,2,SHERIFF,,MICHAEL MCWHIRTER,REP,3,7,10
King,3,SHERIFF,,MICHAEL MCWHIRTER,REP,17,15,32
King,4,SHERIFF,,MICHAEL MCWHIRTER,REP,14,10,24
King,1,COUNTY COMMISSIONER PRECINCT 1,,BILLY DAWSON,REP,5,10,15
King,1,COUNTY COMMISSIONER PRECINCT 1,,JOHN SMITH,REP,0,3,3
King,1,COUNTY COMMISSIONER PRECINCT 1,,REGGIE HATFIELD,REP,1,24,25
