county,precinct,office,district,party,candidate,votes,election_day,mail,early_voting
Chambers,1,President,,DEM,John K. Delaney,1,,,
Chambers,2,President,,DEM,John K. Delaney,0,,,
Chambers,3,President,,DEM,John K. Delaney,0,,,
Chambers,4,President,,DEM,John K. Delaney,1,,,
Chambers,5,President,,DEM,John K. Delaney,0,,,
Chambers,6,President,,DEM,John K. Delaney,0,,,
Chambers,7,President,,DEM,John K. Delaney,1,,,
Chambers,8,President,,DEM,John K. Delaney,2,,,
Chambers,9,President,,DEM,John K. Delaney,0,,,
Chambers,10,President,,DEM,John K. Delaney,0,,,
Chambers,11,President,,DEM,John K. Delaney,0,,,
Chambers,12,President,,DEM,John K. Delaney,1,,,
Chambers,14,President,,DEM,John K. Delaney,0,,,
Chambers,15,President,,DEM,John K. Delaney,0,,,
Chambers,1,President,,DEM,Bernie Sanders,5,,,
Chambers,2,President,,DEM,Bernie Sanders,8,,,
Chambers,3,President,,DEM,Bernie Sanders,5,,,
Chambers,4,President,,DEM,Bernie Sanders,34,,,
Chambers,5,President,,DEM,Bernie Sanders,23,,,
Chambers,6,President,,DEM,Bernie Sanders,39,,,
Chambers,7,President,,DEM,Bernie Sanders,22,,,
Chambers,8,President,,DEM,Bernie Sanders,42,,,
Chambers,9,President,,DEM,Bernie Sanders,3,,,
Chambers,10,President,,DEM,Bernie Sanders,49,,,
Chambers,11,President,,DEM,Bernie Sanders,37,,,
Chambers,12,President,,DEM,Bernie Sanders,16,,,
Chambers,14,President,,DEM,Bernie Sanders,0,,,
Chambers,15,President,,DEM,Bernie Sanders,59,,,
Chambers,1,President,,DEM,Robby Wells,0,,,
Chambers,2,President,,DEM,Robby Wells,0,,,
Chambers,3,President,,DEM,Robby Wells,0,,,
Chambers,4,President,,DEM,Robby Wells,0,,,
Chambers,5,President,,DEM,Robby Wells,0,,,
Chambers,6,President,,DEM,Robby Wells,0,,,
Chambers,7,President,,DEM,Robby Wells,1,,,
Chambers,8,President,,DEM,Robby Wells,0,,,
Chambers,9,President,,DEM,Robby Wells,0,,,
Chambers,10,President,,DEM,Robby Wells,0,,,
Chambers,11,President,,DEM,Robby Wells,0,,,
Chambers,12,President,,DEM,Robby Wells,0,,,
Chambers,14,President,,DEM,Robby Wells,0,,,
Chambers,15,President,,DEM,Robby Wells,0,,,
Chambers,1,President,,DEM,Marianne Williamson,0,,,
Chambers,2,President,,DEM,Marianne Williamson,1,,,
Chambers,3,President,,DEM,Marianne Williamson,1,,,
Chambers,4,President,,DEM,Marianne Williamson,0,,,
Chambers,5,President,,DEM,Marianne Williamson,0,,,
Chambers,6,President,,DEM,Marianne Williamson,0,,,
Chambers,7,President,,DEM,Marianne Williamson,0,,,
Chambers,8,President,,DEM,Marianne Williamson,0,,,
Chambers,9,President,,DEM,Marianne Williamson,0,,,
Chambers,10,President,,DEM,Marianne Williamson,2,,,
Chambers,11,President,,DEM,Marianne Williamson,0,,,
Chambers,12,President,,DEM,Marianne Williamson,0,,,
Chambers,14,President,,DEM,Marianne Williamson,0,,,
Chambers,15,President,,DEM,Marianne Williamson,0,,,
