county,precinct,office,distict,candidate,party,votes,early_voting,election_day,mail,provisional
Gonzales,1,President,,Cory Booker,DEM,0,0,0,0,0
Gonzales,1,President,,"Roque ""Rocky"" De La Fuente",DEM,1,1,0,0,0
Gonzales,1,President,,Michael R. Bloomberg,DEM,27,13,7,7,0
Gonzales,1,President,,Robby Wells,DEM,1,0,1,0,0
Gonzales,1,President,,John K. Delaney,DEM,1,1,0,0,0
Gonzales,1,President,,Bernie Sanders,DEM,22,7,13,2,0
Gonzales,1,President,,Tom Steyer,DEM,3,1,1,1,0
Gonzales,1,President,,Julian Castro,DEM,4,1,0,3,0
Gonzales,1,President,,Elizabeth Warren,DEM,14,9,4,1,0
Gonzales,1,President,,Amy Klobuchar,DEM,5,5,0,0,0
Gonzales,1,President,,Michael Bennet,DEM,1,0,1,0,0
Gonzales,1,President,,Joseph R. Biden,DEM,43,14,26,3,0
Gonzales,1,President,,Andrew Yang,DEM,1,0,1,0,0
Gonzales,1,President,,Tulsi Gabbard,DEM,1,1,0,0,0
Gonzales,1,President,,Marianne Williamson,DEM,3,2,1,0,0
Gonzales,1,President,,Pete Buttigieg,DEM,0,0,0,0,0
Gonzales,1,President,,Deval Patrick,DEM,2,1,1,0,0
Gonzales,1,U.S. Senate,,D. R. Hunter,DEM,8,4,3,1,0
Gonzales,1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,25,10,12,3,0
Gonzales,1,U.S. Senate,,Adrian Ocegueda,DEM,2,1,0,1,0
Gonzales,1,U.S. Senate,,Michael Cooper,DEM,5,3,2,0,0
Gonzales,1,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,18,9,7,2,0
Gonzales,1,U.S. Senate,,Mary (MJ) Hegar,DEM,34,14,14,6,0
Gonzales,1,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,3,1,2,0,0
Gonzales,1,U.S. Senate,,Amanda K. Edwards,DEM,8,0,7,1,0
Gonzales,1,U.S. Senate,,Royce West,DEM,4,2,1,1,0
Gonzales,1,U.S. Senate,,Victor Hugo Harris,DEM,1,1,0,0,0
Gonzales,1,U.S. Senate,,Chris Bell,DEM,8,3,5,0,0
Gonzales,1,U.S. Senate,,Sema Hernandez,DEM,9,5,3,1,0
Gonzales,1,U.S. House,27,"Ricardo ""Rick"" De La Fuente",DEM,69,25,33,11,0
Gonzales,1,U.S. House,27,Charlie Jackson,DEM,53,25,23,5,0
Gonzales,1,US Representative,34,Filemon B. Vela,DEM,0,0,0,0,0
Gonzales,1,US Representative,34,Diego Zavala,DEM,0,0,0,0,0
Gonzales,1,US Representative,34,Osbert Rodriguez Haro III,DEM,0,0,0,0,0
Gonzales,1,Railroad Commissioner,,Mark Watson,DEM,31,19,10,2,0
