county,precinct,office,district,party,candidate,election_day_person,early_voting_person,early_voting_mail,election_day_mail,provisional,votes,early_voting,election_day
Atascosa,1,Ballots Cast,,,,109,129,8,0,0,246,137,109
Atascosa,2,Ballots Cast,,,,119,51,17,0,0,187,68,119
Atascosa,3,Ballots Cast,,,,196,205,22,1,0,424,227,197
Atascosa,4,Ballots Cast,,,,42,11,3,0,0,56,14,42
Atascosa,5,Ballots Cast,,,,168,130,25,3,0,326,155,171
Atascosa,6,Ballots Cast,,,,10,20,3,0,0,33,23,10
Atascosa,7,Ballots Cast,,,,227,104,15,1,1,348,119,228
Atascosa,8,Ballots Cast,,,,80,66,1,0,0,147,67,80
Atascosa,9,Ballots Cast,,,,25,12,2,0,0,39,14,25
Atascosa,10,Ballots Cast,,,,218,95,7,0,0,320,102,218
Atascosa,11,Ballots Cast,,,,21,3,3,0,0,27,6,21
Atascosa,12,Ballots Cast,,,,165,86,17,1,0,269,103,166
Atascosa,13,Ballots Cast,,,,269,427,44,1,0,741,471,270
Atascosa,14,Ballots Cast,,,,53,83,9,1,0,146,92,54
Atascosa,15,Ballots Cast,,,,253,186,41,0,1,481,227,253
Atascosa,16,Ballots Cast,,,,29,39,6,0,0,74,45,29
Atascosa,17,Ballots Cast,,,,298,224,31,2,0,555,255,300
Atascosa,18,Ballots Cast,,,,355,185,30,0,0,570,215,355
Atascosa,19,Ballots Cast,,,,70,83,7,0,0,160,90,70
Atascosa,20,Ballots Cast,,,,558,715,41,1,0,1315,756,559
Atascosa,21,Ballots Cast,,,,51,32,2,0,0,85,34,51
Atascosa,22,Ballots Cast,,,,151,124,7,0,0,282,131,151
Atascosa,23,Ballots Cast,,,,78,47,9,0,0,134,56,78
Atascosa,24,Ballots Cast,,,,205,183,15,1,0,404,198,206
Atascosa,1,Ballots Cast,,REP,,80,107,2,0,0,189,109,80
Atascosa,2,Ballots Cast,,REP,,69,36,3,0,0,108,39,69
Atascosa,3,Ballots Cast,,REP,,115,154,1,0,0,270,155,115
Atascosa,4,Ballots Cast,,REP,,28,10,1,0,0,39,11,28
Atascosa,5,Ballots Cast,,REP,,83,81,6,1,0,171,87,84
Atascosa,6,Ballots Cast,,REP,,8,18,1,0,0,27,19,8
Atascosa,7,Ballots Cast,,REP,,142,77,2,0,1,222,79,142
Atascosa,8,Ballots Cast,,REP,,44,40,0,0,0,84,40,44
Atascosa,9,Ballots Cast,,REP,,19,12,0,0,0,31,12,19
Atascosa,10,Ballots Cast,,REP,,131,57,1,0,0,189,58,131
Atascosa,11,Ballots Cast,,REP,,18,3,0,0,0,21,3,18
Atascosa,12,Ballots Cast,,REP,,106,57,1,0,0,164,58,106
Atascosa,13,Ballots Cast,,REP,,164,315,7,0,0,486,322,164
Atascosa,14,Ballots Cast,,REP,,17,61,2,1,0,81,63,18
Atascosa,15,Ballots Cast,,REP,,123,139,0,0,0,262,139,123
Atascosa,16,Ballots Cast,,REP,,15,27,3,0,0,45,30,15
Atascosa,17,Ballots Cast,,REP,,68,84,3,0,0,155,87,68
Atascosa,18,Ballots Cast,,REP,,138,120,4,0,0,262,124,138
Atascosa,19,Ballots Cast,,REP,,53,53,1,0,0,107,54,53
Atascosa,20,Ballots Cast,,REP,,408,589,16,0,0,1013,605,408
Atascosa,21,Ballots Cast,,REP,,39,27,2,0,0,68,29,39
Atascosa,22,Ballots Cast,,REP,,123,107,2,0,0,232,109,123
Atascosa,23,Ballots Cast,,REP,,34,29,0,0,0,63,29,34
Atascosa,24,Ballots Cast,,REP,,105,126,2,0,0,233,128,105
Atascosa,1,Ballots Cast,,DEM,,29,22,6,0,0,57,28,29
Atascosa,2,Ballots Cast,,DEM,,50,15,14,0,0,79,29,50
Atascosa,3,Ballots Cast,,DEM,,81,51,21,1,0,154,72,82
Atascosa,4,Ballots Cast,,DEM,,14,1,2,0,0,17,3,14
Atascosa,5,Ballots Cast,,DEM,,85,49,19,2,0,155,68,87
Atascosa,6,Ballots Cast,,DEM,,2,2,2,0,0,6,4,2
Atascosa,7,Ballots Cast,,DEM,,85,27,13,1,0,126,40,86
Atascosa,8,Ballots Cast,,DEM,,36,26,1,0,0,63,27,36
Atascosa,9,Ballots Cast,,DEM,,6,0,2,0,0,8,2,6
Atascosa,10,Ballots Cast,,DEM,,87,38,6,0,0,131,44,87
Atascosa,11,Ballots Cast,,DEM,,3,0,3,0,0,6,3,3
Atascosa,12,Ballots Cast,,DEM,,59,29,16,1,0,105,45,60
Atascosa,13,Ballots Cast,,DEM,,105,112,37,1,0,255,149,106
Atascosa,14,Ballots Cast,,DEM,,36,22,7,0,0,65,29,36
Atascosa,15,Ballots Cast,,DEM,,130,47,41,0,1,219,88,130
Atascosa,16,Ballots Cast,,DEM,,14,12,3,0,0,29,15,14
Atascosa,17,Ballots Cast,,DEM,,230,140,28,2,0,400,168,232
Atascosa,18,Ballots Cast,,DEM,,217,65,26,0,0,308,91,217
Atascosa,19,Ballots Cast,,DEM,,17,30,6,0,0,53,36,17
Atascosa,20,Ballots Cast,,DEM,,150,126,25,1,0,302,151,151
Atascosa,21,Ballots Cast,,DEM,,12,5,0,0,0,17,5,12
Atascosa,22,Ballots Cast,,DEM,,28,17,5,0,0,50,22,28
Atascosa,23,Ballots Cast,,DEM,,44,18,9,0,0,71,27,44
Atascosa,24,Ballots Cast,,DEM,,100,57,13,1,0,171,70,101
Atascosa,1,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,2,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,3,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,4,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,5,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,6,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,7,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,8,Blank Ballots Cast,,,,1,0,0,0,0,1,0,1
Atascosa,9,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,10,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,11,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,12,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,13,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,14,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,15,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,16,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,17,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,18,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,19,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,20,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,21,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,22,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,23,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,24,Blank Ballots Cast,,,,0,0,0,0,0,0,0,0
Atascosa,1,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,2,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,3,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,4,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,5,President,,REP,Zoltan G. Istvan,1,0,0,0,0,1,0,1
Atascosa,6,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,7,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,8,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,9,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,10,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,11,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,12,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,13,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,14,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,15,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,16,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
Atascosa,17,President,,REP,Zoltan G. Istvan,0,0,0,0,0,0,0,0
