county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Brooks,1,President,,Bernie Sanders,DEM,60,9,72,141
Brooks,1,President,,Michael R. Bloomberg,DEM,41,8,62,111
Brooks,1,President,,Robby Wells,DEM,0,0,2,2
Brooks,1,President,,Julian Castro,DEM,2,0,15,17
Brooks,1,President,,Michael Bennet,DEM,1,0,4,5
Brooks,1,President,,John K. Delaney,DEM,0,0,2,2
Brooks,1,President,,Pete Buttigieg,DEM,3,5,10,18
Brooks,1,President,,Marianne Williamson,DEM,0,0,0,0
Brooks,1,President,,Joseph R. Biden,DEM,37,2,21,60
Brooks,1,President,,Tulsi Gabbard,DEM,3,0,1,4
Brooks,1,President,,Amy Klobuchar,DEM,1,1,5,7
Brooks,1,President,,Tom Steyer,DEM,0,0,0,0
Brooks,1,President,,Cory Booker,DEM,0,0,1,1
Brooks,1,President,,"Roque ""Rocky"" De La Fuente",DEM,7,1,6,14
Brooks,1,President,,Deval Patrick,DEM,0,0,1,1
Brooks,1,President,,Elizabeth Warren,DEM,7,3,7,17
Brooks,1,President,,Andrew Yang,DEM,0,0,1,1
Brooks,1,President,,Under Votes,DEM,35,12,53,100
Brooks,1,President,,Over Votes,DEM,6,0,2,8
Brooks,1,President,,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,U.S. Senate,,Amanda K. Edwards,DEM,18,2,39,59
Brooks,1,U.S. Senate,,Chris Bell,DEM,4,2,12,18
Brooks,1,U.S. Senate,,D. R. Hunter,DEM,11,0,9,20
Brooks,1,U.S. Senate,,Jack Daniel Foster Jr.,DEM,3,0,1,4
Brooks,1,U.S. Senate,,Michael Cooper,DEM,3,2,8,13
Brooks,1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,51,8,58,117
Brooks,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,6,1,7,14
Brooks,1,U.S. Senate,,Royce West,DEM,8,0,4,12
Brooks,1,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,20,4,45,69
Brooks,1,U.S. Senate,,Victor Hugo Harris,DEM,6,0,1,7
Brooks,1,U.S. Senate,,Sema Hernandez,DEM,20,6,15,41
Brooks,1,U.S. Senate,,Adrian Ocegueda,DEM,1,0,0,1
Brooks,1,U.S. Senate,,Under Votes,DEM,48,15,65,128
Brooks,1,U.S. Senate,,Over Votes,DEM,4,1,1,6
Brooks,1,U.S. Senate,,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,U.S. House,15,Vicente Gonzalez,DEM,134,25,178,337
Brooks,1,U.S. House,15,Under Votes,DEM,69,16,87,172
Brooks,1,U.S. House,15,Over Votes,DEM,0,0,0,0
Brooks,1,U.S. House,15,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,Railroad Commissioner,,Kelly Stone,DEM,11,1,30,42
Brooks,1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,85,16,113,214
Brooks,1,Railroad Commissioner,,Chrysta Castaneda,DEM,46,8,43,97
Brooks,1,Railroad Commissioner,,Mark Watson,DEM,9,2,16,27
Brooks,1,Railroad Commissioner,,Under Votes,DEM,50,14,63,127
Brooks,1,Railroad Commissioner,,Over Votes,DEM,2,0,0,2
Brooks,1,Railroad Commissioner,,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,State Senate,20,"Juan ""Chuy"" Hinojosa",DEM,139,27,183,349
Brooks,1,State Senate,20,Under Votes,DEM,64,14,82,160
Brooks,1,State Senate,20,Over Votes,DEM,0,0,0,0
Brooks,1,State Senate,20,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,State Representative,31,Ryan Guillen,DEM,132,27,168,327
Brooks,1,State Representative,31,Under Votes,DEM,71,14,97,182
Brooks,1,State Representative,31,Over Votes,DEM,0,0,0,0
Brooks,1,State Representative,31,Unresolved write-in votes,DEM,0,0,0,0
Brooks,1,President,,Joe Walsh,REP,0,0,0,0
Brooks,1,President,,Matthew John Matern,REP,0,0,0,0
Brooks,1,President,,Bob Ely,REP,0,0,0,0
