county,precinct,office,district,party,candidate,votes,,
Mitchell,Precinct 1,Registered Voters,,,,1171,,
Mitchell,Precinct 1,Ballots Cast,,,,695,,
Mitchell,Precinct 1,President,,REP,Donald J Trump,586,,
Mitchell,Precinct 1,President,,DEM,Joseph R Biden,104,,
Mitchell,Precinct 1,President,,LIB,Jo Jorgensen,2,,
Mitchell,Precinct 1,President,,GRN,Howie Hawkins,0,,
Mitchell,Precinct 1,President,,,Write-In,1,,
Mitchell,Precinct 1,U.S. Senate,,REP,John Cornyn,589,,
Mitchell,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",91,,
Mitchell,Precinct 1,U.S. Senate,,LIB,Kerry Douglas McKennon,7,,
Mitchell,Precinct 1,U.S. Senate,,GRN,David B. Collins,4,,
Mitchell,Precinct 1,U.S. Senate,,,Write-In,0,,
Mitchell,Precinct 1,U.S. House,11,REP,August Pfluger,581,,
Mitchell,Precinct 1,U.S. House,11,DEM,Jon Mark Hogg,97,,
Mitchell,Precinct 1,U.S. House,11,LIB,Wacey Alpha Cody,4,,
Mitchell,Precinct 1,Railroad Commissioner,,REP,"James ""Jim""Wright",583,,
Mitchell,Precinct 1,Railroad Commissioner,,DEM,Chrysta Castaneda,93,,
Mitchell,Precinct 1,Railroad Commissioner,,LIB,Matt Sterett,8,,
Mitchell,Precinct 1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,,
Mitchell,Precinct 1,State Senate,28,REP,Charles Perry,600,,
Mitchell,Precinct 1,State Representative,83,REP,Dustin Burrows,584,,
Mitchell,Precinct 1,State Representative,83,DEM,Addison Perry-Franks,93,,
Mitchell,Precinct 2,Registered Voters,,,,288,,
Mitchell,Precinct 2,Ballots Cast,,,,189,,
Mitchell,Precinct 2,President,,REP,Donald J Trump,183,,
Mitchell,Precinct 2,President,,DEM,Joseph R Biden,6,,
Mitchell,Precinct 2,President,,LIB,Jo Jorgensen,0,,
Mitchell,Precinct 2,President,,GRN,Howie Hawkins,0,,
Mitchell,Precinct 2,President,,,Write-In,0,,
Mitchell,Precinct 2,U.S. Senate,,REP,John Cornyn,177,,
Mitchell,Precinct 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",6,,
Mitchell,Precinct 2,U.S. Senate,,LIB,Kerry Douglas McKennon,3,,
Mitchell,Precinct 2,U.S. Senate,,GRN,David B. Collins,0,,
Mitchell,Precinct 2,U.S. Senate,,,Write-In,0,,
Mitchell,Precinct 2,U.S. House,11,REP,August Pfluger,181,,
Mitchell,Precinct 2,U.S. House,11,DEM,Jon Mark Hogg,4,,
Mitchell,Precinct 2,U.S. House,11,LIB,Wacey Alpha Cody,1,,
Mitchell,Precinct 2,Railroad Commissioner,,REP,"James ""Jim""Wright",176,,
Mitchell,Precinct 2,Railroad Commissioner,,DEM,Chrysta Castaneda,8,,
Mitchell,Precinct 2,Railroad Commissioner,,LIB,Matt Sterett,1,,
Mitchell,Precinct 2,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,,
Mitchell,Precinct 2,State Senate,28,REP,Charles Perry,177,,
Mitchell,Precinct 2,State Representative,83,REP,Dustin Burrows,180,,
