county,precinct,office,district,party,candidate,votes,early_voting,mail,election_day,hand_count
Jasper,Box 1,Registered Voters,,,,44,,,,
Jasper,Box 1,Ballots Cast,,,,39,4,0,35,0
Jasper,Box 1,President,,REP,Donald J Trump,29,3,0,26,0
Jasper,Box 1,President,,DEM,Joseph R Biden,9,1,0,8,0
Jasper,Box 1,President,,LIB,Jo Jorgensen,0,0,0,0,0
Jasper,Box 1,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 1,President,,,Write-In,0,0,0,0,0
Jasper,Box 1,U.S. Senate,,REP,John Cornyn,28,3,0,25,0
Jasper,Box 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",10,1,0,9,0
Jasper,Box 1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0,0
Jasper,Box 1,U.S. Senate,,GRN,David B. Collins,0,0,0,0,0
Jasper,Box 1,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 1,U.S. House,36,REP,Brian Babin,30,3,0,27,0
Jasper,Box 1,U.S. House,36,DEM,Rashad Lewis,9,1,0,8,0
Jasper,Box 1,U.S. House,36,LIB,Chad Abbey,0,0,0,0,0
Jasper,Box 1,U.S. House,36,GRN,Hal J. Ridley Jr,0,0,0,0,0
Jasper,Box 1,Railroad Commissioner,,REP,"James ""Jim""Wright",29,3,0,26,0
Jasper,Box 1,Railroad Commissioner,,DEM,Chrysta Castaneda,10,1,0,9,0
Jasper,Box 1,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0,0
Jasper,Box 1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0,0
Jasper,Box 1,State Representative,19,REP,James White,30,3,0,27,0
Jasper,Box 2,Registered Voters,,,,686,,,,
Jasper,Box 2,Ballots Cast,,,,538,326,40,170,2
Jasper,Box 2,President,,REP,Donald J Trump,488,304,25,157,2
Jasper,Box 2,President,,DEM,Joseph R Biden,44,19,15,10,0
Jasper,Box 2,President,,LIB,Jo Jorgensen,1,0,0,1,0
Jasper,Box 2,President,,GRN,Howie Hawkins,0,0,0,0,0
Jasper,Box 2,President,,,Write-In,0,0,0,0,0
Jasper,Box 2,U.S. Senate,,REP,John Cornyn,473,298,24,149,2
Jasper,Box 2,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",44,19,14,11,0
Jasper,Box 2,U.S. Senate,,LIB,Kerry Douglas McKennon,10,5,1,4,0
Jasper,Box 2,U.S. Senate,,GRN,David B. Collins,1,0,1,0,0
Jasper,Box 2,U.S. Senate,,,Write-In,0,0,0,0,0
Jasper,Box 2,U.S. House,36,REP,Brian Babin,476,297,24,153,2
Jasper,Box 2,U.S. House,36,DEM,Rashad Lewis,42,19,14,9,0
Jasper,Box 2,U.S. House,36,LIB,Chad Abbey,7,5,1,1,0
Jasper,Box 2,U.S. House,36,GRN,Hal J. Ridley Jr,3,0,1,2,0
Jasper,Box 2,Railroad Commissioner,,REP,"James ""Jim""Wright",476,298,24,152,2
