county,precinct,office,district,candidate,party,absentee,early,election_day,votes
Willacy,Precinct 1,Ballots Cast,,,,,,,206
Willacy,Precinct 1,President,,Donald J. Trump Michael R. Pence,REP,3,78,32,113
Willacy,Precinct 1,President,,Joseph R. Biden Kamala D. Harris,DEM,5,71,16,92
Willacy,Precinct 1,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LBT,0,0,0,0
Willacy,Precinct 1,President,,Howie Hawkins Angela Walker,GRE,0,0,0,0
Willacy,Precinct 1,President,,Over Votes,,0,0,0,0
Willacy,Precinct 1,President,,Under Votes,,0,1,0,1
Willacy,Precinct 1,U.S. Senate,,John Cornyn,REP,3,70,21,94
Willacy,Precinct 1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,5,71,19,95
Willacy,Precinct 1,U.S. Senate,,Kerry Douglas McKennon,LBT,0,2,0,2
Willacy,Precinct 1,U.S. Senate,,David B. Collins,GRE,0,2,2,4
Willacy,Precinct 1,U.S. Senate,,Over Votes,,0,0,0,0
Willacy,Precinct 1,U.S. Senate,,Under Votes,,0,5,6,11
Willacy,Precinct 1,U.S. House,34,Rey Gonzalez,REP,2,62,13,77
Willacy,Precinct 1,U.S. House,34,Filemon B. Vela,DEM,6,82,29,117
Willacy,Precinct 1,U.S. House,34,Anthony Cristo,LBT,0,0,0,0
Willacy,Precinct 1,U.S. House,34,Chris B. Royal,IND,0,1,1,2
Willacy,Precinct 1,U.S. House,34,Over Votes,,0,0,0,0
Willacy,Precinct 1,U.S. House,34,Under Votes,,0,5,5,10
Willacy,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,3,69,20,92
Willacy,Precinct 1,Railroad Commissioner,,Chrysta Castañeda,DEM,5,70,20,95
Willacy,Precinct 1,Railroad Commissioner,,Matt Sterett,LBT,0,0,0,0
Willacy,Precinct 1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRE,0,2,1,3
Willacy,Precinct 1,Railroad Commissioner,,Over Votes,,0,0,0,0
Willacy,Precinct 1,Railroad Commissioner,,Under Votes,,0,9,7,16
Willacy,Precinct 1,"Chief Justice, Supreme Court",,Nathan Hecht,,3,64,17,84
Willacy,Precinct 1,"Chief Justice, Supreme Court",,Amy Clark Meachum,,5,69,22,96
Willacy,Precinct 1,"Chief Justice, Supreme Court",,Mark Ash,,0,3,0,3
Willacy,Precinct 1,"Chief Justice, Supreme Court",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Chief Justice, Supreme Court",,Under Votes,,0,14,9,23
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,Jane Bland,,2,69,24,95
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,Kathy Cheng,,6,65,16,87
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,Under Votes,,0,16,8,24
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 7",,Jeff Boyd,,3,65,15,83
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 7",,Staci Williams,,5,66,24,95
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 7",,William Bryan Strange III,,0,1,1,2
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 7",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 7",,Under Votes,,0,18,8,26
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 8",,Brett Busby,,3,63,15,81
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 8",,Gisela D. Triana,,5,68,24,97
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 8",,Tom Oxford,,0,3,2,5
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 8",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Justice, Supreme Court, Place No. 8",,Under Votes,,0,16,7,23
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 3",,Bert Richardson,,2,65,18,85
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 3",,Elizabeth Davis Frizell,,6,65,22,93
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 3",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 3",,Under Votes,,0,20,8,28
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 4",,Kevin Patrick Yeary,,3,66,18,87
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 4",,Tina Clinton,,5,66,22,93
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 4",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 4",,Under Votes,,0,18,8,26
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 9",,David Newell,,2,68,21,91
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 9",,Brandon Birmingham,,6,65,19,90
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 9",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Judge, Court of Criminal Appeals, Place No. 9",,Under Votes,,0,17,8,25
Willacy,Precinct 1,State Senate,27,Vanessa Tijerina,,2,28,8,38
Willacy,Precinct 1,State Senate,27,Eddie Lucio Jr,DEM,6,118,39,163
Willacy,Precinct 1,State Senate,27,Over Votes,,0,0,0,0
Willacy,Precinct 1,State Senate,27,Under Votes,,0,4,1,5
Willacy,Precinct 1,State Representative,31,Marian Knowlton,REP,2,50,12,64
Willacy,Precinct 1,State Representative,31,Ryan Guillen,DEM,6,89,31,126
Willacy,Precinct 1,State Representative,31,Over Votes,,0,0,0,0
Willacy,Precinct 1,State Representative,31,Under Votes,,0,11,5,16
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 4 - Unexpired Term",,Jaime Tijerina,,2,69,22,93
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 4 - Unexpired Term",,Migdalia Lopez,,5,70,21,96
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 4 - Unexpired Term",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 4 - Unexpired Term",,Under Votes,,1,11,5,17
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 6",,Clarissa Silva,,3,66,23,92
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 6",,Nereida Lopez-Singleterry,,4,71,19,94
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 6",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Justice, 13th Court of Appeals District, Place No. 6",,Under Votes,,1,13,6,20
Willacy,Precinct 1,County Attorney,,Annette C. Hinojosa,,7,102,40,149
Willacy,Precinct 1,County Attorney,,Over Votes,,0,0,0,0
Willacy,Precinct 1,County Attorney,,Under Votes,,1,48,8,57
Willacy,Precinct 1,Sheriff,,"Jose ""Joe"" Salazar",,7,107,36,150
Willacy,Precinct 1,Sheriff,,Over Votes,,0,0,0,0
Willacy,Precinct 1,Sheriff,,Under Votes,,1,43,12,56
Willacy,Precinct 1,County Tax Assessor-Collector,,Elizabeth Barnhart,,8,107,34,149
Willacy,Precinct 1,County Tax Assessor-Collector,,Over Votes,,0,0,0,0
Willacy,Precinct 1,County Tax Assessor-Collector,,Under Votes,,0,43,14,57
Willacy,Precinct 1,"County Commissioner, Precinct No. 1",,Ram Ramirez,,3,56,15,74
Willacy,Precinct 1,"County Commissioner, Precinct No. 1",,Eliberto (Beto Guerra,,5,82,28,115
Willacy,Precinct 1,"County Commissioner, Precinct No. 1",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"County Commissioner, Precinct No. 1",,Under Votes,,0,12,5,17
Willacy,Precinct 1,"Constable, Precinct No. 1",,Carlos Ybarra,,8,106,34,148
Willacy,Precinct 1,"Constable, Precinct No. 1",,Over Votes,,0,0,0,0
Willacy,Precinct 1,"Constable, Precinct No. 1",,Under Votes,,0,44,14,58
Willacy,Precinct 1A,Ballots Cast,,,,,,,552
Willacy,Precinct 1A,President,,Donald J. Trump Michael R. Pence,REP,6,99,91,196
Willacy,Precinct 1A,President,,Joseph R. Biden Kamala D. Harris,DEM,33,250,65,348
Willacy,Precinct 1A,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LBT,0,2,1,3
Willacy,Precinct 1A,President,,Howie Hawkins Angela Walker,GRE,0,2,2,4
Willacy,Precinct 1A,President,,Over Votes,,0,0,0,0
Willacy,Precinct 1A,President,,Under Votes,,0,1,0,1
Willacy,Precinct 1A,U.S. Senate,,John Cornyn,REP,10,92,68,170
Willacy,Precinct 1A,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,28,225,73,326
Willacy,Precinct 1A,U.S. Senate,,Kerry Douglas McKennon,LBT,0,5,3,8
Willacy,Precinct 1A,U.S. Senate,,David B. Collins,GRE,0,3,3,6
Willacy,Precinct 1A,U.S. Senate,,Over Votes,,0,0,0,0
Willacy,Precinct 1A,U.S. Senate,,Under Votes,,1,29,12,42
Willacy,Precinct 1A,U.S. House,34,Rey Gonzalez,REP,0,71,62,133
Willacy,Precinct 1A,U.S. House,34,Filemon B. Vela,DEM,39,243,79,361
Willacy,Precinct 1A,U.S. House,34,Anthony Cristo,LBT,0,3,1,4
Willacy,Precinct 1A,U.S. House,34,Chris B. Royal,IND,0,4,2,6
Willacy,Precinct 1A,U.S. House,34,Over Votes,,0,0,0,0
Willacy,Precinct 1A,U.S. House,34,Under Votes,,0,33,15,48
