county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Madison,101,Registered Voters,,,,,,,575
Madison,101,President,,DEM,Pete Buttigieg,0,2,0,2
Madison,101,President,,DEM,Andrew Yang,0,0,0,0
Madison,101,President,,DEM,Robby Wells,0,0,0,0
Madison,101,President,,DEM,Tulsi Gabbard,0,0,0,0
Madison,101,President,,DEM,Tom Steyer,0,0,1,1
Madison,101,President,,DEM,John K. Delaney,0,0,0,0
Madison,101,President,,DEM,Deval Patrick,0,0,0,0
Madison,101,President,,DEM,Bernie Sanders,2,10,16,28
Madison,101,President,,DEM,Julián Castro,0,0,0,0
Madison,101,President,,DEM,Joseph R. Biden,7,6,17,30
Madison,101,President,,DEM,Michael R. Bloomberg,2,2,2,6
Madison,101,President,,DEM,Cory Booker,0,0,0,0
Madison,101,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Madison,101,President,,DEM,Marianne Williamson,0,0,0,0
Madison,101,President,,DEM,Amy Klobuchar,0,1,0,1
Madison,101,President,,DEM,Michael Bennet,0,1,0,1
Madison,101,President,,DEM,Elizabeth Warren,0,1,4,5
Madison,101,Ballots Cast,,DEM,,11,23,40,74
Madison,101,President,,DEM,Undervotes,0,0,1,1
Madison,101,President,,DEM,Overvotes,0,0,0,0
Madison,101,United States Senator,,DEM,Chris Bell,3,2,5,10
Madison,101,United States Senator,,DEM,Sema Hernandez,0,5,5,10
Madison,101,United States Senator,,DEM,"Annie ""Mamá"" Garcia",0,2,1,3
Madison,101,United States Senator,,DEM,Adrian Ocegueda,0,0,1,1
Madison,101,United States Senator,,DEM,"Mary ""MJ"" Hegar",2,4,7,13
Madison,101,United States Senator,,DEM,Cristina Tzintzun Ramirez,1,1,2,4
Madison,101,United States Senator,,DEM,Victor Hugo Harris,1,0,0,1
Madison,101,United States Senator,,DEM,Jack Daniel Foster Jr,0,1,2,3
Madison,101,United States Senator,,DEM,Royce West,1,0,2,3
Madison,101,United States Senator,,DEM,Amanda K. Edwards,0,1,5,6
Madison,101,United States Senator,,DEM,D. R. Hunter,0,0,1,1
Madison,101,United States Senator,,DEM,Michael Cooper,2,1,1,4
Madison,101,United States Senator,,DEM,Undervotes,1,6,9,16
Madison,101,United States Senator,,DEM,Overvotes,0,0,0,0
Madison,101,"United States Representative, District No. 8",,DEM,Elizabeth Hernandez,3,12,15,30
Madison,101,"United States Representative, District No. 8",,DEM,Laura Jones,7,6,17,30
Madison,101,"United States Representative, District No. 8",,DEM,Cast Votes:,10,18,32,60
Madison,101,"United States Representative, District No. 8",,DEM,Undervotes,1,5,9,15
Madison,101,"United States Representative, District No. 8",,DEM,Overvotes,0,0,0,0
Madison,101,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",3,8,10,21
Madison,101,Railroad Commissioner,,DEM,Kelly Stone,3,1,7,11
Madison,101,Railroad Commissioner,,DEM,Mark Watson,4,3,13,20
Madison,101,Railroad Commissioner,,DEM,Chrysta Castañeda,0,4,3,7
Madison,101,Railroad Commissioner,,DEM,Cast Votes:,10,16,33,59
Madison,101,Railroad Commissioner,,DEM,Undervotes,1,7,8,16
Madison,101,Railroad Commissioner,,DEM,Overvotes,0,0,0,0
Madison,101,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,9,11,24,44
Madison,101,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,1,3,10,14
Madison,101,"Chief Justice, Supreme Court",,DEM,Undervotes,1,9,7,17
Madison,101,"Chief Justice, Supreme Court",,DEM,Overvotes,0,0,0,0
Madison,101,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Larry Praeger,6,3,9,18
Madison,101,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Kathy Cheng,4,13,24,41
Madison,101,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Cast Votes:,10,16,33,59
Madison,101,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Undervotes,1,7,8,16
Madison,101,"Justice, Supreme Court, Place 6 Unexpired Term",,DEM,Overvotes,0,0,0,0
Madison,101,"Justice, Supreme Court, Place 7",,DEM,Staci Williams,5,12,25,42
Madison,101,"Justice, Supreme Court, Place 7",,DEM,Brandy Voss,5,2,9,16
Madison,101,"Justice, Supreme Court, Place 7",,DEM,Cast Votes:,10,14,34,58
Madison,101,"Justice, Supreme Court, Place 7",,DEM,Undervotes,1,9,7,17
Madison,101,"Justice, Supreme Court, Place 7",,DEM,Overvotes,0,0,0,0
Madison,101,"Justice, Supreme Court, Place 8",,DEM,Peter Kelly,6,6,15,27
Madison,101,"Justice, Supreme Court, Place 8",,DEM,Gisela D. Triana,4,7,18,29
Madison,101,"Justice, Supreme Court, Place 8",,DEM,Cast Votes:,10,13,33,56
Madison,101,"Justice, Supreme Court, Place 8",,DEM,Undervotes,1,10,8,19
Madison,101,"Justice, Supreme Court, Place 8",,DEM,Overvotes,0,0,0,0
Madison,101,"Judge, Court of Criminal Appeals, Place 3",,DEM,Elizabeth Davis Frizell,7,12,22,41
Madison,101,"Judge, Court of Criminal Appeals, Place 3",,DEM,William Pieratt Demond,1,0,5,6
Madison,101,"Judge, Court of Criminal Appeals, Place 3",,DEM,Dan Wood,2,1,6,9
Madison,101,"Judge, Court of Criminal Appeals, Place 3",,DEM,Undervotes,1,10,8,19
Madison,101,"Judge, Court of Criminal Appeals, Place 3",,DEM,Overvotes,0,0,0,0
Madison,101,"Judge, Court of Criminal Appeals, Place 4",,DEM,Steven Miears,3,4,10,17
Madison,101,"Judge, Court of Criminal Appeals, Place 4",,DEM,Tina Clinton,7,10,23,40
Madison,101,"Judge, Court of Criminal Appeals, Place 4",,DEM,Cast Votes:,10,14,33,57
Madison,101,"Judge, Court of Criminal Appeals, Place 4",,DEM,Undervotes,1,9,8,18
Madison,101,"Judge, Court of Criminal Appeals, Place 4",,DEM,Overvotes,0,0,0,0
Madison,101,"Judge, Court of Criminal Appeals, Place 9",,DEM,Brandon Birmingham,9,12,29,50
Madison,101,"Judge, Court of Criminal Appeals, Place 9",,DEM,Cast Votes:,9,12,29,50
Madison,101,"Judge, Court of Criminal Appeals, Place 9",,DEM,Undervotes,2,11,12,25
Madison,101,"Judge, Court of Criminal Appeals, Place 9",,DEM,Overvotes,0,0,0,0
Madison,101,"Member, State Board of Education, District 10",,DEM,Stephen Wyman,5,4,5,14
Madison,101,"Member, State Board of Education, District 10",,DEM,Marsha Burnett-Webster,5,9,28,42
Madison,101,"Member, State Board of Education, District 10",,DEM,Cast Votes:,10,13,33,56
Madison,101,"Member, State Board of Education, District 10",,DEM,Undervotes,1,10,8,19
Madison,101,"Member, State Board of Education, District 10",,DEM,Overvotes,0,0,0,0
Madison,101,"State Representative, District 57",,DEM,Jason Rogers,8,13,29,50
Madison,101,"State Representative, District 57",,DEM,Undervotes,3,10,12,25
Madison,101,"State Representative, District 57",,DEM,Overvotes,0,0,0,0
Madison,101,President,,REP,Donald J. Trump,10,230,228,468
Madison,101,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Madison,101,President,,REP,Zoltan G. Istvan,0,0,0,0
Madison,101,President,,REP,Bob Ely,0,1,1,2
Madison,101,President,,REP,Joe Walsh,0,1,0,1
Madison,101,President,,REP,Matthew John Matern,0,0,0,0
Madison,101,President,,REP,Bill Weld,0,0,1,1
Madison,101,President,,REP,Uncommitted,0,8,11,19
Madison,101,President,,REP,Cast Votes:,10,240,241,491
Madison,101,President,,REP,Undervotes,0,5,3,8
Madison,101,President,,REP,Overvotes,1,0,0,1
Madison,101,United States Senator,,REP,John Anthony Castro,0,20,20,40
Madison,101,United States Senator,,REP,Dwayne Stovall,1,40,29,70
Madison,101,United States Senator,,REP,John Cornyn,8,159,145,312
Madison,101,United States Senator,,REP,Virgil Bierschwale,0,1,0,1
Madison,101,United States Senator,,REP,Mark Yancey,1,10,14,25
Madison,101,United States Senator,,REP,Cast Votes:,10,230,208,448
Madison,101,United States Senator,,REP,Undervotes,0,15,36,51
Madison,101,United States Senator,,REP,Overvotes,1,0,0,1
Madison,101,"United States Representative, District No. 8",,REP,Kevin Brady,10,210,198,418
Madison,101,"United States Representative, District No. 8",,REP,Melissa Esparza-Mathis,0,5,9,14
Madison,101,"United States Representative, District No. 8",,REP,Kirk Osborn,0,26,19,45
Madison,101,Ballots Cast,,REP,,10,241,226,477
Madison,101,"United States Representative, District No. 8",,REP,Undervotes,0,4,18,22
Madison,101,"United States Representative, District No. 8",,REP,Overvotes,1,0,0,1
Madison,101,Railroad Commissioner,,REP,"James ""Jim"" Wright",9,153,151,313
Madison,101,Railroad Commissioner,,REP,Ryan Sitton,1,58,41,100
Madison,101,Railroad Commissioner,,REP,Cast Votes:,10,211,192,413
Madison,101,Railroad Commissioner,,REP,Undervotes,0,34,52,86
Madison,101,Railroad Commissioner,,REP,Overvotes,1,0,0,1
Madison,101,"Chief Justice, Supreme Court",,REP,Nathan Hecht,11,209,192,412
Madison,101,"Chief Justice, Supreme Court",,REP,Cast Votes:,11,209,192,412
Madison,101,"Chief Justice, Supreme Court",,REP,Undervotes,0,36,52,88
Madison,101,"Chief Justice, Supreme Court",,REP,Overvotes,0,0,0,0
Madison,101,"Justice, Supreme Court, Place 6",,REP,Jane Bland,11,205,189,405
Madison,101,"Justice, Supreme Court, Place 6",,REP,Cast Votes:,11,205,189,405
Madison,101,"Justice, Supreme Court, Place 6",,REP,Undervotes,0,40,55,95
Madison,101,"Justice, Supreme Court, Place 6",,REP,Overvotes,0,0,0,0
Madison,101,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,11,202,186,399
