county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Childress,PRECINCT 101,Ballots Cast,,DEM,,23,1,3,19
Childress,PRECINCT 101,President,,REP,Bob Ely,0,0,0,0
Childress,PRECINCT 101,President,,REP,Roque Rocky DeLa Fuente Guerra,0,0,0,0
Childress,PRECINCT 101,President,,REP,Zoltan G. Istvan,0,0,0,0
Childress,PRECINCT 101,President,,REP,Donald J. Trump,270,4,132,134
Childress,PRECINCT 101,President,,REP,Matthew John Matern,0,0,0,0
Childress,PRECINCT 101,President,,REP,Bill Weld,1,0,0,1
Childress,PRECINCT 101,President,,REP,Joe Walsh,1,0,0,1
Childress,PRECINCT 101,President,,REP,Uncommitted,6,0,4,2
Childress,PRECINCT 101,U.S. Senate,,REP,Virgil Bierschwale,5,0,3,2
Childress,PRECINCT 101,U.S. Senate,,REP,John Anthony Castro,19,0,12,7
Childress,PRECINCT 101,U.S. Senate,,REP,Dwayne Stovall,32,0,17,15
Childress,PRECINCT 101,U.S. Senate,,REP,Mark Yancey,12,0,6,6
Childress,PRECINCT 101,U.S. Senate,,REP,John Cornyn,195,4,92,99
Childress,PRECINCT 101,U.S. House,13,REP,Elaine Hays,11,0,9,2
Childress,PRECINCT 101,U.S. House,13,REP,Chris Ekstrom,51,0,30,21
Childress,PRECINCT 101,U.S. House,13,REP,Ronny Jackson,54,2,25,27
Childress,PRECINCT 101,U.S. House,13,REP,Jamie Culley,2,0,0,2
Childress,PRECINCT 101,U.S. House,13,REP,Asusena Reséndiz,2,0,0,2
Childress,PRECINCT 101,U.S. House,13,REP,Monique Worthy,1,0,1,0
Childress,PRECINCT 101,U.S. House,13,REP,Jason Foglesong,0,0,0,0
Childress,PRECINCT 101,U.S. House,13,REP,Lee Harvey,3,0,2,1
Childress,PRECINCT 101,U.S. House,13,REP,"Catherine ""I Swear"" Carr",1,0,1,0
Childress,PRECINCT 101,U.S. House,13,REP,Mark Neese,0,0,0,0
Childress,PRECINCT 101,U.S. House,13,REP,Richard Herman,1,0,1,0
Childress,PRECINCT 101,U.S. House,13,REP,Vance Snider II,11,0,6,5
Childress,PRECINCT 101,U.S. House,13,REP,Matt McArthur,5,0,2,3
Childress,PRECINCT 101,U.S. House,13,REP,Josh Winegarner,124,2,54,68
Childress,PRECINCT 101,U.S. House,13,REP,Diane Knowlton,2,0,2,0
Childress,PRECINCT 101,Railroad Commissioner,,REP,Ryan Sitton,80,1,34,45
Childress,PRECINCT 101,Railroad Commissioner,,REP,"James ""Jim"" Wright",167,1,90,76
Childress,PRECINCT 101,"Chief Justice, Supreme Court",,REP,Nathan Hecht,254,3,127,124
Childress,PRECINCT 101,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,255,3,127,125
Childress,PRECINCT 101,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,253,3,127,123
Childress,PRECINCT 101,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,254,3,128,123
Childress,PRECINCT 101,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,167,0,81,86
Childress,PRECINCT 101,"Judge, Ct of Crim App, Pl 3",,REP,Gina Parker,84,2,44,38
Childress,PRECINCT 101,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,256,3,128,125
Childress,PRECINCT 101,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,255,3,126,126
