county,precinct,office,district,party,candidate,election_day,early_voting,votes
Hardeman,1,President,,REP,Bill Weld,2,0,2
Hardeman,1,President,,REP,Zoltan G. Istvan,0,0,0
Hardeman,1,President,,REP,Matthew John Matern,0,0,0
Hardeman,1,President,,REP,Donald J. Trump,126,75,201
Hardeman,1,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",1,0,1
Hardeman,1,President,,REP,Joe Walsh,0,1,1
Hardeman,1,President,,REP,Bob Ely,0,0,0
Hardeman,1,President,,REP,Uncommitted,5,3,8
Hardeman,2,President,,REP,Bill Weld,1,0,1
Hardeman,2,President,,REP,Zoltan G. Istvan,0,0,0
Hardeman,2,President,,REP,Matthew John Matern,0,0,0
Hardeman,2,President,,REP,Donald J. Trump,86,48,134
Hardeman,2,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Hardeman,2,President,,REP,Joe Walsh,0,1,1
Hardeman,2,President,,REP,Bob Ely,0,0,0
Hardeman,2,President,,REP,Uncommitted,3,4,7
Hardeman,3,President,,REP,Bill Weld,0,0,0
Hardeman,3,President,,REP,Zoltan G. Istvan,0,0,0
Hardeman,3,President,,REP,Matthew John Matern,0,0,0
Hardeman,3,President,,REP,Donald J. Trump,89,46,135
Hardeman,3,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Hardeman,3,President,,REP,Joe Walsh,0,0,0
Hardeman,3,President,,REP,Bob Ely,0,0,0
Hardeman,3,President,,REP,Uncommitted,0,0,0
Hardeman,4,President,,REP,Bill Weld,0,1,1
Hardeman,4,President,,REP,Zoltan G. Istvan,0,0,0
Hardeman,4,President,,REP,Matthew John Matern,0,0,0
Hardeman,4,President,,REP,Donald J. Trump,123,61,184
Hardeman,4,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Hardeman,4,President,,REP,Joe Walsh,3,1,4
Hardeman,4,President,,REP,Bob Ely,0,0,0
Hardeman,4,President,,REP,Uncommitted,0,5,5
Hardeman,1,U.S. Senate,,REP,John Anthony Castro,11,2,13
Hardeman,1,U.S. Senate,,REP,Dwayne Stovall,16,9,25
Hardeman,1,U.S. Senate,,REP,John Cornyn,71,51,122
Hardeman,1,U.S. Senate,,REP,Mark Yancey,14,6,20
Hardeman,1,U.S. Senate,,REP,Virgil Bierschwale,0,0,0
Hardeman,2,U.S. Senate,,REP,John Anthony Castro,9,0,9
Hardeman,2,U.S. Senate,,REP,Dwayne Stovall,14,4,18
Hardeman,2,U.S. Senate,,REP,John Cornyn,51,34,85
Hardeman,2,U.S. Senate,,REP,Mark Yancey,2,4,6
Hardeman,2,U.S. Senate,,REP,Virgil Bierschwale,1,0,1
Hardeman,3,U.S. Senate,,REP,John Anthony Castro,5,2,7
Hardeman,3,U.S. Senate,,REP,Dwayne Stovall,14,8,22
Hardeman,3,U.S. Senate,,REP,John Cornyn,51,31,82
Hardeman,3,U.S. Senate,,REP,Mark Yancey,8,2,10
Hardeman,3,U.S. Senate,,REP,Virgil Bierschwale,1,0,1
Hardeman,4,U.S. Senate,,REP,John Anthony Castro,7,5,12
Hardeman,4,U.S. Senate,,REP,Dwayne Stovall,21,4,25
Hardeman,4,U.S. Senate,,REP,John Cornyn,71,47,118
Hardeman,4,U.S. Senate,,REP,Mark Yancey,13,2,15
Hardeman,4,U.S. Senate,,REP,Virgil Bierschwale,3,0,3
Hardeman,1,U.S. House,13,REP,Matt McArthur,11,3,14
Hardeman,1,U.S. House,13,REP,Richard Herman,1,0,1
Hardeman,1,U.S. House,13,REP,Lee Harvey,9,5,14
