county,precinct,office,district,party,candidate,total,absentee,early_voting,election_day
Yoakum,Precinct 101,Registered Voters,,,,1155,,,
Yoakum,Precinct 101,Ballots Cast,,,,708,27,569,112
Yoakum,Precinct 101,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 101,President,,REP,Donald J Trump,615,20,509,86
Yoakum,Precinct 101,President,,DEM,Joseph R Biden,81,4,52,25
Yoakum,Precinct 101,President,,LIB,Jo Jorgensen,8,3,4,1
Yoakum,Precinct 101,President,,GRN,Howie Hawkins,3,0,3,0
Yoakum,Precinct 101,President,,,Write-in Totals,1,0,1,0
Yoakum,Precinct 101,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 101,President,,,Undervotes,0,0,0,0
Yoakum,Precinct 101,U.S. Senate,,REP,John Cornyn,614,24,501,89
Yoakum,Precinct 101,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",76,3,55,18
Yoakum,Precinct 101,U.S. Senate,,LIB,Kerry Douglas McKennon,9,0,7,2
Yoakum,Precinct 101,U.S. Senate,,GRN,David B. Collins,4,0,2,2
Yoakum,Precinct 101,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 101,U.S. Senate,,,Overvotes,0,0,0,0
Yoakum,Precinct 101,U.S. Senate,,,Undervotes,5,0,4,1
Yoakum,Precinct 101,U.S. House,19,REP,Jodey C. Arrington,625,24,511,90
Yoakum,Precinct 101,U.S. House,19,DEM,Tom Watson,71,3,50,18
Yoakum,Precinct 101,U.S. House,19,LIB,Joe Burnes,9,0,6,3
Yoakum,Precinct 101,U.S. House,19,,Overvotes,0,0,0,0
Yoakum,Precinct 101,U.S. House,19,,Undervotes,3,0,2,1
Yoakum,Precinct 101,Railroad Commissioner,,REP,"James ""Jim""Wright",615,23,505,87
Yoakum,Precinct 101,Railroad Commissioner,,DEM,Chrysta Castaneda,80,4,55,21
Yoakum,Precinct 101,Railroad Commissioner,,LIB,Matt Sterett,7,0,5,2
Yoakum,Precinct 101,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",2,0,1,1
Yoakum,Precinct 101,Railroad Commissioner,,,Overvotes,0,0,0,0
Yoakum,Precinct 101,Railroad Commissioner,,,Undervotes,4,0,3,1
Yoakum,Precinct 101,State Representative,88,REP,Ken King,680,25,547,108
Yoakum,Precinct 101,State Representative,88,,Overvotes,0,0,0,0
Yoakum,Precinct 101,State Representative,88,,Undervotes,28,2,22,4
Yoakum,Precinct 202,Registered Voters,,,,1175,,,
Yoakum,Precinct 202,Ballots Cast,,,,684,26,531,127
Yoakum,Precinct 202,Ballots Cast Blank,,,,0,0,0,0
Yoakum,Precinct 202,President,,REP,Donald J Trump,572,18,455,99
Yoakum,Precinct 202,President,,DEM,Joseph R Biden,102,8,70,24
Yoakum,Precinct 202,President,,LIB,Jo Jorgensen,6,0,2,4
Yoakum,Precinct 202,President,,GRN,Howie Hawkins,1,0,1,0
Yoakum,Precinct 202,President,,,Write-in Totals,1,0,1,0
Yoakum,Precinct 202,President,,,Overvotes,0,0,0,0
Yoakum,Precinct 202,President,,,Undervotes,2,0,2,0
Yoakum,Precinct 202,U.S. Senate,,REP,John Cornyn,568,19,453,96
Yoakum,Precinct 202,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",92,7,62,23
Yoakum,Precinct 202,U.S. Senate,,LIB,Kerry Douglas McKennon,11,0,7,4
Yoakum,Precinct 202,U.S. Senate,,GRN,David B. Collins,4,0,3,1
Yoakum,Precinct 202,U.S. Senate,,,Write-in Totals,0,0,0,0
Yoakum,Precinct 202,U.S. Senate,,,Overvotes,0,0,0,0
Yoakum,Precinct 202,U.S. Senate,,,Undervotes,9,0,6,3
Yoakum,Precinct 202,U.S. House,19,REP,Jodey C. Arrington,570,18,458,94
Yoakum,Precinct 202,U.S. House,19,DEM,Tom Watson,86,7,59,20
Yoakum,Precinct 202,U.S. House,19,LIB,Joe Burnes,14,0,5,9
