county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Baylor,1,Ballots Cast,,REP,,189,132,6,327
Baylor,1,President,,REP,Zoltan G. Istvan,0,1,0,1
Baylor,1,President,,REP,Joe Walsh,1,0,0,1
Baylor,1,President,,REP,Donald J. Trump,178,121,5,304
Baylor,1,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Baylor,1,President,,REP,Bill Weld,0,0,0,0
Baylor,1,President,,REP,Matthew John Matern,0,0,0,0
Baylor,1,President,,REP,Bob Ely,0,0,0,0
Baylor,1,President,,REP,Uncommitted,4,5,0,9
Baylor,1,U.S. Senate,,REP,John Cornyn,135,86,5,226
Baylor,1,U.S. Senate,,REP,Virgil Bierschwale,2,0,0,2
Baylor,1,U.S. Senate,,REP,Mark Yancey,11,12,0,23
Baylor,1,U.S. Senate,,REP,John Anthony Castro,4,5,0,9
Baylor,1,U.S. Senate,,REP,Dwayne Stovall,15,9,0,24
Baylor,1,U.S. House,13,REP,Elaine Hays,7,8,2,17
Baylor,1,U.S. House,13,REP,Chris Ekstrom,51,19,0,70
Baylor,1,U.S. House,13,REP,Matt McArthur,3,2,0,5
Baylor,1,U.S. House,13,REP,Richard Herman,0,1,0,1
Baylor,1,U.S. House,13,REP,Ronny Jackson,22,16,0,38
Baylor,1,U.S. House,13,REP,Monique Worthy,2,1,0,3
Baylor,1,U.S. House,13,REP,Lee Harvey,4,6,0,10
Baylor,1,U.S. House,13,REP,Jamie Culley,0,0,0,0
Baylor,1,U.S. House,13,REP,Vance Snider II,17,11,0,28
Baylor,1,U.S. House,13,REP,Mark Neese,3,1,0,4
Baylor,1,U.S. House,13,REP,Asusena Resendiz,0,1,0,1
Baylor,1,U.S. House,13,REP,Diane Knowlton,1,1,0,2
Baylor,1,U.S. House,13,REP,Jason Foglesong,1,0,0,1
Baylor,1,U.S. House,13,REP,"Catherine ""I Swear"" Carr",1,0,0,1
Baylor,1,U.S. House,13,REP,Josh Winegarner,58,52,3,113
Baylor,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",114,82,1,197
Baylor,1,Railroad Commissioner,,REP,Ryan Sitton,24,23,4,51
Baylor,1,State Senate,28,REP,Charles Perry,137,96,5,238
Baylor,1,State Representative,69,REP,James B. Frank,137,96,5,238
Baylor,2,Ballots Cast,,REP,,99,68,3,170
Baylor,2,President,,REP,Zoltan G. Istvan,0,0,0,0
Baylor,2,President,,REP,Joe Walsh,1,0,0,1
Baylor,2,President,,REP,Donald J. Trump,87,67,3,157
Baylor,2,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Baylor,2,President,,REP,Bill Weld,0,0,0,0
Baylor,2,President,,REP,Matthew John Matern,2,0,0,2
Baylor,2,President,,REP,Bob Ely,2,0,0,2
Baylor,2,President,,REP,Uncommitted,2,1,0,3
