county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Shackelford,101,Registered Voters,,,,536,,,
Shackelford,101,Ballots Cast,,,,377,0,333,44
Shackelford,101,President,,,Over Votes,0,0,0,0
Shackelford,101,President,,,Under Votes,2,0,2,0
Shackelford,101,President,,REP,Donald J. Trump Michael R. Pence,341,0,301,40
Shackelford,101,President,,DEM,Joseph R. Biden Kamala D. Harris,32,0,28,4
Shackelford,101,President,,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",1,0,1,0
Shackelford,101,President,,GRN,Howie Hawkins Angela Walker,1,0,1,0
Shackelford,101,U.S. Senate,,,Over Votes,0,0,0,0
Shackelford,101,U.S. Senate,,,Under Votes,7,0,6,1
Shackelford,101,U.S. Senate,,REP,John Cornyn,339,0,299,40
Shackelford,101,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",30,0,27,3
Shackelford,101,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,1,0
Shackelford,101,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Shackelford,101,U.S. House,19,,Over Votes,2,0,2,0
Shackelford,101,U.S. House,19,,Under Votes,5,0,4,1
Shackelford,101,U.S. House,19,REP,Jodey C. Arrington,343,0,302,41
Shackelford,101,U.S. House,19,DEM,Tom Watson,26,0,24,2
Shackelford,101,U.S. House,19,LIB,Joe Burnes,1,0,1,0
Shackelford,101,Railroad Commissioner,,,Over Votes,0,0,0,0
Shackelford,101,Railroad Commissioner,,,Under Votes,11,0,10,1
Shackelford,101,Railroad Commissioner,,REP,"James ""Jim"" Wright",338,0,297,41
Shackelford,101,Railroad Commissioner,,DEM,Chrysta Castañeda,26,0,25,1
Shackelford,101,Railroad Commissioner,,LIB,Matt Sterett,1,0,0,1
Shackelford,101,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",1,0,1,0
Shackelford,101,"Chief Justice, Supreme Court",,,Over Votes,1,0,1,0
Shackelford,101,"Chief Justice, Supreme Court",,,Under Votes,11,0,10,1
