county,precinct,office,district,candidate,party,votes,early_voting,election_day
Martin,1,Registered Voters,,,,252,,
Martin,1,President,,Deval Patrick,DEM,0,0,0
Martin,1,President,,Joseph R. Biden,DEM,4,0,4
Martin,1,President,,Pete Buttigieg,DEM,0,0,0
Martin,1,President,,Amy Klobuchar,DEM,0,0,0
Martin,1,President,,Julin Castro,DEM,0,0,0
Martin,1,President,,Marianne Williamson,DEM,0,0,0
Martin,1,President,,Bernie Sanders,DEM,10,2,8
Martin,1,President,,Andrew Yang,DEM,0,0,0
Martin,1,President,,John K. Delaney,DEM,0,0,0
Martin,1,President,,Robby Wells,DEM,0,0,0
Martin,1,President,,Tulsi Gabbard,DEM,0,0,0
Martin,1,President,,Michael Bennet,DEM,0,0,0
Martin,1,President,,Elizabeth Warren,DEM,0,0,0
Martin,1,President,,Michael R. Bloomberg,DEM,0,0,0
Martin,1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0
Martin,1,President,,Cory Booker,DEM,0,0,0
Martin,1,President,,Tom Steyer,DEM,0,0,0
Martin,1,U.S. Senate,,Adrian Ocegueda,DEM,1,0,1
Martin,1,U.S. Senate,,Michael Cooper,DEM,1,0,1
Martin,1,U.S. Senate,,Sema Hernandez,DEM,4,0,4
Martin,1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,2,2,0
Martin,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,2,0,2
Martin,1,U.S. Senate,,Amanda K. Edwards,DEM,2,0,2
Martin,1,U.S. Senate,,Jack Daniel Foster Jr,DEM,0,0,0
Martin,1,U.S. Senate,,Chris Bell,DEM,0,0,0
Martin,1,U.S. Senate,,Royce West,DEM,0,0,0
Martin,1,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0
Martin,1,U.S. Senate,,D.R. Hunter,DEM,0,0,0
Martin,1,U.S. Senate,,"Annie ""Mam"" Garcia",DEM,0,0,0
Martin,1,U.S. House,11,Jon Mark Hogg,DEM,11,2,9
Martin,1,Railroad Commissioner,,Mark Watson,DEM,1,0,1
Martin,1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,4,1,3
Martin,1,Railroad Commissioner,,Kelly Stone,DEM,0,0,0
Martin,1,Railroad Commissioner,,Chrysta Castaeda,DEM,7,1,6
Martin,1,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,9,2,7
Martin,1,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,3,0,3
Martin,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,9,2,7
Martin,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,2,0,2
Martin,1,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,6,2,4
Martin,1,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,6,0,6
Martin,1,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,8,2,6
Martin,1,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,4,0,4
Martin,1,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,0,0,0
Martin,1,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,3,0,3
Martin,1,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,9,2,7
Martin,1,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,10,2,8
Martin,1,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,2,0,2
Martin,1,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,11,2,9
Martin,1,"Member, State Board of Education",15,John Betancourt,DEM,11,2,9
Martin,1,Proposition #1,,Yes,DEM,13,2,11
Martin,1,Proposition #1,,No,DEM,0,0,0
Martin,1,Proposition #2,,Yes,DEM,11,2,9
Martin,1,Proposition #2,,No,DEM,1,0,1
Martin,1,Proposition #3,,Yes,DEM,13,2,11
Martin,1,Proposition #3,,No,DEM,0,0,0
Martin,1,Proposition #4,,Yes,DEM,11,2,9
Martin,1,Proposition #4,,No,DEM,2,0,2
Martin,1,Proposition #5,,Yes,DEM,13,2,11
Martin,1,Proposition #5,,No,DEM,0,0,0
Martin,1,Proposition #6,,Yes,DEM,13,2,11
Martin,1,Proposition #6,,No,DEM,0,0,0
Martin,1,Proposition #7,,Yes,DEM,13,2,11
Martin,1,Proposition #7,,No,DEM,0,0,0
Martin,1,Proposition #8,,Yes,DEM,13,2,11
Martin,1,Proposition #8,,No,DEM,0,0,0
Martin,1,Proposition #9,,Yes,DEM,12,2,10
Martin,1,Proposition #9,,No,DEM,1,0,1
Martin,1,Proposition #10,,Yes,DEM,13,2,11
Martin,1,Proposition #10,,No,DEM,0,0,0
Martin,1,Proposition #11,,Yes,DEM,12,2,10
Martin,1,Proposition #11,,No,DEM,1,0,1
Martin,2,Registered Voters,,,,179,,
Martin,2,President,,Deval Patrick,DEM,1,0,1
Martin,2,President,,Joseph R. Biden,DEM,3,0,3
Martin,2,President,,Pete Buttigieg,DEM,0,0,0
Martin,2,President,,Amy Klobuchar,DEM,0,0,0
Martin,2,President,,Julin Castro,DEM,1,1,0
Martin,2,President,,Marianne Williamson,DEM,0,0,0
Martin,2,President,,Bernie Sanders,DEM,4,1,3
Martin,2,President,,Andrew Yang,DEM,0,0,0
Martin,2,President,,John K. Delaney,DEM,0,0,0
Martin,2,President,,Robby Wells,DEM,0,0,0
Martin,2,President,,Tulsi Gabbard,DEM,0,0,0
Martin,2,President,,Michael Bennet,DEM,0,0,0
Martin,2,President,,Elizabeth Warren,DEM,0,0,0
Martin,2,President,,Michael R. Bloomberg,DEM,1,0,1
Martin,2,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0
Martin,2,President,,Cory Booker,DEM,0,0,0
Martin,2,President,,Tom Steyer,DEM,0,0,0
Martin,2,U.S. Senate,,Adrian Ocegueda,DEM,1,0,1
Martin,2,U.S. Senate,,Michael Cooper,DEM,0,0,0
Martin,2,U.S. Senate,,Sema Hernandez,DEM,5,1,4
Martin,2,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,0,0,0
Martin,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0
Martin,2,U.S. Senate,,Amanda K. Edwards,DEM,2,1,1
Martin,2,U.S. Senate,,Jack Daniel Foster Jr,DEM,2,0,2
Martin,2,U.S. Senate,,Chris Bell,DEM,0,0,0
Martin,2,U.S. Senate,,Royce West,DEM,0,0,0
Martin,2,U.S. Senate,,Victor Hugo Harris,DEM,0,0,0
Martin,2,U.S. Senate,,D.R. Hunter,DEM,0,0,0
Martin,2,U.S. Senate,,"Annie ""Mam"" Garcia",DEM,0,0,0
Martin,2,U.S. House,11,Jon Mark Hogg,DEM,10,2,8
Martin,2,Railroad Commissioner,,Mark Watson,DEM,1,0,1
Martin,2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,3,0,3
Martin,2,Railroad Commissioner,,Kelly Stone,DEM,2,1,1
Martin,2,Railroad Commissioner,,Chrysta Castaeda,DEM,3,1,2
Martin,2,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,7,1,6
Martin,2,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,3,1,2
Martin,2,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,8,1,7
Martin,2,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,2,1,1
Martin,2,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,6,1,5
Martin,2,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,4,1,3
Martin,2,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,6,1,5
Martin,2,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,4,1,3
Martin,2,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,0,0,0
Martin,2,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,4,1,3
Martin,2,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,6,1,5
Martin,2,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,7,1,6
Martin,2,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,3,1,2
Martin,2,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,10,2,8
Martin,2,"Member, State Board of Education",15,John Betancourt,DEM,10,2,8
Martin,2,Proposition #1,,Yes,DEM,10,2,8
Martin,2,Proposition #1,,No,DEM,0,0,0
Martin,2,Proposition #2,,Yes,DEM,10,2,8
Martin,2,Proposition #2,,No,DEM,0,0,0
Martin,2,Proposition #3,,Yes,DEM,10,2,8
Martin,2,Proposition #3,,No,DEM,0,0,0
Martin,2,Proposition #4,,Yes,DEM,10,2,8
Martin,2,Proposition #4,,No,DEM,0,0,0
Martin,2,Proposition #5,,Yes,DEM,10,2,8
Martin,2,Proposition #5,,No,DEM,0,0,0
Martin,2,Proposition #6,,Yes,DEM,10,2,8
Martin,2,Proposition #6,,No,DEM,0,0,0
Martin,2,Proposition #7,,Yes,DEM,10,2,8
Martin,2,Proposition #7,,No,DEM,0,0,0
Martin,2,Proposition #8,,Yes,DEM,10,2,8
Martin,2,Proposition #8,,No,DEM,0,0,0
Martin,2,Proposition #9,,Yes,DEM,10,2,8
Martin,2,Proposition #9,,No,DEM,0,0,0
Martin,2,Proposition #10,,Yes,DEM,10,2,8
Martin,2,Proposition #10,,No,DEM,0,0,0
