county,precinct,office,district,party,candidate,mail,early_voting,election_day,votes
Terry,101,President,,DEM,Marianne Williamson,0,0,0,0
Terry,101,President,,DEM,Michael R. Bloomberg,0,1,4,5
Terry,101,President,,DEM,Deval Patrick,0,0,0,0
Terry,101,President,,DEM,Elizabeth Warren ,0,0,0,0
Terry,101,President,,DEM,Michael Bennett,0,0,0,0
Terry,101,President,,DEM,John K. Delaney,0,0,0,0
Terry,101,President,,DEM,Tulsi Gabard,0,0,0,0
Terry,101,President,,DEM,Cory Booker,0,0,0,0
Terry,101,President,,DEM,Bernie Sanders,2,2,7,11
Terry,101,President,,DEM,Tom Steyer,0,0,0,0
Terry,101,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Terry,101,President,,DEM,Andrew Yang,0,0,0,0
Terry,101,President,,DEM,Pete Buttigieg,0,0,0,0
Terry,101,President,,DEM,Julian Castro,0,0,2,2
Terry,101,President,,DEM,Amy Klobucahr,0,0,0,0
Terry,101,President,,DEM,Joseph R. Biden ,0,1,10,11
Terry,101,President,,DEM,Robby Wells,0,0,0,0
Terry,101,U.S. Senate,,DEM,Amanda K. Edwards,0,0,0,0
Terry,101,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,5,5
Terry,101,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,2,0,3,5
Terry,101,U.S. Senate,,DEM,Sema Hernandez,0,0,1,1
Terry,101,U.S. Senate,,DEM,Victor Hugo Harris,0,0,2,2
Terry,101,U.S. Senate,,DEM,Chris Bell,0,1,2,3
Terry,101,U.S. Senate,,DEM,Royce West,0,0,2,2
Terry,101,U.S. Senate,,DEM,Michael Cooper,0,2,0,2
Terry,101,U.S. Senate,,DEM,Adrian Ocegueda,0,0,2,2
Terry,101,U.S. Senate,,DEM,Mary (MJ) Hegar,0,1,3,4
Terry,101,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
Terry,101,U.S. Senate,,DEM,"Jack Daniel Foster, Jr. ",0,0,1,1
Terry,101,U.S. House,19,DEM,Tom Watson,0,4,13,17
Terry,101,Railroad Commissioner,,DEM,Kelly Stone,0,0,3,3
Terry,101,Railroad Commissioner,,DEM,Mark Watson,0,1,4,5
Terry,101,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",2,4,9,15
Terry,101,Railroad Commissioner,,DEM,Chrysta Castaneda,0,0,4,4
Terry,101,State Representative,83,DEM,Addison Perry-Franks,2,4,10,16
Terry,101,State Representative,83,DEM,James Barrick ,0,0,9,9
Terry,102,President,,DEM,Marianne Williamson,0,0,0,0
Terry,102,President,,DEM,Michael R. Bloomberg,1,2,3,6
Terry,102,President,,DEM,Deval Patrick,0,0,0,0
Terry,102,President,,DEM,Elizabeth Warren ,0,4,2,6
Terry,102,President,,DEM,Michael Bennett,0,0,0,0
Terry,102,President,,DEM,John K. Delaney,0,0,0,0
Terry,102,President,,DEM,Tulsi Gabard,0,0,0,0
Terry,102,President,,DEM,Cory Booker,0,0,0,0
Terry,102,President,,DEM,Bernie Sanders,2,4,4,10
Terry,102,President,,DEM,Tom Steyer,0,0,0,0
Terry,102,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Terry,102,President,,DEM,Andrew Yang,0,0,0,0
Terry,102,President,,DEM,Pete Buttigieg,1,3,0,4
Terry,102,President,,DEM,Julian Castro,0,0,0,0
Terry,102,President,,DEM,Amy Klobucahr,0,2,0,2
Terry,102,President,,DEM,Joseph R. Biden ,3,5,4,12
Terry,102,President,,DEM,Robby Wells,0,0,1,1
Terry,102,U.S. Senate,,DEM,Amanda K. Edwards,2,5,3,10
Terry,102,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",2,6,0,8
Terry,102,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,2,3,5
Terry,102,U.S. Senate,,DEM,Sema Hernandez,0,2,0,2
Terry,102,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0
Terry,102,U.S. Senate,,DEM,Chris Bell,0,1,6,7
Terry,102,U.S. Senate,,DEM,Royce West,1,1,1,3
Terry,102,U.S. Senate,,DEM,Michael Cooper,0,4,0,4
Terry,102,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
Terry,102,U.S. Senate,,DEM,Mary (MJ) Hegar,1,0,0,1
Terry,102,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
Terry,102,U.S. Senate,,DEM,"Jack Daniel Foster, Jr. ",0,0,0,0
Terry,102,U.S. House,19,DEM,Tom Watson,6,16,11,33
Terry,102,Railroad Commissioner,,DEM,Kelly Stone,0,5,4,9
Terry,102,Railroad Commissioner,,DEM,Mark Watson,3,5,4,12
Terry,102,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",0,9,3,12
Terry,102,Railroad Commissioner,,DEM,Chrysta Castaneda,2,2,3,7
Terry,102,State Representative,83,DEM,Addison Perry-Franks,3,15,10,28
Terry,102,State Representative,83,DEM,James Barrick ,2,4,4,10
Terry,201,President,,DEM,Marianne Williamson,0,0,0,0
Terry,201,President,,DEM,Michael R. Bloomberg,1,7,3,11
Terry,201,President,,DEM,Deval Patrick,0,0,0,0
Terry,201,President,,DEM,Elizabeth Warren ,0,1,1,2
Terry,201,President,,DEM,Michael Bennett,0,0,0,0
Terry,201,President,,DEM,John K. Delaney,0,0,0,0
Terry,201,President,,DEM,Tulsi Gabard,0,0,1,1
Terry,201,President,,DEM,Cory Booker,0,0,0,0
Terry,201,President,,DEM,Bernie Sanders,0,4,5,9
Terry,201,President,,DEM,Tom Steyer,0,1,0,1
Terry,201,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Terry,201,President,,DEM,Andrew Yang,0,1,0,1
Terry,201,President,,DEM,Pete Buttigieg,0,1,0,1
Terry,201,President,,DEM,Julian Castro,0,0,0,0
Terry,201,President,,DEM,Amy Klobucahr,0,1,0,1
Terry,201,President,,DEM,Joseph R. Biden ,0,4,9,13
Terry,201,President,,DEM,Robby Wells,0,0,0,0
Terry,201,U.S. Senate,,DEM,Amanda K. Edwards,0,2,1,3
Terry,201,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,6,5,12
Terry,201,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,2,1,3
Terry,201,U.S. Senate,,DEM,Sema Hernandez,0,1,3,4
Terry,201,U.S. Senate,,DEM,Victor Hugo Harris,0,1,0,1
Terry,201,U.S. Senate,,DEM,Chris Bell,0,2,3,5
Terry,201,U.S. Senate,,DEM,Royce West,0,1,0,1
Terry,201,U.S. Senate,,DEM,Michael Cooper,0,1,1,2
Terry,201,U.S. Senate,,DEM,Adrian Ocegueda,0,0,0,0
Terry,201,U.S. Senate,,DEM,Mary (MJ) Hegar,0,3,2,5
Terry,201,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
Terry,201,U.S. Senate,,DEM,"Jack Daniel Foster, Jr. ",0,0,0,0
Terry,201,U.S. House,19,DEM,Tom Watson,1,17,16,34
Terry,201,Railroad Commissioner,,DEM,Kelly Stone,1,3,3,7
Terry,201,Railroad Commissioner,,DEM,Mark Watson,0,3,4,7
Terry,201,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",0,8,4,12
Terry,201,Railroad Commissioner,,DEM,Chrysta Castaneda,0,5,5,10
Terry,201,State Representative,83,DEM,Addison Perry-Franks,1,12,9,22
Terry,201,State Representative,83,DEM,James Barrick ,0,6,5,11
Terry,202,President,,DEM,Marianne Williamson,0,0,0,0
Terry,202,President,,DEM,Michael R. Bloomberg,0,0,5,5
Terry,202,President,,DEM,Deval Patrick,0,0,0,0
Terry,202,President,,DEM,Elizabeth Warren ,0,0,1,1
Terry,202,President,,DEM,Michael Bennett,0,0,0,0
Terry,202,President,,DEM,John K. Delaney,0,0,1,1
Terry,202,President,,DEM,Tulsi Gabard,0,0,0,0
Terry,202,President,,DEM,Cory Booker,0,0,0,0
Terry,202,President,,DEM,Bernie Sanders,1,1,7,9
Terry,202,President,,DEM,Tom Steyer,0,0,0,0
Terry,202,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Terry,202,President,,DEM,Andrew Yang,0,0,0,0
Terry,202,President,,DEM,Pete Buttigieg,0,1,0,1
Terry,202,President,,DEM,Julian Castro,0,0,0,0
Terry,202,President,,DEM,Amy Klobucahr,0,0,0,0
Terry,202,President,,DEM,Joseph R. Biden ,1,0,7,8
Terry,202,President,,DEM,Robby Wells,0,0,0,0
Terry,202,U.S. Senate,,DEM,Amanda K. Edwards,0,1,2,3
Terry,202,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,6,6
Terry,202,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,4,4
Terry,202,U.S. Senate,,DEM,Sema Hernandez,0,0,4,4
Terry,202,U.S. Senate,,DEM,Victor Hugo Harris,0,1,0,1
Terry,202,U.S. Senate,,DEM,Chris Bell,1,0,0,1
Terry,202,U.S. Senate,,DEM,Royce West,0,0,1,1
Terry,202,U.S. Senate,,DEM,Michael Cooper,0,0,1,1
Terry,202,U.S. Senate,,DEM,Adrian Ocegueda,0,0,2,2
Terry,202,U.S. Senate,,DEM,Mary (MJ) Hegar,0,0,0,0
Terry,202,U.S. Senate,,DEM,D.R. Hunter,0,0,0,0
Terry,202,U.S. Senate,,DEM,"Jack Daniel Foster, Jr. ",0,0,0,0
Terry,202,U.S. House,19,DEM,Tom Watson,1,2,13,16
Terry,202,Railroad Commissioner,,DEM,Kelly Stone,0,0,1,1
Terry,202,Railroad Commissioner,,DEM,Mark Watson,1,1,2,4
Terry,202,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",0,0,13,13
Terry,202,Railroad Commissioner,,DEM,Chrysta Castaneda,0,1,4,5
Terry,202,State Representative,83,DEM,Addison Perry-Franks,0,2,13,15
Terry,202,State Representative,83,DEM,James Barrick ,1,0,6,7
Terry,301,President,,DEM,Marianne Williamson,0,0,0,0
Terry,301,President,,DEM,Michael R. Bloomberg,2,4,11,17
Terry,301,President,,DEM,Deval Patrick,0,0,0,0
Terry,301,President,,DEM,Elizabeth Warren ,0,0,1,1
Terry,301,President,,DEM,Michael Bennett,0,0,0,0
Terry,301,President,,DEM,John K. Delaney,0,0,0,0
