candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Registered Voters,,,,Milam,101,,,,2469
Ballots Cast,,,,Milam,101,2,4,0,6
Donald J Trump,President,,REP,Milam,101,,,,4
Joseph R Biden,President,,DEM,Milam,101,,,,2
Jo Jorgensen,President,,LIB,Milam,101,,,,0
Howie Hawkins,President,,GRN,Milam,101,,,,0
Todd Cella (W),President,,,Milam,101,,,,0
Abram Loeb (W),President,,,Milam,101,,,,0
Robert Morrow (W),President,,,Milam,101,,,,0
Jesse Cuellar (W),President,,,Milam,101,,,,0
Gloria La Riva (W),President,,,Milam,101,,,,0
Tom Hoefling (W),President,,,Milam,101,,,,0
Brian Carroll (W),President,,,Milam,101,,,,0
Kasey Wells (W),President,,,Milam,101,,,,0
President R. Boddie (W),President,,,Milam,101,,,,0
Undervotes,President,,,Milam,101,,,,0
Overvotes,President,,,Milam,101,,,,0
John Cornyn,U.S. Senate,,REP,Milam,101,,,,4
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Milam,101,,,,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Milam,101,,,,0
David B. Collins,U.S. Senate,,GRN,Milam,101,,,,1
Ricardo Turullois-Bonilla (W),U.S. Senate,,,Milam,101,,,,0
Undervotes,U.S. Senate,,,Milam,101,,,,1
Overvotes,U.S. Senate,,,Milam,101,,,,0
Pete Sessions,U.S. House,17,REP,Milam,101,,,,4
Rick Kennedy,U.S. House,17,DEM,Milam,101,,,,0
Ted Brown,U.S. House,17,LIB,Milam,101,,,,1
Undervotes,U.S. House,17,,Milam,101,,,,1
Overvotes,U.S. House,17,,Milam,101,,,,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Milam,101,,,,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Milam,101,,,,0
Matt Sterett,Railroad Commissioner,,LIB,Milam,101,,,,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Milam,101,,,,0
Undervotes,Railroad Commissioner,,,Milam,101,,,,2
Overvotes,Railroad Commissioner,,,Milam,101,,,,0
Terry M Wilson,State Representative,20,REP,Milam,101,,,,4
Jessica Tiedt,State Representative,20,DEM,Milam,101,,,,0
Undervotes,State Representative,20,,Milam,101,,,,2
Overvotes,State Representative,20,,Milam,101,,,,0
Registered Voters,,,,Milam,105,,,,1200
Ballots Cast,,,,Milam,105,47,358,95,500
Donald J Trump,President,,REP,Milam,105,,,,408
Joseph R Biden,President,,DEM,Milam,105,,,,81
Jo Jorgensen,President,,LIB,Milam,105,,,,6
Howie Hawkins,President,,GRN,Milam,105,,,,1
Todd Cella (W),President,,,Milam,105,,,,0
Abram Loeb (W),President,,,Milam,105,,,,0
Robert Morrow (W),President,,,Milam,105,,,,0
Jesse Cuellar (W),President,,,Milam,105,,,,0
Gloria La Riva (W),President,,,Milam,105,,,,0
Tom Hoefling (W),President,,,Milam,105,,,,0
Brian Carroll (W),President,,,Milam,105,,,,0
