county,precinct,office,district,party,candidate,votes,election_day,mail,early_voting
Orange,Precinct 1,Ballots Cast,,,,92,52,5,35
Orange,Precinct 2,Ballots Cast,,,,282,121,37,124
Orange,Precinct 3,Ballots Cast,,,,268,151,51,66
Orange,Precinct 4,Ballots Cast,,,,60,44,7,9
Orange,Precinct 5,Ballots Cast,,,,437,165,72,200
Orange,Precinct 6,Ballots Cast,,,,581,252,52,277
Orange,Precinct 7,Ballots Cast,,,,526,233,45,248
Orange,Precinct 8,Ballots Cast,,,,784,346,69,369
Orange,Precinct 9,Ballots Cast,,,,603,305,44,254
Orange,Precinct 10,Ballots Cast,,,,246,88,19,139
Orange,Precinct 11,Ballots Cast,,,,149,87,18,44
Orange,Precinct 12,Ballots Cast,,,,323,109,49,165
Orange,Precinct 13,Ballots Cast,,,,345,151,44,150
Orange,Precinct 14,Ballots Cast,,,,493,202,72,219
Orange,Precinct 15,Ballots Cast,,,,583,260,53,270
Orange,Precinct 16,Ballots Cast,,,,810,382,59,369
Orange,Precinct 17,Ballots Cast,,,,630,284,51,295
Orange,Precinct 18,Ballots Cast,,,,589,189,39,361
Orange,Precinct 19,Ballots Cast,,,,470,178,26,266
Orange,Precinct 20,Ballots Cast,,,,332,109,30,193
Orange,Precinct 21,Ballots Cast,,,,84,64,4,16
Orange,Precinct 22,Ballots Cast,,,,405,195,39,171
Orange,Precinct 23,Ballots Cast,,,,976,419,53,504
Orange,Precinct 24,Ballots Cast,,,,441,189,41,211
Orange,Precinct 25,Ballots Cast,,,,487,233,38,216
Orange,Precinct 26,Ballots Cast,,,,716,324,37,355
Orange,Precinct 27,Ballots Cast,,,,712,259,39,414
Orange,Precinct 28,Ballots Cast,,,,1137,448,65,624
Orange,Precinct 29,Ballots Cast,,,,329,120,19,190
Orange,Precinct 30,Ballots Cast,,,,320,149,36,135
Orange,Precinct 31,Ballots Cast,,,,769,413,38,318
Orange,Precinct 32,Ballots Cast,,,,689,235,39,415
Orange,Precinct 33,Ballots Cast,,,,417,150,24,243
Orange,Precinct 34,Ballots Cast,,,,476,174,48,254
Orange,Precinct 1,Ballots Cast,,REP,,78,44,3,31
Orange,Precinct 2,Ballots Cast,,REP,,134,55,10,69
Orange,Precinct 3,Ballots Cast,,REP,,46,18,6,22
Orange,Precinct 4,Ballots Cast,,REP,,2,1,0,1
Orange,Precinct 5,Ballots Cast,,REP,,266,87,42,137
Orange,Precinct 6,Ballots Cast,,REP,,499,204,36,259
Orange,Precinct 7,Ballots Cast,,REP,,390,171,22,197
Orange,Precinct 8,Ballots Cast,,REP,,684,287,50,347
Orange,Precinct 9,Ballots Cast,,REP,,511,249,34,228
Orange,Precinct 10,Ballots Cast,,REP,,206,67,14,125
Orange,Precinct 11,Ballots Cast,,REP,,109,60,11,38
Orange,Precinct 12,Ballots Cast,,REP,,234,81,27,126
Orange,Precinct 13,Ballots Cast,,REP,,243,98,30,115
Orange,Precinct 14,Ballots Cast,,REP,,341,114,54,173
Orange,Precinct 15,Ballots Cast,,REP,,493,200,37,256
Orange,Precinct 16,Ballots Cast,,REP,,745,346,48,351
Orange,Precinct 17,Ballots Cast,,REP,,580,250,47,283
Orange,Precinct 18,Ballots Cast,,REP,,513,163,34,316
Orange,Precinct 19,Ballots Cast,,REP,,401,140,20,241
Orange,Precinct 20,Ballots Cast,,REP,,296,94,25,177
Orange,Precinct 21,Ballots Cast,,REP,,70,53,4,13
Orange,Precinct 22,Ballots Cast,,REP,,361,177,27,157
Orange,Precinct 23,Ballots Cast,,REP,,888,373,39,476
Orange,Precinct 24,Ballots Cast,,REP,,392,157,34,201
Orange,Precinct 25,Ballots Cast,,REP,,413,199,21,193
Orange,Precinct 26,Ballots Cast,,REP,,636,282,24,330
Orange,Precinct 27,Ballots Cast,,REP,,635,220,31,384
Orange,Precinct 28,Ballots Cast,,REP,,1024,388,53,583
Orange,Precinct 29,Ballots Cast,,REP,,287,96,14,177
Orange,Precinct 30,Ballots Cast,,REP,,283,130,31,122
Orange,Precinct 31,Ballots Cast,,REP,,682,369,23,290
Orange,Precinct 32,Ballots Cast,,REP,,631,204,33,394
Orange,Precinct 33,Ballots Cast,,REP,,377,128,22,227
Orange,Precinct 34,Ballots Cast,,REP,,423,145,42,236
Orange,Precinct 1,Ballots Cast,,DEM,,14,8,2,4
Orange,Precinct 2,Ballots Cast,,DEM,,148,66,27,55
Orange,Precinct 3,Ballots Cast,,DEM,,222,133,45,44
Orange,Precinct 4,Ballots Cast,,DEM,,58,43,7,8
Orange,Precinct 5,Ballots Cast,,DEM,,171,78,30,63
Orange,Precinct 6,Ballots Cast,,DEM,,82,48,16,18
Orange,Precinct 7,Ballots Cast,,DEM,,136,62,23,51
Orange,Precinct 8,Ballots Cast,,DEM,,100,59,19,22
Orange,Precinct 9,Ballots Cast,,DEM,,92,56,10,26
Orange,Precinct 10,Ballots Cast,,DEM,,40,21,5,14
Orange,Precinct 11,Ballots Cast,,DEM,,40,27,7,6
Orange,Precinct 12,Ballots Cast,,DEM,,89,28,22,39
Orange,Precinct 13,Ballots Cast,,DEM,,102,53,14,35
Orange,Precinct 14,Ballots Cast,,DEM,,152,88,18,46
Orange,Precinct 15,Ballots Cast,,DEM,,90,60,16,14
Orange,Precinct 16,Ballots Cast,,DEM,,65,36,11,18
Orange,Precinct 17,Ballots Cast,,DEM,,50,34,4,12
Orange,Precinct 18,Ballots Cast,,DEM,,76,26,5,45
Orange,Precinct 19,Ballots Cast,,DEM,,69,38,6,25
Orange,Precinct 20,Ballots Cast,,DEM,,36,15,5,16
Orange,Precinct 21,Ballots Cast,,DEM,,14,11,0,3
Orange,Precinct 22,Ballots Cast,,DEM,,44,18,12,14
Orange,Precinct 23,Ballots Cast,,DEM,,88,46,14,28
Orange,Precinct 24,Ballots Cast,,DEM,,49,32,7,10
Orange,Precinct 25,Ballots Cast,,DEM,,74,34,17,23
Orange,Precinct 26,Ballots Cast,,DEM,,80,42,13,25
Orange,Precinct 27,Ballots Cast,,DEM,,77,39,8,30
Orange,Precinct 28,Ballots Cast,,DEM,,113,60,12,41
Orange,Precinct 29,Ballots Cast,,DEM,,42,24,5,13
Orange,Precinct 30,Ballots Cast,,DEM,,37,19,5,13
Orange,Precinct 31,Ballots Cast,,DEM,,87,44,15,28
Orange,Precinct 32,Ballots Cast,,DEM,,58,31,6,21
Orange,Precinct 33,Ballots Cast,,DEM,,40,22,2,16
Orange,Precinct 34,Ballots Cast,,DEM,,53,29,6,18
Orange,Precinct 1,President,,REP,Donald J. Trump,74,43,3,28
Orange,Precinct 2,President,,REP,Donald J. Trump,116,45,10,61
Orange,Precinct 3,President,,REP,Donald J. Trump,33,11,4,18
Orange,Precinct 4,President,,REP,Donald J. Trump,2,1,0,1
Orange,Precinct 5,President,,REP,Donald J. Trump,231,72,41,118
Orange,Precinct 6,President,,REP,Donald J. Trump,464,191,33,240
Orange,Precinct 7,President,,REP,Donald J. Trump,355,150,22,183
Orange,Precinct 8,President,,REP,Donald J. Trump,644,277,49,318
Orange,Precinct 9,President,,REP,Donald J. Trump,491,243,31,217
Orange,Precinct 10,President,,REP,Donald J. Trump,194,61,14,119
Orange,Precinct 11,President,,REP,Donald J. Trump,102,54,11,37
Orange,Precinct 12,President,,REP,Donald J. Trump,213,76,22,115
Orange,Precinct 13,President,,REP,Donald J. Trump,232,89,30,113
Orange,Precinct 14,President,,REP,Donald J. Trump,325,107,52,166
Orange,Precinct 15,President,,REP,Donald J. Trump,475,190,37,248
Orange,Precinct 16,President,,REP,Donald J. Trump,722,334,46,342
Orange,Precinct 17,President,,REP,Donald J. Trump,561,239,45,277
Orange,Precinct 18,President,,REP,Donald J. Trump,499,158,34,307
Orange,Precinct 19,President,,REP,Donald J. Trump,384,136,18,230
Orange,Precinct 20,President,,REP,Donald J. Trump,285,92,25,168
Orange,Precinct 21,President,,REP,Donald J. Trump,68,52,3,13
Orange,Precinct 22,President,,REP,Donald J. Trump,346,174,23,149
Orange,Precinct 23,President,,REP,Donald J. Trump,848,354,38,456
Orange,Precinct 24,President,,REP,Donald J. Trump,377,151,33,193
Orange,Precinct 25,President,,REP,Donald J. Trump,391,190,20,181
Orange,Precinct 26,President,,REP,Donald J. Trump,604,276,24,304
Orange,Precinct 27,President,,REP,Donald J. Trump,598,212,29,357
Orange,Precinct 28,President,,REP,Donald J. Trump,978,370,51,557
Orange,Precinct 29,President,,REP,Donald J. Trump,279,92,14,173
Orange,Precinct 30,President,,REP,Donald J. Trump,268,122,28,118
Orange,Precinct 31,President,,REP,Donald J. Trump,646,351,23,272
Orange,Precinct 32,President,,REP,Donald J. Trump,605,198,31,376
Orange,Precinct 33,President,,REP,Donald J. Trump,359,124,21,214
Orange,Precinct 34,President,,REP,Donald J. Trump,410,144,40,226
Orange,Precinct 1,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 2,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 3,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 4,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 5,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 6,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 7,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 8,President,,REP,Bob Ely,2,0,0,2
Orange,Precinct 9,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 10,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 11,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 12,President,,REP,Bob Ely,1,0,0,1
Orange,Precinct 13,President,,REP,Bob Ely,0,0,0,0
Orange,Precinct 14,President,,REP,Bob Ely,0,0,0,0
