county,precinct,office,district,candidate,party,early_voting,election_day,mail,votes
Hockley,Precinct 11,President,,Donald J. Trump / Michael R. Pence,REP,362,45,43,450
Hockley,Precinct 11,President,,Joseph R. Biden / Kamala D. Harris,DEM,49,11,20,80
Hockley,Precinct 11,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,2,0,3
Hockley,Precinct 11,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Hockley,Precinct 11,President,,Write-In,,0,0,0,0
Hockley,Precinct 11,U.S. Senate,,John Cornyn,REP,351,46,45,442
Hockley,Precinct 11,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,51,8,18,77
Hockley,Precinct 11,U.S. Senate,,Kerry Douglas McKennon,LIB,5,3,0,8
Hockley,Precinct 11,U.S. Senate,,David B. Collins,GRN,0,1,0,1
Hockley,Precinct 11,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 11,U.S. House,19,Jodey C. Arrington,REP,363,49,45,457
Hockley,Precinct 11,U.S. House,19,Tom Watson,DEM,45,8,17,70
Hockley,Precinct 11,U.S. House,19,Joe Burnes,LIB,3,2,1,6
Hockley,Precinct 11,Railroad Commissioner,,"James ""Jim"" Wright",REP,355,43,44,442
Hockley,Precinct 11,Railroad Commissioner,,Chrysta Castaneda,DEM,46,11,16,73
Hockley,Precinct 11,Railroad Commissioner,,Matt Sterett,LIB,5,2,1,8
Hockley,Precinct 11,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,1,2,4
Hockley,Precinct 11,State Senate,28,Charles Perry,REP,376,51,48,475
Hockley,Precinct 11,State Representative,88,Ken King,REP,371,50,50,471
Hockley,Precinct 14,President,,Donald J. Trump / Michael R. Pence,REP,403,80,23,506
Hockley,Precinct 14,President,,Joseph R. Biden / Kamala D. Harris,DEM,60,14,9,83
Hockley,Precinct 14,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,5,2,0,7
Hockley,Precinct 14,President,,Howie Hawkins / Angela Walker,GRN,0,1,0,1
Hockley,Precinct 14,President,,Write-In,,0,0,0,0
Hockley,Precinct 14,U.S. Senate,,John Cornyn,REP,402,81,24,507
Hockley,Precinct 14,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,52,12,9,73
Hockley,Precinct 14,U.S. Senate,,Kerry Douglas McKennon,LIB,6,1,1,8
Hockley,Precinct 14,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Hockley,Precinct 14,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 14,U.S. House,19,Jodey C. Arrington,REP,414,86,23,523
Hockley,Precinct 14,U.S. House,19,Tom Watson,DEM,47,8,11,66
Hockley,Precinct 14,U.S. House,19,Joe Burnes,LIB,4,2,0,6
Hockley,Precinct 14,Railroad Commissioner,,"James ""Jim"" Wright",REP,395,83,22,500
Hockley,Precinct 14,Railroad Commissioner,,Chrysta Castaneda,DEM,53,10,12,75
Hockley,Precinct 14,Railroad Commissioner,,Matt Sterett,LIB,7,2,0,9
Hockley,Precinct 14,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,0,2
Hockley,Precinct 14,State Senate,28,Charles Perry,REP,433,88,26,547
Hockley,Precinct 14,State Representative,88,Ken King,REP,418,80,26,524
Hockley,Precinct 15,President,,Donald J. Trump / Michael R. Pence,REP,130,122,15,267
Hockley,Precinct 15,President,,Joseph R. Biden / Kamala D. Harris,DEM,20,12,8,40
Hockley,Precinct 15,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,2,0,2
Hockley,Precinct 15,President,,Howie Hawkins / Angela Walker,GRN,0,1,0,1
Hockley,Precinct 15,President,,Write-In,,0,1,0,1
Hockley,Precinct 15,U.S. Senate,,John Cornyn,REP,128,118,15,261
Hockley,Precinct 15,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,20,12,8,40
Hockley,Precinct 15,U.S. Senate,,Kerry Douglas McKennon,LIB,1,6,0,7
Hockley,Precinct 15,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Hockley,Precinct 15,U.S. Senate,,Write-In,,0,0,0,0
Hockley,Precinct 15,U.S. House,19,Jodey C. Arrington,REP,126,123,15,264
