county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Fisher,1,President ,,DEM,Tom Steyer,0,1,0,1
Fisher,1,President,,DEM,Deval Patrick,1,0,0,1
Fisher,1,President,,DEM,Andrew Yang,0,0,0,0
Fisher,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
Fisher,1,President,,DEM,Micheal Bennet,0,0,0,0
Fisher,1,President,,DEM,John K. Delaney,0,0,0,0
Fisher,1,President,,DEM,Julian Castro,0,0,0,0
Fisher,1,President,,DEM,Robby Wells,0,0,0,0
Fisher,1,President,,DEM,Micheal Bloomberg,1,0,4,5
Fisher,1,President,,DEM,Marriane Williamson,0,0,0,0
Fisher,1,President,,DEM,Bernie Sanders,1,1,2,4
Fisher,1,President,,DEM,Cory Booker,0,0,0,0
Fisher,1,President,,DEM,Joseph R. Biden,3,3,7,13
Fisher,1,President,,DEM,Pete Buttigieg,0,2,1,3
Fisher,1,President,,DEM,Tulsi Gubbard,0,0,0,0
Fisher,1,President,,DEM,Amy Klobuchar,2,1,0,3
Fisher,1,President,,DEM,Elizabeth Warren,0,2,0,2
Fisher,1,U.S. Senate,,DEM,D.R. Hunter,2,0,0,2
Fisher,1,U.S. Senate,,DEM,Victor Hugo Harris,0,0,1,1
Fisher,1,U.S. Senate,,DEM,Chris Bell,0,0,1,1
Fisher,1,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,0,1,1
Fisher,1,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,2,2
Fisher,1,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,0,0,1,1
Fisher,1,U.S. Senate,,DEM,Michal Cooper,0,0,5,5
Fisher,1,U.S. Senate,,DEM,Amanda K. Edwards,3,1,1,5
Fisher,1,U.S. Senate,,DEM,Mary (MJ) Hegar,1,7,0,8
Fisher,1,U.S. Senate,,DEM,Sema Hernandez,0,0,1,1
Fisher,1,U.S. Senate,,DEM,Royce West,1,1,0,2
Fisher,1,U.S. Senate,,DEM,Adrain Ocegueda,0,0,0,0
Fisher,1,U.S. House,19,DEM,Tom Watson,7,8,9,24
Fisher,1,Railroad Commissioner,,DEM,Chrysta Castaneda,0,4,2,6
Fisher,1,Railroad Commissioner,,DEM,Mark Watson,4,1,9,14
