county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Terrell,1,President,,DONALD J. TRUMP / MICHAEL R. PENCE,REP,82,10,18,54
Terrell,1,President,,JOSEPH R. BIDEN / KAMALA D. HARRIS,DEM,39,11,3,25
Terrell,1,President,,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",LIB,0,0,0,0
Terrell,1,President,,HOWIE HAWKINS / ANGELA WALKER,GREEN,0,0,0,0
Terrell,1,President,,PRESIDENT R. BODDIE / ERIC C. STONEHAM,,0,0,0,0
Terrell,1,President,,BRIAN CARROLL / AMAR PATEL,,0,0,0,0
Terrell,1,President,,TODD CELLA / TIM CELLA,,0,0,0,0
Terrell,1,President,,JESSE CUELLAR / JIMMY MONREAL,,0,0,0,0
Terrell,1,President,,TOM HOEFLING / JIMMY MONREAL,,0,0,0,0
Terrell,1,President,,GLORIA LA RIVA / LEONARD PELTIER,,0,0,0,0
Terrell,1,President,,ABRAM LOEB / JENNIFER JAIRALA,,0,0,0,0
Terrell,1,President,,ROBERT MORROW / ANNE BECKETT,,0,0,0,0
Terrell,1,President,,KASEY WELLS / RACHEL WELLS,,0,0,0,0
Terrell,1,U.S. Senate,,JOHN CORNYN,REP,79,8,17,54
Terrell,1,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,36,12,3,21
Terrell,1,U.S. Senate,,KERRY DOUGLAS MCKENNON,LIB,1,0,0,1
Terrell,1,U.S. Senate,,DAVID B. COLLINS,GREEN,1,0,0,1
Terrell,1,U.S. Senate,,RICARDO TURULLOLS-BONILLA,,0,0,0,0
Terrell,1,U.S. House,23,TONY GONZALES,REP,79,9,18,52
Terrell,1,U.S. House,23,GINA ORTIZ JONES,DEM,39,11,3,25
Terrell,1,U.S. House,23,BETO VILLELA,LIB,2,0,0,2
Terrell,1,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,78,9,18,51
Terrell,1,Railroad Commissioner,,CHRYSTA CASTAÑEDA,DEM,38,11,3,24
Terrell,1,Railroad Commissioner,,MATT STERETT,LIB,2,0,0,2
Terrell,1,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GREEN,0,0,0,0
Terrell,1,State Senate,19,"PETER P. ""PETE"" FLORES",REP,79,9,18,52
Terrell,1,State Senate,19,ROLAND GUTIERREZ,DEM,38,11,3,24
Terrell,1,State Senate,19,JO-ANNE VALDIVIA,LIB,0,0,0,0
Terrell,1,State Representative,74,RUBEN FALCON,REP,72,8,17,47
Terrell,1,State Representative,74,EDDIE MORALES,DEM,44,12,3,29
Terrell,2,President,,DONALD J. TRUMP / MICHAEL R. PENCE,REP,58,17,10,31
Terrell,2,President,,JOSEPH R. BIDEN / KAMALA D. HARRIS,DEM,53,14,12,24
Terrell,2,President,,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",LIB,1,0,0,1
Terrell,2,President,,HOWIE HAWKINS / ANGELA WALKER,GREEN,2,0,2,0
Terrell,2,President,,PRESIDENT R. BODDIE / ERIC C. STONEHAM,,0,0,0,0
Terrell,2,President,,BRIAN CARROLL / AMAR PATEL,,0,0,0,0
Terrell,2,President,,TODD CELLA / TIM CELLA,,0,0,0,0
Terrell,2,President,,JESSE CUELLAR / JIMMY MONREAL,,0,0,0,0
Terrell,2,President,,TOM HOEFLING / JIMMY MONREAL,,0,0,0,0
Terrell,2,President,,GLORIA LA RIVA / LEONARD PELTIER,,0,0,0,0
Terrell,2,President,,ABRAM LOEB / JENNIFER JAIRALA,,0,0,0,0
Terrell,2,President,,ROBERT MORROW / ANNE BECKETT,,0,0,0,0
Terrell,2,President,,KASEY WELLS / RACHEL WELLS,,0,0,0,0
Terrell,2,U.S. Senate,,JOHN CORNYN,REP,55,14,10,31
Terrell,2,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,49,15,13,21
Terrell,2,U.S. Senate,,KERRY DOUGLAS MCKENNON,LIB,2,0,0,2
Terrell,2,U.S. Senate,,DAVID B. COLLINS,GREEN,0,0,0,0
Terrell,2,U.S. Senate,,RICARDO TURULLOLS-BONILLA,,2,0,0,2
Terrell,2,U.S. House,23,TONY GONZALES,REP,51,13,10,28
Terrell,2,U.S. House,23,GINA ORTIZ JONES,DEM,56,17,13,26
Terrell,2,U.S. House,23,BETO VILLELA,LIB,1,0,1,0
Terrell,2,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,48,11,10,27
Terrell,2,Railroad Commissioner,,CHRYSTA CASTAÑEDA,DEM,49,15,12,22
Terrell,2,Railroad Commissioner,,MATT STERETT,LIB,1,0,0,1
Terrell,2,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GREEN,0,0,0,0
Terrell,2,State Senate,19,"PETER P. ""PETE"" FLORES",REP,53,12,11,30
Terrell,2,State Senate,19,ROLAND GUTIERREZ,DEM,50,17,12,21
Terrell,2,State Senate,19,JO-ANNE VALDIVIA,LIB,2,0,0,2
Terrell,2,State Representative,74,RUBEN FALCON,REP,54,11,12,31
Terrell,2,State Representative,74,EDDIE MORALES,DEM,51,17,12,22
Terrell,3,President,,DONALD J. TRUMP / MICHAEL R. PENCE,REP,96,11,24,61
Terrell,3,President,,JOSEPH R. BIDEN / KAMALA D. HARRIS,DEM,17,3,3,11
Terrell,3,President,,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",LIB,1,1,0,0
Terrell,3,President,,HOWIE HAWKINS / ANGELA WALKER,GREEN,0,0,0,0
Terrell,3,President,,PRESIDENT R. BODDIE / ERIC C. STONEHAM,,0,0,0,0
Terrell,3,President,,BRIAN CARROLL / AMAR PATEL,,0,0,0,0
Terrell,3,President,,TODD CELLA / TIM CELLA,,0,0,0,0
Terrell,3,President,,JESSE CUELLAR / JIMMY MONREAL,,0,0,0,0
Terrell,3,President,,TOM HOEFLING / JIMMY MONREAL,,0,0,0,0
Terrell,3,President,,GLORIA LA RIVA / LEONARD PELTIER,,0,0,0,0
Terrell,3,President,,ABRAM LOEB / JENNIFER JAIRALA,,0,0,0,0
Terrell,3,President,,ROBERT MORROW / ANNE BECKETT,,0,0,0,0
Terrell,3,President,,KASEY WELLS / RACHEL WELLS,,0,0,0,0
Terrell,3,U.S. Senate,,JOHN CORNYN,REP,95,12,24,59
Terrell,3,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,16,2,3,11
Terrell,3,U.S. Senate,,KERRY DOUGLAS MCKENNON,LIB,2,0,0,2
