county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Concho,101,President,,Donald J. Trump / Michael R. Pence,REP,21,218,48,287
Concho,101,President,,Joseph R. Biden / Kamala D. Harris,DEM,6,29,2,37
Concho,101,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,3,3
Concho,101,President,,Howie Hawkins / Angela Walker,GRN,0,0,1,1
Concho,101,President,,Undervotes,,2,2,0,4
Concho,101,President,,Overvotes,,0,0,0,0
Concho,101,U.S. Senate,,John Cornyn,REP,24,210,42,276
Concho,101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,5,30,6,41
Concho,101,U.S. Senate,,Kerry Douglas McKennon,LIB,0,4,4,8
Concho,101,U.S. Senate,,David B. Collins,GRN,0,0,2,2
Concho,101,U.S. Senate,,Undervotes,,0,5,0,5
Concho,101,U.S. Senate,,Overvotes,,0,0,0,0
Concho,101,U.S. House,11,August Pfluger,REP,24,206,48,278
Concho,101,U.S. House,11,Jon Mark Hogg,DEM,5,30,1,36
Concho,101,U.S. House,11,Wacey Alpha Cody,LIB,0,6,5,11
Concho,101,U.S. House,11,Undervotes,,0,7,0,7
Concho,101,U.S. House,11,Overvotes,,0,0,0,0
Concho,101,Railroad Commissioner,,"James ""Jim"" Wright",REP,23,208,47,278
Concho,101,Railroad Commissioner,,Chrysta Castaneda,DEM,4,26,4,34
Concho,101,Railroad Commissioner,,Matt Sterett,LIB,1,4,2,7
Concho,101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,1,1,2
Concho,101,Railroad Commissioner,,Undervotes,,1,10,0,11
Concho,101,Railroad Commissioner,,Overvotes,,0,0,0,0
Concho,101,State Senate,28,Charles Perry,REP,22,219,51,292
Concho,101,State Senate,28,Undervotes,,7,30,3,40
Concho,101,State Senate,28,Overvotes,,0,0,0,0
Concho,101,State Representative,72,Drew Darby,REP,22,220,49,291
Concho,101,State Representative,72,Undervotes,,7,29,5,41
Concho,101,State Representative,72,Overvotes,,0,0,0,0
Concho,102,President,,Donald J. Trump / Michael R. Pence,REP,3,29,31,63
Concho,102,President,,Joseph R. Biden / Kamala D. Harris,DEM,5,6,2,13
Concho,102,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,2,0,2
Concho,102,President,,Howie Hawkins / Angela Walker,GRN,0,1,0,1
Concho,102,President,,Undervotes,,0,0,0,0
Concho,102,President,,Overvotes,,0,0,0,0
Concho,102,U.S. Senate,,John Cornyn,REP,4,26,29,59
Concho,102,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,8,3,15
