county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Kenedy,1,President,,REP,Donald J. Trump Michael R. Pence,34,24,10,0
Kenedy,1,President,,REP,Over Votes,0,0,0,0
Kenedy,1,President,,REP,Under Votes,1,1,0,0
Kenedy,1,President,,DEM,Joseph R. Biden Kamala D. Harris,18,14,4,0
Kenedy,1,President,,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",0,0,0,0
Kenedy,1,President,,GRN,Howie Hawkins Angela Walker,0,0,0,0
Kenedy,1,U.S. Senate,,REP,John Cornyn,29,20,9,0
Kenedy,1,U.S. Senate,,REP,Over Votes,0,0,0,0
Kenedy,1,U.S. Senate,,REP,Under Votes,10,9,1,0
Kenedy,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",13,9,4,0
Kenedy,1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Kenedy,1,U.S. Senate,,GRN,David B. Collins,1,1,0,0
Kenedy,1,"United States Representative, District No. 34",,REP,Rey Gonzalez,20,13,7,0
Kenedy,1,"United States Representative, District No. 34",,REP,Over Votes,0,0,0,0
Kenedy,1,"United States Representative, District No. 34",,REP,Under Votes,14,11,3,0
Kenedy,1,"United States Representative, District No. 34",,DEM,Filemon B. Vela,19,15,4,0
Kenedy,1,"United States Representative, District No. 34",,LIB,Anthony Cristo,0,0,0,0
Kenedy,1,"United States Representative, District No. 34",,IND,Chris B. Royal,0,0,0,0
Kenedy,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",23,15,8,0
Kenedy,1,Railroad Commissioner,,REP,Over Votes,0,0,0,0
Kenedy,1,Railroad Commissioner,,REP,Under Votes,16,13,3,0
Kenedy,1,Railroad Commissioner,,DEM,Chrysta Castañeda,14,11,3,0
Kenedy,1,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Kenedy,1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Kenedy,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,22,16,6,0
Kenedy,1,"Chief Justice, Supreme Court",,REP,Over Votes,0,0,0,0
Kenedy,1,"Chief Justice, Supreme Court",,REP,Under Votes,17,14,3,0
Kenedy,1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,14,9,5,0
Kenedy,1,"Chief Justice, Supreme Court",,LIB,Mark Ash,0,0,0,0
Kenedy,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Jane Bland,25,17,8,0
Kenedy,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Over Votes,0,0,0,0
Kenedy,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Under Votes,17,14,3,0
Kenedy,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Kathy Cheng,11,8,3,0
Kenedy,1,"Justice, Supreme Court, Place No. 7",,REP,Jeff Boyd,24,17,7,0
Kenedy,1,"Justice, Supreme Court, Place No. 7",,REP,Over Votes,0,0,0,0
Kenedy,1,"Justice, Supreme Court, Place No. 7",,REP,Under Votes,16,13,3,0
Kenedy,1,"Justice, Supreme Court, Place No. 7",,DEM,Staci Williams,12,9,3,0
Kenedy,1,"Justice, Supreme Court, Place No. 7",,LIB,William Bryan Strange III,1,0,1,0
Kenedy,1,"Justice, Supreme Court, Place No. 8",,REP,Brett Busby,23,17,6,0
Kenedy,1,"Justice, Supreme Court, Place No. 8",,REP,Over Votes,0,0,0,0
Kenedy,1,"Justice, Supreme Court, Place No. 8",,REP,Under Votes,17,13,4,0
Kenedy,1,"Justice, Supreme Court, Place No. 8",,DEM,Gisela D. Triana,13,9,4,0
Kenedy,1,"Justice, Supreme Court, Place No. 8",,LIB,Tom Oxford,0,0,0,0
