county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
McMullen,Precinct 1,Registered Voters,,,,152,,,
McMullen,Precinct 1,Ballots Cast,,,,112,5,63,44
McMullen,Precinct 1,Ballots Cast Blank,,,,1,0,1,0
McMullen,Precinct 1,President,,REP,Donald J Trump,97,3,60,34
McMullen,Precinct 1,President,,DEM,Joseph R Biden,12,2,2,8
McMullen,Precinct 1,President,,LIB,Jo Jorgensen,0,0,0,0
McMullen,Precinct 1,President,,GRN,Howie Hawkins,0,0,0,0
McMullen,Precinct 1,President,,,Write-in Totals,0,0,0,0
McMullen,Precinct 1,U.S. Senate,,REP,John Cornyn,90,4,56,30
McMullen,Precinct 1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",9,1,2,6
McMullen,Precinct 1,U.S. Senate,,LIB,Kerry Douglas McKennon,1,0,0,1
McMullen,Precinct 1,U.S. Senate,,GRN,David B. Collins,0,0,0,0
McMullen,Precinct 1,U.S. Senate,,,Write-in Totals,0,0,0,0
McMullen,Precinct 1,U.S. House,28,REP,Sandra Whitten,80,3,50,27
McMullen,Precinct 1,U.S. House,28,DEM,Henry Cuellar,22,2,8,12
McMullen,Precinct 1,U.S. House,28,LIB,Bekah Congdon,0,0,0,0
McMullen,Precinct 1,Railroad Commissioner,,REP,"James ""Jim""Wright",87,3,57,27
McMullen,Precinct 1,Railroad Commissioner,,DEM,Chrysta Castaneda,9,1,2,6
McMullen,Precinct 1,Railroad Commissioner,,LIB,Matt Sterett,1,0,0,1
McMullen,Precinct 1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
McMullen,Precinct 1,State Senate,21,REP,Frank Pomeroy,79,3,52,24
McMullen,Precinct 1,State Senate,21,DEM,Judith Zaffirini,18,2,6,10
McMullen,Precinct 1,State Representative,31,REP,Marian Knowlton,80,3,52,25
McMullen,Precinct 1,State Representative,31,DEM,Ryan Guillen,16,1,6,9
McMullen,Precinct 2A & 2B,Registered Voters,,,,198,,,
McMullen,Precinct 2A & 2B,Ballots Cast,,,,149,4,109,36
McMullen,Precinct 2A & 2B,Ballots Cast Blank,,,,0,0,0,0
McMullen,Precinct 2A & 2B,President,,REP,Donald J Trump,132,3,99,30
McMullen,Precinct 2A & 2B,President,,DEM,Joseph R Biden,15,1,9,5
McMullen,Precinct 2A & 2B,President,,LIB,Jo Jorgensen,1,0,1,0
McMullen,Precinct 2A & 2B,President,,GRN,Howie Hawkins,0,0,0,0
McMullen,Precinct 2A & 2B,President,,,Write-in Totals,0,0,0,0
McMullen,Precinct 2A & 2B,U.S. Senate,,REP,John Cornyn,134,3,101,30
McMullen,Precinct 2A & 2B,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",10,0,7,3
McMullen,Precinct 2A & 2B,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
McMullen,Precinct 2A & 2B,U.S. Senate,,GRN,David B. Collins,0,0,0,0
McMullen,Precinct 2A & 2B,U.S. Senate,,,Write-in Totals,0,0,0,0
McMullen,Precinct 2A & 2B,U.S. House,28,REP,Sandra Whitten,110,3,87,20
McMullen,Precinct 2A & 2B,U.S. House,28,DEM,Henry Cuellar,31,0,18,13
