county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Robertson,1- Calvert,REGISTERED VOTERS,,,REGISTERED VOTERS,1223,0,0,0,0
Robertson,2- Hearne,REGISTERED VOTERS,,,REGISTERED VOTERS,1551,0,0,0,0
Robertson,3- Wheelock,REGISTERED VOTERS,,,REGISTERED VOTERS,591,0,0,0,0
Robertson,4- Bald Prairie,REGISTERED VOTERS,,,REGISTERED VOTERS,516,0,0,0,0
Robertson,5- Bremond,REGISTERED VOTERS,,,REGISTERED VOTERS,1495,0,0,0,0
Robertson,6- Franklin,REGISTERED VOTERS,,,REGISTERED VOTERS,1636,0,0,0,0
Robertson,7- Mumford,REGISTERED VOTERS,,,REGISTERED VOTERS,83,0,0,0,0
Robertson,8- Seale,REGISTERED VOTERS,,,REGISTERED VOTERS,233,0,0,0,0
Robertson,11- Benchley,REGISTERED VOTERS,,,REGISTERED VOTERS,1125,0,0,0,0
Robertson,13- Elliott,REGISTERED VOTERS,,,REGISTERED VOTERS,198,0,0,0,0
Robertson,16- Easterly,REGISTERED VOTERS,,,REGISTERED VOTERS,160,0,0,0,0
Robertson,18- Ridge,REGISTERED VOTERS,,,REGISTERED VOTERS,103,0,0,0,0
Robertson,19- New Baden,REGISTERED VOTERS,,,REGISTERED VOTERS,554,0,0,0,0
Robertson,22- Teal Center,REGISTERED VOTERS,,,REGISTERED VOTERS,1266,0,0,0,0
Robertson,23- Christian Faith,REGISTERED VOTERS,,,REGISTERED VOTERS,820,0,0,0,0
Robertson,1- Calvert,BALLOTS CAST,,,BALLOTS CAST,339,156,166,16,1
Robertson,2- Hearne,BALLOTS CAST,,,BALLOTS CAST,388,218,143,27,0
Robertson,3- Wheelock,BALLOTS CAST,,,BALLOTS CAST,269,170,86,12,1
Robertson,4- Bald Prairie,BALLOTS CAST,,,BALLOTS CAST,212,75,123,14,0
Robertson,5- Bremond,BALLOTS CAST,,,BALLOTS CAST,429,217,173,39,0
Robertson,6- Franklin,BALLOTS CAST,,,BALLOTS CAST,695,309,367,17,2
Robertson,7- Mumford,BALLOTS CAST,,,BALLOTS CAST,17,13,1,3,0
Robertson,8- Seale,BALLOTS CAST,,,BALLOTS CAST,132,103,20,9,0
Robertson,11- Benchley,BALLOTS CAST,,,BALLOTS CAST,364,254,92,18,0
Robertson,13- Elliott,BALLOTS CAST,,,BALLOTS CAST,78,27,48,3,0
Robertson,16- Easterly,BALLOTS CAST,,,BALLOTS CAST,80,49,28,3,0
Robertson,18- Ridge,BALLOTS CAST,,,BALLOTS CAST,48,29,19,0,0
Robertson,19- New Baden,BALLOTS CAST,,,BALLOTS CAST,293,112,168,13,0
Robertson,22- Teal Center,BALLOTS CAST,,,BALLOTS CAST,260,137,76,47,0
Robertson,23- Christian Faith,BALLOTS CAST,,,BALLOTS CAST,162,87,63,11,1
Robertson,1- Calvert,BALLOTS CAST,,REP,BALLOTS CAST,229,103,122,4,0
Robertson,2- Hearne,BALLOTS CAST,,REP,BALLOTS CAST,257,133,113,11,0
