county,precinct,office,district,party,candidate,mail,early_voting,election_day,votes
Irion,Precinct 100,Registered Voters,,,,,,,313
Irion,Precinct 100,Ballots Cast,,,,15,148,54,217
Irion,Precinct 100,President,,REP,Donald J Trump,,,,180
Irion,Precinct 100,President,,DEM,Joseph R Biden,,,,32
Irion,Precinct 100,President,,LIB,Jo Jorgensen,,,,3
Irion,Precinct 100,President,,GRN,Howie Hawkins,,,,1
Irion,Precinct 100,President,,,Abram Loeb (W),,,,0
Irion,Precinct 100,President,,,Brian Carroll (W),,,,0
Irion,Precinct 100,President,,,Gloria La Riva (W),,,,0
Irion,Precinct 100,President,,,Jesse Cuellar (W),,,,0
Irion,Precinct 100,President,,,Kasey Wells (W),,,,0
Irion,Precinct 100,President,,,President R. Boddie (W),,,,0
Irion,Precinct 100,President,,,Robert Marrow (W),,,,0
Irion,Precinct 100,President,,,Tom Hoeffing (W),,,,0
Irion,Precinct 100,President,,,Todd Cella (W),,,,0
Irion,Precinct 100,U.S. Senate,,REP,John Cornyn,,,,180
Irion,Precinct 100,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",,,,29
Irion,Precinct 100,U.S. Senate,,LIB,Kerry Douglas McKennon,,,,4
Irion,Precinct 100,U.S. Senate,,GRN,David B. Collins,,,,0
Irion,Precinct 100,U.S. Senate,,,Ricardo Turullois-Bonilla (W),,,,0
Irion,Precinct 100,U.S. House,11,REP,August Pfluger,,,,176
Irion,Precinct 100,U.S. House,11,DEM,Jon Mark Hogg,,,,33
Irion,Precinct 100,U.S. House,11,LIB,Wacey Alpha Cody,,,,7
Irion,Precinct 100,Railroad Commissioner,,REP,"James ""Jim""Wright",,,,176
Irion,Precinct 100,Railroad Commissioner,,DEM,Chrysta Castaneda,,,,29
Irion,Precinct 100,Railroad Commissioner,,LIB,Matt Sterett,,,,4
Irion,Precinct 100,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",,,,2
Irion,Precinct 100,State Senate,28,REP,Charles Perry,,,,190
Irion,Precinct 100,State Representative,72,REP,Drew Darby,,,,193
Irion,Precinct 200,Registered Voters,,,,,,,314
Irion,Precinct 200,Ballots Cast,,,,12,143,60,215
Irion,Precinct 200,President,,REP,Donald J Trump,,,,181
Irion,Precinct 200,President,,DEM,Joseph R Biden,,,,31
Irion,Precinct 200,President,,LIB,Jo Jorgensen,,,,181
Irion,Precinct 200,President,,GRN,Howie Hawkins,,,,31
Irion,Precinct 200,President,,,Abram Loeb (W),,,,1
Irion,Precinct 200,President,,,Brian Carroll (W),,,,1
Irion,Precinct 200,President,,,Gloria La Riva (W),,,,0
Irion,Precinct 200,President,,,Jesse Cuellar (W),,,,0
Irion,Precinct 200,President,,,Kasey Wells (W),,,,0
Irion,Precinct 200,President,,,President R. Boddie (W),,,,0
Irion,Precinct 200,President,,,Robert Marrow (W),,,,0
Irion,Precinct 200,President,,,Tom Hoeffing (W),,,,0
Irion,Precinct 200,President,,,Todd Cella (W),,,,0
Irion,Precinct 200,U.S. Senate,,REP,John Cornyn,,,,182
Irion,Precinct 200,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",,,,27
Irion,Precinct 200,U.S. Senate,,LIB,Kerry Douglas McKennon,,,,3
Irion,Precinct 200,U.S. Senate,,GRN,David B. Collins,,,,0
Irion,Precinct 200,U.S. Senate,,,Ricardo Turullois-Bonilla (W),,,,0
Irion,Precinct 200,U.S. House,11,REP,August Pfluger,,,,183
Irion,Precinct 200,U.S. House,11,DEM,Jon Mark Hogg,,,,26
Irion,Precinct 200,U.S. House,11,LIB,Wacey Alpha Cody,,,,2
Irion,Precinct 200,Railroad Commissioner,,REP,"James ""Jim""Wright",,,,175
Irion,Precinct 200,Railroad Commissioner,,DEM,Chrysta Castaneda,,,,28
Irion,Precinct 200,Railroad Commissioner,,LIB,Matt Sterett,,,,5
Irion,Precinct 200,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",,,,2
Irion,Precinct 200,State Senate,28,REP,Charles Perry,,,,187
Irion,Precinct 200,State Representative,72,REP,Drew Darby,,,,186
Irion,Precinct 300,Registered Voters,,,,,,,293
Irion,Precinct 300,Ballots Cast,,,,11,124,43,178
Irion,Precinct 300,President,,REP,Donald J Trump,,,,156
Irion,Precinct 300,President,,DEM,Joseph R Biden,,,,22
Irion,Precinct 300,President,,LIB,Jo Jorgensen,,,,0
Irion,Precinct 300,President,,GRN,Howie Hawkins,,,,0
Irion,Precinct 300,President,,,Abram Loeb (W),,,,0
Irion,Precinct 300,President,,,Brian Carroll (W),,,,0
Irion,Precinct 300,President,,,Gloria La Riva (W),,,,0
Irion,Precinct 300,President,,,Jesse Cuellar (W),,,,0
Irion,Precinct 300,President,,,Kasey Wells (W),,,,0
Irion,Precinct 300,President,,,President R. Boddie (W),,,,0
Irion,Precinct 300,President,,,Robert Marrow (W),,,,0
Irion,Precinct 300,President,,,Tom Hoeffing (W),,,,0
Irion,Precinct 300,President,,,Todd Cella (W),,,,0
Irion,Precinct 300,U.S. Senate,,REP,John Cornyn,,,,151
Irion,Precinct 300,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",,,,23
Irion,Precinct 300,U.S. Senate,,LIB,Kerry Douglas McKennon,,,,1
Irion,Precinct 300,U.S. Senate,,GRN,David B. Collins,,,,0
Irion,Precinct 300,U.S. Senate,,,Ricardo Turullois-Bonilla (W),,,,0
Irion,Precinct 300,U.S. House,11,REP,August Pfluger,,,,152
Irion,Precinct 300,U.S. House,11,DEM,Jon Mark Hogg,,,,19
Irion,Precinct 300,U.S. House,11,LIB,Wacey Alpha Cody,,,,2
Irion,Precinct 300,Railroad Commissioner,,REP,"James ""Jim""Wright",,,,148
Irion,Precinct 300,Railroad Commissioner,,DEM,Chrysta Castaneda,,,,21
Irion,Precinct 300,Railroad Commissioner,,LIB,Matt Sterett,,,,4
Irion,Precinct 300,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",,,,0
Irion,Precinct 300,State Senate,28,REP,Charles Perry,,,,153
Irion,Precinct 300,State Representative,72,REP,Drew Darby,,,,156
Irion,Precinct 400,Registered Voters,,,,,,,376
Irion,Precinct 400,Ballots Cast,,,,17,208,62,287
Irion,Precinct 400,President,,REP,Donald J Trump,,,,246
Irion,Precinct 400,President,,DEM,Joseph R Biden,,,,35
Irion,Precinct 400,President,,LIB,Jo Jorgensen,,,,4
Irion,Precinct 400,President,,GRN,Howie Hawkins,,,,0
Irion,Precinct 400,President,,,Abram Loeb (W),,,,0
