county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional,limited
Kleberg,Precinct 11,Registered Voters,,,,2062,,,,,
Kleberg,Precinct 11,Ballots Cast,,,,1291,217,906,167,1,0
Kleberg,Precinct 11,President,,REP,Donald J. Trump,718,133,523,62,0,0
Kleberg,Precinct 11,President,,DEM,Joseph R. Biden,538,72,368,97,1,0
Kleberg,Precinct 11,President,,LIB,Jo Jorgensen,21,5,10,6,0,0
Kleberg,Precinct 11,President,,GRN,Howie Hawkins,5,3,0,2,0,0
Kleberg,Precinct 11,President,,,Over Votes,0,0,0,0,0,0
Kleberg,Precinct 11,President,,,Under Votes,7,4,3,0,0,0
Kleberg,Precinct 11,U.S. Senate,,REP,John Cornyn,719,132,516,71,0,0
Kleberg,Precinct 11,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",511,65,355,90,1,0
Kleberg,Precinct 11,U.S. Senate,,LIB,Kerry Douglas McKennon,28,8,16,4,0,0
Kleberg,Precinct 11,U.S. Senate,,GRN,David B. Collins,10,4,6,0,0,0
Kleberg,Precinct 11,U.S. Senate,,,Over Votes,0,0,0,0,0,0
Kleberg,Precinct 11,U.S. Senate,,,Under Votes,22,8,12,2,0,0
Kleberg,Precinct 11,U.S. House,34,REP,Rey Gonzalez,685,122,497,66,0,0
Kleberg,Precinct 11,U.S. House,34,DEM,Filemon B. Vela,524,70,360,93,1,0
Kleberg,Precinct 11,U.S. House,34,LIB,Anthony Cristo,24,12,11,1,0,0
Kleberg,Precinct 11,U.S. House,34,IND,Chris B. Royal,19,5,12,2,0,0
Kleberg,Precinct 11,U.S. House,34,,Over Votes,1,0,1,0,0,0
Kleberg,Precinct 11,U.S. House,34,,Under Votes,38,8,25,5,0,0
Kleberg,Precinct 11,Railroad Commissioner,,REP,"James ""Jim"" Wright",673,124,477,72,0,0
Kleberg,Precinct 11,Railroad Commissioner,,DEM,Chrysta Castaneda,520,67,368,84,1,0
Kleberg,Precinct 11,Railroad Commissioner,,LIB,Matt Sterett,29,9,17,3,0,0
Kleberg,Precinct 11,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",23,7,14,2,0,0
Kleberg,Precinct 11,Railroad Commissioner,,,Over Votes,0,0,0,0,0,0
Kleberg,Precinct 11,Railroad Commissioner,,,Under Votes,46,10,30,6,0,0
Kleberg,Precinct 11,State Senate,27,REP,Vanessa Tijerina,644,120,451,73,0,0
Kleberg,Precinct 11,State Senate,27,DEM,Eddie Lucio Jr.,580,81,413,85,1,0
Kleberg,Precinct 11,State Senate,27,,Over Votes,1,0,1,0,0,0
Kleberg,Precinct 11,State Senate,27,,Under Votes,66,16,41,9,0,0
Kleberg,Precinct 11,State Representative,43,REP,J M Lozano,1005,179,718,108,0,0
Kleberg,Precinct 11,State Representative,43,,Over Votes,0,0,0,0,0,0
Kleberg,Precinct 11,State Representative,43,,Under Votes,286,38,188,59,1,0
Kleberg,Precinct 12,Registered Voters,,,,1406,,,,,
Kleberg,Precinct 12,Ballots Cast,,,,932,146,683,103,0,0
Kleberg,Precinct 12,President,,REP,Donald J. Trump,595,101,460,34,0,0
Kleberg,Precinct 12,President,,DEM,Joseph R. Biden,321,43,212,66,0,0
