county,precinct,office,district,candidate,party,early_voting,election day,votes
Cottle,101,Railroad Commissioner,,"James ""Jim"" Wright",REP,25,28,53
Cottle,101,Railroad Commissioner,,Ryan Sitton,REP,21,21,42
Cottle,101,State Senate,28,Charles Perry,REP,39,47,86
Cottle,101,President/Vice-President,,Bill Weld,REP,1,0,1
Cottle,101,President/Vice-President,,Bob Ely,REP,0,1,1
Cottle,101,President/Vice-President,,Donald J. Trump,REP,52,83,135
Cottle,101,President/Vice-President,,Joe Walsh,REP,0,1,1
Cottle,101,President/Vice-President,,Matthew John Matern,REP,0,0,0
Cottle,101,President/Vice-President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0
Cottle,101,President/Vice-President,,Uncommitted,REP,5,3,8
Cottle,101,President/Vice-President,,Zoltan G. Istvan,REP,0,0,0
Cottle,101,U S House,13,Asusena Resendiz,REP,0,1,1
Cottle,101,U S House,13,"Catherine ""I Swear"" Carr",REP,3,0,3
Cottle,101,U S House,13,Chris Ekstrom,REP,9,16,25
Cottle,101,U S House,13,Diane Knowlton,REP,0,0,0
Cottle,101,U S House,13,Elaine Hays,REP,5,4,9
Cottle,101,U S House,13,Jamie Culley,REP,0,0,0
Cottle,101,U S House,13,Jason Foglesong,REP,0,0,0
Cottle,101,U S House,13,Josh Winegarner,REP,14,21,35
Cottle,101,U S House,13,Lee Harvey,REP,3,1,4
Cottle,101,U S House,13,Mark Neese,REP,2,0,2
Cottle,101,U S House,13,Matt McArthur,REP,2,0,2
Cottle,101,U S House,13,Monique Worthy,REP,0,0,0
Cottle,101,U S House,13,Richard Herman,REP,1,1,2
Cottle,101,U S House,13,Ronny Jackson,REP,12,13,25
Cottle,101,U S House,13,Vance Snider II,REP,0,1,1
Cottle,101,State House,68,Drew Springer,REP,45,47,92
Cottle,101,U S Senate,,Dwayne Stovall,REP,6,14,20
Cottle,101,U S Senate,,John Anthony Castro,REP,2,3,5
Cottle,101,U S Senate,,John Cornyn,REP,38,39,77
Cottle,101,U S Senate,,Mark Yancey,REP,3,2,5
Cottle,101,U S Senate,,Virgil Bierschwale,REP,1,0,1
Cottle,101,State House,68,Patsy Ledbetter,DEM,3,3,6
Cottle,101,U S Senate,,Adrian Ocegueda,DEM,0,0,0
Cottle,101,U S Senate,,Amanda K. Edwards,DEM,0,1,1
Cottle,101,U S Senate,,"Annie ""Mama"" Garcia",DEM,0,0,0
Cottle,101,U S Senate,,Chris Bell,DEM,0,0,0
Cottle,101,U S Senate,,Cristina Tzintzun Ramirez,DEM,2,1,3
Cottle,101,U S Senate,,D. R. Hunter,DEM,0,1,1
Cottle,101,U S Senate,,Jack Daniel Foster Jr.,DEM,0,1,1
Cottle,101,U S Senate,,"Mary ""MJ"" Hegar",DEM,0,0,0
Cottle,101,U S Senate,,Michael Cooper,DEM,2,1,3
Cottle,101,U S Senate,,Royce West,DEM,0,0,0
Cottle,101,U S Senate,,Sema Hernandez,DEM,0,2,2
Cottle,101,U S Senate,,Victor Hugo Harris,DEM,2,0,2
Cottle,101,President/Vice-President,,Amy Klobuchar,DEM,0,0,0
Cottle,101,President/Vice-President,,Andrew Yang,DEM,0,0,0
Cottle,101,President/Vice-President,,Bernie Sanders,DEM,1,2,3
Cottle,101,President/Vice-President,,Cory Booker,DEM,0,0,0
Cottle,101,President/Vice-President,,Deval Patrick,DEM,0,0,0
Cottle,101,President/Vice-President,,Elizabeth Warren,DEM,1,1,2
Cottle,101,President/Vice-President,,John K. Delaney,DEM,0,0,0
Cottle,101,President/Vice-President,,Joseph R. Biden,DEM,2,2,4
Cottle,101,President/Vice-President,,Julian Castro,DEM,0,0,0
Cottle,101,President/Vice-President,,Marianne Williamson,DEM,0,0,0
Cottle,101,President/Vice-President,,Michael Bennet,DEM,0,0,0
Cottle,101,President/Vice-President,,Michael R. Bloomberg,DEM,0,2,2
Cottle,101,President/Vice-President,,Pete Buttigieg,DEM,0,0,0
Cottle,101,President/Vice-President,,Robby Wells,DEM,0,0,0
Cottle,101,President/Vice-President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0
Cottle,101,President/Vice-President,,Tom Steyer,DEM,0,0,0
Cottle,101,President/Vice-President,,Tulsi Gabbard,DEM,0,0,0
Cottle,101,U S House,13,Greg Sagan,DEM,3,3,6
Cottle,101,U S House,13,Gus Trujillo,DEM,1,1,2
Cottle,101,U S House,13,Timothy W. Gassaway,DEM,1,1,2
Cottle,101,Railroad Commissioner,,Chrysta Castaneda,DEM,1,2,3
Cottle,101,Railroad Commissioner,,Kelly Stone,DEM,1,1,2
Cottle,101,Railroad Commissioner,,Mark Watson,DEM,1,1,2
Cottle,101,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,1,2,3
Cottle,201,Railroad Commissioner,,"James ""Jim"" Wright",REP,33,28,61
Cottle,201,Railroad Commissioner,,Ryan Sitton,REP,7,11,18
Cottle,201,State Senate,28,Charles Perry,REP,35,35,70
Cottle,201,President/Vice-President,,Bill Weld,REP,0,2,2
Cottle,201,President/Vice-President,,Bob Ely,REP,0,0,0
Cottle,201,President/Vice-President,,Donald J. Trump,REP,48,51,99
Cottle,201,President/Vice-President,,Joe Walsh,REP,2,0,2
Cottle,201,President/Vice-President,,Matthew John Matern,REP,0,1,1
Cottle,201,President/Vice-President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0
Cottle,201,President/Vice-President,,Uncommitted,REP,0,0,0
Cottle,201,President/Vice-President,,Zoltan G. Istvan,REP,1,0,1
Cottle,201,U S House,13,Asusena Resendiz,REP,0,1,1
Cottle,201,U S House,13,"Catherine ""I Swear"" Carr",REP,0,0,0
Cottle,201,U S House,13,Chris Ekstrom,REP,6,5,11
Cottle,201,U S House,13,Diane Knowlton,REP,0,0,0
Cottle,201,U S House,13,Elaine Hays,REP,2,1,3
Cottle,201,U S House,13,Jamie Culley,REP,0,0,0
Cottle,201,U S House,13,Jason Foglesong,REP,0,0,0
Cottle,201,U S House,13,Josh Winegarner,REP,18,22,40
Cottle,201,U S House,13,Lee Harvey,REP,1,4,5
Cottle,201,U S House,13,Mark Neese,REP,4,0,4
Cottle,201,U S House,13,Matt McArthur,REP,1,1,2
Cottle,201,U S House,13,Monique Worthy,REP,0,0,0
Cottle,201,U S House,13,Richard Herman,REP,1,0,1
Cottle,201,U S House,13,Ronny Jackson,REP,14,15,29
Cottle,201,U S House,13,Vance Snider II,REP,0,3,3
Cottle,201,State House,68,Drew Springer,REP,40,36,76
Cottle,201,U S Senate,,Dwayne Stovall,REP,4,2,6
Cottle,201,U S Senate,,John Anthony Castro,REP,2,5,7
Cottle,201,U S Senate,,John Cornyn,REP,39,38,77
Cottle,201,U S Senate,,Mark Yancey,REP,1,4,5
Cottle,201,U S Senate,,Virgil Bierschwale,REP,1,0,1
Cottle,201,State House,68,Patsy Ledbetter,DEM,5,5,10
Cottle,201,U S Senate,,Adrian Ocegueda,DEM,0,0,0
Cottle,201,U S Senate,,Amanda K. Edwards,DEM,1,0,1
Cottle,201,U S Senate,,"Annie ""Mama"" Garcia",DEM,0,2,2
Cottle,201,U S Senate,,Chris Bell,DEM,3,0,3
Cottle,201,U S Senate,,Cristina Tzintzun Ramirez,DEM,0,0,0
Cottle,201,U S Senate,,D. R. Hunter,DEM,0,1,1
