county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Concho,101,President,,Matthew John Matern,REP,1,0,0,1
Concho,101,President,,Joe Walsh,REP,0,2,1,3
Concho,101,President,,Bill Weld,REP,2,0,1,3
Concho,101,President,,Zoltan G. Istvan,REP,0,0,0,0
Concho,101,President,,Donald J. Trump,REP,75,10,117,202
Concho,101,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,1,1,1,3
Concho,101,President,,Bob Ely,REP,0,0,0,0
Concho,101,President,,Uncommitted,REP,6,1,5,12
Concho,101,President,,Undervotes,REP,0,1,2,3
Concho,101,President,,Overvotes,REP,0,0,0,0
Concho,101,U S Senate,,John Cornyn,REP,54,11,78,143
Concho,101,U S Senate,,John Anthony Castro,REP,7,1,5,13
Concho,101,U S Senate,,Virgil Bierschwale,REP,2,2,1,5
Concho,101,U S Senate,,Dwayne Stovall,REP,8,0,20,28
Concho,101,U S Senate,,Mark Yancey,REP,2,0,13,15
Concho,101,U S Senate,,Undervotes,REP,12,1,10,23
Concho,101,U S Senate,,Overvotes,REP,0,0,0,0
Concho,101,U S House,11,Ned Luscombe,REP,8,0,12,20
Concho,101,U S House,11,Gene Barber,REP,4,0,3,7
Concho,101,U S House,11,Robert Tucker,REP,4,0,8,12
Concho,101,U S House,11,J. D. Faircloth,REP,6,0,10,16
Concho,101,U S House,11,J. Ross Lacy,REP,2,0,4,6
Concho,101,U S House,11,Wesley W. Virdell,REP,2,0,7,9
Concho,101,U S House,11,Casey Gray,REP,4,0,8,12
Concho,101,U S House,11,Jamie Berryhill,REP,2,0,5,7
Concho,101,U S House,11,Brandon Batch,REP,6,4,2,12
Concho,101,U S House,11,August Pfluger,REP,29,10,58,97
Concho,101,U S House,11,Undervotes,REP,18,1,10,29
Concho,101,U S House,11,Overvotes,REP,0,0,0,0
Concho,101,Railroad Commissioner,,"James ""Jim"" Wright",REP,48,8,74,130
Concho,101,Railroad Commissioner,,Ryan Sitton,REP,14,4,35,53
Concho,101,Railroad Commissioner,,Undervotes,REP,23,3,18,44
Concho,101,Railroad Commissioner,,Overvotes,REP,0,0,0,0
Concho,101,State Senate,28,Charles Perry,REP,63,11,106,180
Concho,101,State Senate,28,Undervotes,REP,22,4,21,47
Concho,101,State Senate,28,Overvotes,REP,0,0,0,0
Concho,101,State House,72,Lynette Lucas,REP,18,3,17,38
Concho,101,State House,72,Drew Darby,REP,62,12,104,178
Concho,101,State House,72,Undervotes,REP,5,0,6,11
Concho,101,State House,72,Overvotes,REP,0,0,0,0
Concho,102,President,,Matthew John Matern,REP,0,0,0,0
Concho,102,President,,Joe Walsh,REP,1,0,0,1
Concho,102,President,,Bill Weld,REP,0,0,0,0
Concho,102,President,,Zoltan G. Istvan,REP,0,0,0,0
Concho,102,President,,Donald J. Trump,REP,27,3,13,43
Concho,102,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,2,0,0,2
Concho,102,President,,Bob Ely,REP,0,0,1,1
Concho,102,President,,Uncommitted,REP,1,0,1,2
Concho,102,President,,Undervotes,REP,0,0,0,0
