county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Henderson,1A,Registered Voters,,,,2126,,,
Henderson,1A,Ballots Cast,,,,476,185,266,25
Henderson,1A,Ballots Cast,,REP,,381,145,214,22
Henderson,1A,Ballots Cast,,DEM,,95,40,52,3
Henderson,1A,President,,REP,Bill Weld,1,0,1,0
Henderson,1A,President,,REP,Roque Rocky DeLa Fuente Guerra,1,0,1,0
Henderson,1A,President,,REP,Zoltan G. Istvan,1,0,1,0
Henderson,1A,President,,REP,Matthew John Matern,0,0,0,0
Henderson,1A,President,,REP,Donald J. Trump,373,144,208,21
Henderson,1A,President,,REP,Joe Walsh,1,1,0,0
Henderson,1A,President,,REP,Bob Ely,0,0,0,0
Henderson,1A,President,,REP,Uncommitted,3,0,2,1
Henderson,1A,President,,REP,Total Votes Cast,380,145,213,22
Henderson,1A,US Senator,,REP,John Cornyn,284,98,166,20
Henderson,1A,US Senator,,REP,Mark Yancey,22,10,12,0
Henderson,1A,US Senator,,REP,John Anthony Castro,11,4,5,2
Henderson,1A,US Senator,,REP,Virgil Bierschwale,2,0,2,0
Henderson,1A,US Senator,,REP,Dwayne Stovall,54,28,26,0
Henderson,1A,US Senator,,REP,Total Votes Cast,373,140,211,22
Henderson,1A,"US Representative, Dist 5",,REP,Lance Gooden,336,128,188,20
Henderson,1A,"US Representative, Dist 5",,REP,Don Hill,39,15,23,1
Henderson,1A,"US Representative, Dist 5",,REP,Total Votes Cast,375,143,211,21
Henderson,1A,Railroad Commissioner,,REP,"James ""Jim"" Wright",261,93,153,15
Henderson,1A,Railroad Commissioner,,REP,Ryan Sitton,101,43,52,6
Henderson,1A,Railroad Commissioner,,REP,Total Votes Cast,362,136,205,21
Henderson,1A,"Chief Justice, Supreme Court",,REP,Nathan Hecht,351,136,197,18
Henderson,1A,"Chief Justice, Supreme Court",,REP,Total Votes Cast,351,136,197,18
Henderson,1A,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,356,138,199,19
Henderson,1A,"Justice, Supreme Court, Pl 6",,REP,Total Votes Cast,356,138,199,19
Henderson,1A,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,356,137,199,20
Henderson,1A,"Justice, Supreme Court, Pl 7",,REP,Total Votes Cast,356,137,199,20
Henderson,1A,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,354,137,197,20
Henderson,1A,"Justice, Supreme Court, Pl 8",,REP,Total Votes Cast,354,137,197,20
Henderson,1A,"Judge, Ct of Crim App, Pl 3",,REP,Gina Parker,193,87,93,13
Henderson,1A,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,162,49,106,7
Henderson,1A,"Judge, Ct of Crim App, Pl 3",,REP,Total Votes Cast,355,136,199,20
Henderson,1A,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,355,137,200,18
Henderson,1A,"Judge, Ct of Crim App, Pl 4",,REP,Total Votes Cast,355,137,200,18
Henderson,1A,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,355,138,199,18
Henderson,1A,"Judge, Ct of Crim App, Pl 9",,REP,Total Votes Cast,355,138,199,18
Henderson,1A,"Member, State BoE, Dist 9",,REP,Keven M. Ellis,356,139,198,19
Henderson,1A,"Member, State BoE, Dist 9",,REP,Total Votes Cast,356,139,198,19
Henderson,1A,"State Representative, Dist 10",,REP,Ryan Pitts,126,49,69,8
Henderson,1A,"State Representative, Dist 10",,REP,"Robert ""Zack"" Rader",51,20,28,3
Henderson,1A,"State Representative, Dist 10",,REP,Jake Ellzey,188,71,108,9
Henderson,1A,"State Representative, Dist 10",,REP,Total Votes Cast,365,140,205,20
Henderson,1A,"Chief Justice, 12th Ct of App Dist",,REP,Jim Worthen,356,138,200,18
Henderson,1A,"Chief Justice, 12th Ct of App Dist",,REP,Total Votes Cast,356,138,200,18
Henderson,1A,"District Judge, 3rd Judicial Dist",,REP,Mark A. Calhoon,358,137,202,19
Henderson,1A,"District Judge, 3rd Judicial Dist",,REP,Total Votes Cast,358,137,202,19
Henderson,1A,"Dist Judge, 392nd Judicial Dist",,REP,R. Scott McKee,360,139,202,19
Henderson,1A,"Dist Judge, 392nd Judicial Dist",,REP,Total Votes Cast,360,139,202,19
Henderson,1A,"Dist Attorney, 173rd Judicial Dist",,REP,Jenny Palmer,359,139,201,19
Henderson,1A,"Dist Attorney, 173rd Judicial Dist",,REP,Total Votes Cast,359,139,201,19
Henderson,1A,County Attorney,,REP,Clint Davis,359,137,203,19
Henderson,1A,County Attorney,,REP,Total Votes Cast,359,137,203,19
Henderson,1A,Sheriff,,REP,Botie Hillhouse,363,140,204,19
Henderson,1A,Sheriff,,REP,Total Votes Cast,363,140,204,19
Henderson,1A,County Tax Assessor-Collector,,REP,Peggy Goodall,369,141,209,19
Henderson,1A,County Tax Assessor-Collector,,REP,Total Votes Cast,369,141,209,19
Henderson,1A,Co Commissioner Pct 1,,REP,Wendy Kinabrew Spivey,138,51,77,10
Henderson,1A,Co Commissioner Pct 1,,REP,Keith Pryor,137,47,85,5
Henderson,1A,Co Commissioner Pct 1,,REP,Brad Skiles,89,41,43,5
Henderson,1A,Co Commissioner Pct 1,,REP,Total Votes Cast,364,139,205,20
Henderson,1A,Constable Pct 2,,REP,Mitch Baker,358,138,201,19
Henderson,1A,Constable Pct 2,,REP,Total Votes Cast,358,138,201,19
Henderson,1A,County Chair,,REP,Daniel Hunt,361,139,203,19
Henderson,1A,County Chair,,REP,Total Votes Cast,361,139,203,19
Henderson,1A,Proposition 1,,REP,Yes,305,114,171,20
Henderson,1A,Proposition 1,,REP,No,71,31,39,1
Henderson,1A,Proposition 1,,REP,Total Votes Cast,376,145,210,21
Henderson,1A,Proposition 2,,REP,Yes,305,121,165,19
Henderson,1A,Proposition 2,,REP,No,70,21,46,3
Henderson,1A,Proposition 2,,REP,Total Votes Cast,375,142,211,22
Henderson,1A,Proposition 3,,REP,Yes,346,133,191,22
Henderson,1A,Proposition 3,,REP,No,28,10,18,0
Henderson,1A,Proposition 3,,REP,Total Votes Cast,374,143,209,22
Henderson,1A,Proposition 4,,REP,Yes,370,141,207,22
Henderson,1A,Proposition 4,,REP,No,7,2,5,0
Henderson,1A,Proposition 4,,REP,Total Votes Cast,377,143,212,22
Henderson,1A,Proposition 5,,REP,Yes,352,134,196,22
Henderson,1A,Proposition 5,,REP,No,24,8,16,0
