county,precinct,office,district,party,candidate,election_day,mail,early_voting,votes
San Jacinto,1,President,,DEM,Andrew Yang,0,0,2,2
San Jacinto,1,President,,DEM,John K. Delaney,0,0,0,0
San Jacinto,1,President,,DEM,Robby Wells,0,0,0,0
San Jacinto,1,President,,DEM,Joseph R. Biden,43,7,11,61
San Jacinto,1,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0
San Jacinto,1,President,,DEM,Marianne Williamson,0,0,0,0
San Jacinto,1,President,,DEM,Deval Patrick,0,0,0,0
San Jacinto,1,President,,DEM,Elizabeth Warren,2,3,3,8
San Jacinto,1,President,,DEM,Tulsi Gabbard,0,0,0,0
San Jacinto,1,President,,DEM,Julián Castro,0,0,0,0
San Jacinto,1,President,,DEM,Pete Buttigieg,0,3,2,5
San Jacinto,1,President,,DEM,Bernie Sanders,19,1,15,35
San Jacinto,1,President,,DEM,Tom Steyer,0,0,0,0
San Jacinto,1,President,,DEM,Michael Bennet,0,1,0,1
San Jacinto,1,President,,DEM,Michael R. Bloomberg,6,1,16,23
San Jacinto,1,President,,DEM,Cory Booker,0,0,0,0
San Jacinto,1,President,,DEM,Amy Klobuchar,0,0,0,0
San Jacinto,1,Ballots Cast,,DEM,,70,16,49,135
San Jacinto,1,President,,DEM,Under Votes,3,0,1,4
San Jacinto,1,President,,DEM,Over Votes,0,0,0,0
San Jacinto,1,U.S. Senate,,DEM,Michael Cooper,4,1,3,8
San Jacinto,1,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,4,2,1,7
San Jacinto,1,U.S. Senate,,DEM,Adrian Ocegueda,1,0,0,1
San Jacinto,1,U.S. Senate,,DEM,Jack Daniel Foster Jr,2,1,0,3
San Jacinto,1,U.S. Senate,,DEM,Chris Bell,18,3,10,31
San Jacinto,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",8,6,11,25
San Jacinto,1,U.S. Senate,,DEM,"Annie ""Mamá"" Garcia",7,0,6,13
San Jacinto,1,U.S. Senate,,DEM,Sema Hernandez,8,0,3,11
San Jacinto,1,U.S. Senate,,DEM,Victor Hugo Harris,0,0,1,1
San Jacinto,1,U.S. Senate,,DEM,Royce West,2,0,3,5
San Jacinto,1,U.S. Senate,,DEM,Amanda K. Edwards,4,2,4,10
San Jacinto,1,U.S. Senate,,DEM,D.R. Hunter,0,0,1,1
San Jacinto,1,U.S. Senate,,DEM,Cast Votes:,58,15,43,116
San Jacinto,1,U.S. Senate,,DEM,Under Votes,15,1,7,23
San Jacinto,1,U.S. Senate,,DEM,Over Votes,0,0,0,0
San Jacinto,1,U.S. House,8,DEM,Laura Jones,26,11,19,56
San Jacinto,1,U.S. House,8,DEM,Elizabeth Hernandez,33,2,26,61
San Jacinto,1,U.S. House,8,DEM,Cast Votes:,59,13,45,117
San Jacinto,1,U.S. House,8,DEM,Under Votes,14,3,5,22
San Jacinto,1,U.S. House,8,DEM,Over Votes,0,0,0,0
San Jacinto,1,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",15,2,13,30
San Jacinto,1,Railroad Commissioner,,DEM,Chrysta Castañeda,16,2,10,28
San Jacinto,1,Railroad Commissioner,,DEM,Kelly Stone,13,5,6,24
San Jacinto,1,Railroad Commissioner,,DEM,Mark Watson,11,4,12,27
San Jacinto,1,Railroad Commissioner,,DEM,Cast Votes:,55,13,41,109
San Jacinto,1,Railroad Commissioner,,DEM,Under Votes,18,3,9,30
