county,precinct,office,district,candidate,party,election_day,mail,early_voting,votes
Ward,1E,President,,Michael R. Bloomberg,DEM,20,6,18,44
Ward,1E,President,,Joseph R. Biden,DEM,27,1,14,42
Ward,1E,President,,Bernie Sanders,DEM,5,9,25,39
Ward,1E,President,,Elizabeth Warren,DEM,3,0,2,5
Ward,1E,President,,"Roque ""Rocky"" De La Fuente",DEM,3,0,1,4
Ward,1E,President,,Tom Steyer,DEM,0,0,3,3
Ward,1E,President,,Julian Castro,DEM,0,1,2,3
Ward,1E,President,,Robby Wells,DEM,0,0,2,2
Ward,1E,President,,Michael Bennet,DEM,0,0,2,2
Ward,1E,President,,Tulsi Gabbard,DEM,0,0,2,2
Ward,1E,President,,Amy Klobuchar,DEM,1,1,0,2
Ward,1E,President,,Marianne Williamson,DEM,0,0,1,1
Ward,1E,President,,Pete Buttigieg,DEM,0,0,1,1
Ward,1E,President,,Deval Patrick,DEM,1,0,0,1
Ward,1E,President,,John K. Delaney,DEM,1,0,0,1
Ward,1E,President,,Cory Booker,DEM,0,0,1,1
Ward,1E,President,,Andrew Yang,DEM,0,0,1,1
Ward,1E,President,,Under Votes,DEM,8,4,6,18
Ward,1E,President,,Over Votes,DEM,1,0,1,2
Ward,1E,President,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1E,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,13,1,14,28
Ward,1E,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,12,5,10,27
Ward,1E,U.S. Senate,,Sema Hernandez,DEM,6,3,7,16
Ward,1E,U.S. Senate,,Michael Cooper,DEM,3,2,9,14
Ward,1E,U.S. Senate,,Amanda K. Edwards,DEM,3,0,8,11
Ward,1E,U.S. Senate,,Royce West,DEM,5,1,5,11
Ward,1E,U.S. Senate,,Victor Hugo Harris,DEM,2,2,6,10
Ward,1E,U.S. Senate,,Adrian Ocegueda,DEM,4,0,4,8
Ward,1E,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,4,1,3,8
Ward,1E,U.S. Senate,,Chris Bell,DEM,1,1,3,5
Ward,1E,U.S. Senate,,D. R. Hunter,DEM,2,0,0,2
Ward,1E,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,0,0,0,0
Ward,1E,U.S. Senate,,Under Votes,DEM,12,6,13,31
Ward,1E,U.S. Senate,,Over Votes,DEM,3,0,0,3
Ward,1E,U.S. Senate,,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1E,U.S. House,23,Gina Ortiz Jones,DEM,38,14,51,103
Ward,1E,U.S. House,23,Efrain V. Valdez,DEM,7,1,6,14
Ward,1E,U.S. House,23,Ricardo R. Madrid,DEM,5,1,6,12
Ward,1E,U.S. House,23,"Rosalinda ""Rosey"" Ramos Abuabara",DEM,5,0,5,10
Ward,1E,U.S. House,23,Jaime Escuder,DEM,1,0,4,5
Ward,1E,U.S. House,23,Under Votes,DEM,13,6,10,29
Ward,1E,U.S. House,23,Over Votes,DEM,1,0,0,1
Ward,1E,U.S. House,23,Non-Certified Write-ins,DEM,0,0,0,0
Ward,1E,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,28,5,26,59
Ward,1E,Railroad Commissioner,,Chrysta Castaneda,DEM,17,6,11,34
Ward,1E,Railroad Commissioner,,Mark Watson,DEM,5,3,17,25
Ward,1E,Railroad Commissioner,,Kelly Stone,DEM,7,2,13,22
Ward,1E,Railroad Commissioner,,Over Votes,DEM,12,6,15,33
Ward,1E,Railroad Commissioner,,Under Votes,DEM,1,0,0,1
