county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sabine,Precinct 1,Registered Voters,,,,1968,,,
Sabine,Precinct 1,Ballots Cast,,,,1384,136,1056,192
Sabine,Precinct 1,President,,Donald J. Trump,REP,1234,101,961,172
Sabine,Precinct 1,President,,Joseph R. Biden,DEM,129,35,77,17
Sabine,Precinct 1,President,,Jo Jorgensen,LIB,14,0,12,2
Sabine,Precinct 1,President,,Howie Hawkins,GRN,1,0,1,0
Sabine,Precinct 1,President,,Write-In,,2,0,1,1
Sabine,Precinct 1,President,,Over Votes,,0,0,0,0
Sabine,Precinct 1,President,,Under Votes,,4,0,4,0
Sabine,Precinct 1,U.S. Senate,,John Cornyn,REP,1201,101,933,167
Sabine,Precinct 1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,137,33,88,16
Sabine,Precinct 1,U.S. Senate,,Kerry Douglas McKennon,LIB,14,0,12,2
Sabine,Precinct 1,U.S. Senate,,David B. Collins,GRN,4,1,3,0
Sabine,Precinct 1,U.S. Senate,,Write-In,,1,0,1,0
Sabine,Precinct 1,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 1,U.S. Senate,,Under Votes,,27,1,19,7
Sabine,Precinct 1,U.S. House,1,Louie Gohmert,REP,1213,93,949,171
Sabine,Precinct 1,U.S. House,1,Hank Gilbert,DEM,132,29,88,15
Sabine,Precinct 1,U.S. House,1,Over Votes,,1,0,1,0
Sabine,Precinct 1,U.S. House,1,Under Votes,,37,13,18,6
Sabine,Precinct 1,Railroad Commissioner,,"James ""Jim"" Wright",REP,1208,96,948,164
Sabine,Precinct 1,Railroad Commissioner,,Chrysta Castaneda,DEM,120,33,72,15
Sabine,Precinct 1,Railroad Commissioner,,Matt Sterett,LIB,18,3,13,2
Sabine,Precinct 1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,2,0
Sabine,Precinct 1,Railroad Commissioner,,Over Votes,,1,0,0,1
Sabine,Precinct 1,Railroad Commissioner,,Under Votes,,35,4,21,10
Sabine,Precinct 1,State Representative,9,Chris Paddie,REP,1192,96,925,171
Sabine,Precinct 1,State Representative,9,Over Votes,,0,0,0,0
Sabine,Precinct 1,State Representative,9,Under Votes,,191,39,131,21
Sabine,Precinct 2,Registered Voters,,,,1484,,,
Sabine,Precinct 2,Ballots Cast,,,,1095,97,802,196
Sabine,Precinct 2,President,,Donald J. Trump,REP,975,62,735,178
Sabine,Precinct 2,President,,Joseph R. Biden,DEM,113,35,65,13
Sabine,Precinct 2,President,,Jo Jorgensen,LIB,4,0,0,4
Sabine,Precinct 2,President,,Howie Hawkins,GRN,2,0,2,0
Sabine,Precinct 2,President,,Write-In,,0,0,0,0
Sabine,Precinct 2,President,,Over Votes,,0,0,0,0
Sabine,Precinct 2,President,,Under Votes,,1,0,0,1
Sabine,Precinct 2,U.S. Senate,,John Cornyn,REP,964,63,726,175
Sabine,Precinct 2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,116,33,69,14
Sabine,Precinct 2,U.S. Senate,,Kerry Douglas McKennon,LIB,8,1,4,3
Sabine,Precinct 2,U.S. Senate,,David B. Collins,GRN,4,0,2,2
Sabine,Precinct 2,U.S. Senate,,Write-In,,0,0,0,0
Sabine,Precinct 2,U.S. Senate,,Over Votes,,0,0,0,0
Sabine,Precinct 2,U.S. Senate,,Under Votes,,3,0,1,2
