county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Wood,1~1,President,,Joseph R. Biden,DEM,82,37,45,
Wood,1~2,President,,Joseph R. Biden,DEM,58,18,40,
Wood,1~3,President,,Joseph R. Biden,DEM,40,12,28,
Wood,1~4,President,,Joseph R. Biden,DEM,8,0,8,
Wood,2~1,President,,Joseph R. Biden,DEM,7,1,6,
Wood,2~2,President,,Joseph R. Biden,DEM,79,24,55,
Wood,2~3,President,,Joseph R. Biden,DEM,100,42,58,
Wood,3~1,President,,Joseph R. Biden,DEM,27,10,17,
Wood,3~2,President,,Joseph R. Biden,DEM,92,18,74,
Wood,3~3,President,,Joseph R. Biden,DEM,120,38,82,
Wood,4~1,President,,Joseph R. Biden,DEM,11,4,7,
Wood,4~2,President,,Joseph R. Biden,DEM,55,17,38,
Wood,4~3,President,,Joseph R. Biden,DEM,65,21,44,
Wood,4~4,President,,Joseph R. Biden,DEM,9,4,5,
Wood,1~1,President,,Elizabeth Warren,DEM,6,3,3,
Wood,1~2,President,,Elizabeth Warren,DEM,14,7,7,
Wood,1~3,President,,Elizabeth Warren,DEM,4,0,4,
Wood,1~4,President,,Elizabeth Warren,DEM,3,2,1,
Wood,2~1,President,,Elizabeth Warren,DEM,0,0,0,
Wood,2~2,President,,Elizabeth Warren,DEM,18,8,10,
Wood,2~3,President,,Elizabeth Warren,DEM,12,7,5,
Wood,3~1,President,,Elizabeth Warren,DEM,4,2,2,
Wood,3~2,President,,Elizabeth Warren,DEM,18,6,12,
Wood,3~3,President,,Elizabeth Warren,DEM,14,6,8,
Wood,4~1,President,,Elizabeth Warren,DEM,2,1,1,
Wood,4~2,President,,Elizabeth Warren,DEM,15,9,6,
Wood,4~3,President,,Elizabeth Warren,DEM,14,7,7,
Wood,4~4,President,,Elizabeth Warren,DEM,0,0,0,
Wood,1~1,President,,Tom Steyer,DEM,1,1,0,
Wood,1~2,President,,Tom Steyer,DEM,0,0,0,
Wood,1~3,President,,Tom Steyer,DEM,2,2,0,
Wood,1~4,President,,Tom Steyer,DEM,0,0,0,
Wood,2~1,President,,Tom Steyer,DEM,0,0,0,
Wood,2~2,President,,Tom Steyer,DEM,1,1,0,
Wood,2~3,President,,Tom Steyer,DEM,1,1,0,
Wood,3~1,President,,Tom Steyer,DEM,0,0,0,
Wood,3~2,President,,Tom Steyer,DEM,0,0,0,
Wood,3~3,President,,Tom Steyer,DEM,1,0,1,
Wood,4~1,President,,Tom Steyer,DEM,0,0,0,
Wood,4~2,President,,Tom Steyer,DEM,0,0,0,
Wood,4~3,President,,Tom Steyer,DEM,0,0,0,
Wood,4~4,President,,Tom Steyer,DEM,0,0,0,
Wood,1~1,President,,Cory Booker,DEM,0,0,0,
Wood,1~2,President,,Cory Booker,DEM,0,0,0,
Wood,1~3,President,,Cory Booker,DEM,0,0,0,
Wood,1~4,President,,Cory Booker,DEM,0,0,0,
Wood,2~1,President,,Cory Booker,DEM,0,0,0,
Wood,2~2,President,,Cory Booker,DEM,1,0,1,
Wood,2~3,President,,Cory Booker,DEM,1,0,1,
Wood,3~1,President,,Cory Booker,DEM,0,0,0,
