county,precinct,office,district,party,candidate,votes,absentee,early_voting,early_voting_paper,early_voting_machine,election_day,election_day_paper,election_day_machine
Lavaca,1,Registered Voters,,,,2850,,,,,,,
Lavaca,8,Registered Voters,,,,713,,,,,,,
Lavaca,16,Registered Voters,,,,765,,,,,,,
Lavaca,19,Registered Voters,,,,741,,,,,,,
Lavaca,23,Registered Voters,,,,1256,,,,,,,
Lavaca,29,Registered Voters,,,,2745,,,,,,,
Lavaca,30,Registered Voters,,,,2134,,,,,,,
Lavaca,31,Registered Voters,,,,1391,,,,,,,
Lavaca,32,Registered Voters,,,,661,,,,,,,
Lavaca,1,Ballots Cast,,,,1083,67,535,270,265,481,194,287
Lavaca,8,Ballots Cast,,,,297,17,93,58,35,187,68,119
Lavaca,16,Ballots Cast,,,,236,15,73,37,36,148,67,81
Lavaca,19,Ballots Cast,,,,291,25,161,99,62,105,46,59
Lavaca,23,Ballots Cast,,,,405,43,74,43,31,288,91,197
Lavaca,29,Ballots Cast,,,,1079,108,206,106,100,765,275,490
Lavaca,30,Ballots Cast,,,,474,53,74,32,42,347,148,199
Lavaca,31,Ballots Cast,,,,543,50,253,129,124,240,141,99
Lavaca,32,Ballots Cast,,,,220,17,56,32,24,147,66,81
Lavaca,1,Ballots Cast,,REP,,956,48,492,251,241,416,167,249
Lavaca,8,Ballots Cast,,REP,,262,11,85,56,29,166,62,104
Lavaca,16,Ballots Cast,,REP,,208,12,68,34,34,128,55,73
Lavaca,19,Ballots Cast,,REP,,255,17,144,90,54,94,40,54
Lavaca,23,Ballots Cast,,REP,,356,24,69,40,29,263,83,180
Lavaca,29,Ballots Cast,,REP,,952,72,190,101,89,690,251,439
Lavaca,30,Ballots Cast,,REP,,404,41,63,29,34,300,131,169
Lavaca,31,Ballots Cast,,REP,,470,36,226,122,104,208,128,80
Lavaca,32,Ballots Cast,,REP,,198,12,55,31,24,131,62,69
Lavaca,1,Ballots Cast,,DEM,,127,19,43,19,24,65,27,38
Lavaca,8,Ballots Cast,,DEM,,35,6,8,2,6,21,6,15
Lavaca,16,Ballots Cast,,DEM,,28,3,5,3,2,20,12,8
Lavaca,19,Ballots Cast,,DEM,,36,8,17,9,8,11,6,5
Lavaca,23,Ballots Cast,,DEM,,49,19,5,3,2,25,8,17
