county,precinct,office,district,party,candidate,votes,mail,early_voting_paper,early_voting_ivo,election_day_paper,election_day_ivo,early_voting,election_day
Hill,PCT 2,Registered Voters,,,,1113,,,,,,,
Hill,PCT 2,Ballots Cast,,DEM,,61,5,17,6,22,11,23,33
Hill,PCT 2,President,,DEM,Bernie Sanders,18,0,3,1,10,4,4,14
Hill,PCT 2,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Michael R. Bloomberg,11,3,1,3,2,2,4,4
Hill,PCT 2,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Tom Steyer,1,0,0,0,1,0,0,1
Hill,PCT 2,President,,DEM,Elizabeth Warren,3,0,2,1,0,0,3,0
Hill,PCT 2,President,,DEM,Amy Klobuchar,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Julian Castro,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Pete Buttigieg,3,0,2,1,0,0,3,0
Hill,PCT 2,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 2,President,,DEM,Joseph R. Biden,25,2,9,0,9,5,9,14
Hill,PCT 2,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
Hill,PCT 2,U.S. Senate,,DEM,Royce West,14,1,4,0,5,4,4,9
Hill,PCT 2,U.S. Senate,,DEM,D. R. Hunter,0,0,0,0,0,0,0,0
Hill,PCT 2,U.S. Senate,,DEM,Michael Cooper,1,0,0,1,0,0,1,0
Hill,PCT 2,U.S. Senate,,DEM,Adrian Ocegueda,2,0,0,0,2,0,0,2
Hill,PCT 2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,4,0,1,0,3,0,1,3
Hill,PCT 2,U.S. Senate,,DEM,Sema Hernandez,0,0,0,0,0,0,0,0
Hill,PCT 2,U.S. Senate,,DEM,"Jack Daniel Foster, Jr.",0,0,0,0,0,0,0,0
Hill,PCT 2,U.S. Senate,,DEM,Mary (MJ) Hegar,24,4,8,3,7,2,11,9
Hill,PCT 2,U.S. Senate,,DEM,Amanda K. Edwards,4,0,2,1,1,0,3,1
Hill,PCT 2,U.S. Senate,,DEM,Victor Hugo Harris,0,0,0,0,0,0,0,0
Hill,PCT 2,U.S. Senate,,DEM,Chris Bell,1,0,1,0,0,0,1,0
Hill,PCT 2,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",4,0,0,1,1,2,1,3
Hill,PCT 2,U.S. House,25,DEM,Julie Oliver,39,4,13,4,12,6,17,18
Hill,PCT 2,U.S. House,25,DEM,Heidi Sloan,11,0,2,2,5,2,4,7
Hill,PCT 2,Railroad Commissioner,,DEM,Mark Watson,9,2,1,1,2,3,2,5
Hill,PCT 2,Railroad Commissioner,,DEM,Kelly Stone,9,0,2,2,3,2,4,5
Hill,PCT 2,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",15,2,1,2,8,2,3,10
Hill,PCT 2,Railroad Commissioner,,DEM,Chrysta Castaneda,18,0,10,1,5,2,11,7
Hill,PCT 2,"Chief Justice, Supreme Court",,DEM,Jerry Zimmerer,10,1,3,2,4,0,5,4
Hill,PCT 2,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,36,3,11,4,10,8,15,18
Hill,PCT 2,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,32,2,11,4,11,4,15,15
Hill,PCT 2,"Justice, Supreme Court, Place 6",,DEM,Larry Praeger,14,3,3,1,4,3,4,7
Hill,PCT 2,"Justice, Supreme Court, P7",,DEM,Staci Williams,33,5,11,3,8,6,14,14
Hill,PCT 2,"Justice, Supreme Court, P7",,DEM,Brandy Voss,13,0,3,2,7,1,5,8
Hill,PCT 2,"Justice, Supreme Court, P8",,DEM,Peter Kelly,21,5,3,2,6,5,5,11
Hill,PCT 2,"Justice, Supreme Court, P8",,DEM,Gisela D. Triana,24,0,11,3,9,1,14,10
Hill,PCT 2,"Judge, CT of Criminal Appeals, P3",,DEM,Elizabeth Davis Frizell,30,3,11,3,9,4,14,13
Hill,PCT 2,"Judge, CT of Criminal Appeals, P3",,DEM,William Pieratt Demond,6,0,2,0,4,0,2,4
Hill,PCT 2,"Judge, CT of Criminal Appeals, P3",,DEM,Dan Wood,9,2,1,3,1,2,4,3
Hill,PCT 2,"Judge, CT of Criminal Appeals, P4",,DEM,Tina Clinton,35,3,13,3,11,5,16,16
Hill,PCT 2,"Judge, CT of Criminal Appeals, P4",,DEM,Steven Miears,9,2,1,3,2,1,4,3
Hill,PCT 2,"Judge, CT of Criminal Appeals, P9",,DEM,Brandon Birmingham,41,5,15,6,10,5,21,15
Hill,PCT 2,"Member, State BoE Dist 14",,DEM,Greg Alvord,43,5,15,6,10,7,21,17
Hill,PCT 2,County Chair,,DEM,Thomas Hanson,47,5,15,6,13,8,21,21
Hill,PCT 2,Proposition #1,,DEM,Yes,50,5,12,6,16,11,18,27
Hill,PCT 2,Proposition #1,,DEM,No,3,0,3,0,0,0,3,0
Hill,PCT 2,Proposition #2,,DEM,Yes,45,5,11,5,13,11,16,24
Hill,PCT 2,Proposition #2,,DEM,No,5,0,4,0,1,0,4,1
Hill,PCT 2,Proposition #3,,DEM,Yes,52,5,15,6,15,11,21,26
Hill,PCT 2,Proposition #3,,DEM,No,1,0,0,0,1,0,0,1
Hill,PCT 2,Proposition #4,,DEM,Yes,47,5,11,6,14,11,17,25
Hill,PCT 2,Proposition #4,,DEM,No,5,0,4,0,1,0,4,1
Hill,PCT 2,Proposition #5,,DEM,Yes,50,5,14,6,14,11,20,25
Hill,PCT 2,Proposition #5,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 2,Proposition #6,,DEM,Yes,53,5,15,6,16,11,21,27
Hill,PCT 2,Proposition #6,,DEM,No,0,0,0,0,0,0,0,0
Hill,PCT 2,Proposition #7,,DEM,Yes,47,5,11,6,14,11,17,25
Hill,PCT 2,Proposition #7,,DEM,No,5,0,4,0,1,0,4,1
Hill,PCT 2,Proposition #8,,DEM,Yes,51,5,14,5,16,11,19,27
Hill,PCT 2,Proposition #8,,DEM,No,2,0,1,1,0,0,2,0
Hill,PCT 2,Proposition #9,,DEM,Yes,51,5,14,6,15,11,20,26
Hill,PCT 2,Proposition #9,,DEM,No,1,0,1,0,0,0,1,0
Hill,PCT 2,Proposition #10,,DEM,Yes,49,5,14,5,14,11,19,25
Hill,PCT 2,Proposition #10,,DEM,No,2,0,1,0,1,0,1,1
Hill,PCT 2,Proposition #11,,DEM,Yes,49,5,13,6,14,11,19,25
Hill,PCT 2,Proposition #11,,DEM,No,3,0,2,0,1,0,2,1
Hill,PCT 3,Registered Voters,,,,1586,,,,,,0,0
Hill,PCT 3,Ballots Cast,,DEM,,116,12,14,22,28,40,36,68
Hill,PCT 3,President,,DEM,Bernie Sanders,29,4,2,5,11,7,7,18
Hill,PCT 3,President,,DEM,John K. Delaney,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Michael R. Bloomberg,26,3,4,5,5,9,9,14
Hill,PCT 3,President,,DEM,Cory Booker,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Deval Patrick,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Tom Steyer,2,0,0,2,0,0,2,0
Hill,PCT 3,President,,DEM,Elizabeth Warren,7,1,2,2,0,2,4,2
Hill,PCT 3,President,,DEM,Amy Klobuchar,1,0,0,1,0,0,1,0
Hill,PCT 3,President,,DEM,Julian Castro,1,1,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Marianne Williamson,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Andrew Yang,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Robby Wells,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Pete Buttigieg,5,0,1,4,0,0,5,0
Hill,PCT 3,President,,DEM,Michael Bennet,0,0,0,0,0,0,0,0
Hill,PCT 3,President,,DEM,Joseph R. Biden,43,3,5,3,10,22,8,32
Hill,PCT 3,President,,DEM,Tulsi Gabbard,0,0,0,0,0,0,0,0
