county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Jim Wells,1,President,,REP,Donald J. Trump Michael R. Pence,2,2,0,0
Jim Wells,1,President,,DEM,Joseph R. Biden Kamala D. Harris,4,4,0,0
Jim Wells,1,President,,LIB,"Jo Jorgensen Jeremy ""Spike"" Cohen",0,0,0,0
Jim Wells,1,President,,LIB,Over Votes,0,0,0,0
Jim Wells,1,President,,LIB,Under Votes,0,0,0,0
Jim Wells,1,President,,GRN,Howie Hawkins Angela Walker,0,0,0,0
Jim Wells,1,President,,"",andrew cuomo,0,0,0,0
Jim Wells,1,President,,"",ANDREW JACKSON,0,0,0,0
Jim Wells,1,President,,"",BERNIE SANDERS,0,0,0,0
Jim Wells,1,President,,"",DAVE MUSTAINE,0,0,0,0
Jim Wells,1,President,,"",ELAEL ROBLEDO,0,0,0,0
Jim Wells,1,President,,"",JACOB RUSSELL,0,0,0,0
Jim Wells,1,President,,"",JEB BUSH,0,0,0,0
Jim Wells,1,President,,"",KANYE WEST,0,0,0,0
Jim Wells,1,President,,"",LEVI R LOPEZ,0,0,0,0
Jim Wells,1,President,,"",PAUL RYAN,0,0,0,0
Jim Wells,1,President,,"",ROSS PEROT,0,0,0,0
Jim Wells,1,President,,"",Rejected write-ins,0,0,0,0
Jim Wells,1,President,,"",Unassigned write-ins,0,0,0,0
Jim Wells,1,U.S. Senate,,REP,John Cornyn,2,2,0,0
Jim Wells,1,U.S. Senate,,REP,Over Votes,0,0,0,0
Jim Wells,1,U.S. Senate,,REP,Under Votes,0,0,0,0
Jim Wells,1,U.S. Senate,,DEM,"Mary ""MJ"" Hegar",4,4,0,0
Jim Wells,1,U.S. Senate,,LIB,Kerry Douglas McKennon,0,0,0,0
Jim Wells,1,U.S. Senate,,GRN,David B. Collins,0,0,0,0
Jim Wells,1,U.S. Senate,,"",Rejected write-ins,0,0,0,0
Jim Wells,1,U.S. Senate,,"",Unassigned write-ins,0,0,0,0
Jim Wells,1,"United States Representative, District No. 34",,REP,Rey Gonzalez,2,2,0,0
Jim Wells,1,"United States Representative, District No. 34",,DEM,Filemon B. Vela,4,4,0,0
Jim Wells,1,"United States Representative, District No. 34",,DEM,Over Votes,0,0,0,0
Jim Wells,1,"United States Representative, District No. 34",,DEM,Under Votes,0,0,0,0
Jim Wells,1,"United States Representative, District No. 34",,LIB,Anthony Cristo,0,0,0,0
Jim Wells,1,"United States Representative, District No. 34",,IND,Chris B. Royal,0,0,0,0
Jim Wells,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",2,2,0,0
Jim Wells,1,Railroad Commissioner,,DEM,Chrysta Castaeda,4,4,0,0
Jim Wells,1,Railroad Commissioner,,DEM,Over Votes,0,0,0,0
Jim Wells,1,Railroad Commissioner,,DEM,Under Votes,0,0,0,0
Jim Wells,1,Railroad Commissioner,,LIB,Matt Sterett,0,0,0,0
Jim Wells,1,Railroad Commissioner,,GRN,"Katija ""Kat"" Gruene",0,0,0,0
Jim Wells,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,2,2,0,0
Jim Wells,1,"Chief Justice, Supreme Court",,DEM,Amy Clark Meachum,4,4,0,0
Jim Wells,1,"Chief Justice, Supreme Court",,LIB,Mark Ash,0,0,0,0
Jim Wells,1,"Chief Justice, Supreme Court",,LIB,Over Votes,0,0,0,0
Jim Wells,1,"Chief Justice, Supreme Court",,LIB,Under Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,REP,Jane Bland,2,2,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Kathy Cheng,4,4,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Over Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 6 Unexpired Term",,DEM,Under Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 7",,REP,Jeff Boyd,2,2,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 7",,DEM,Staci Williams,4,4,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 7",,DEM,Over Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 7",,DEM,Under Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 7",,LIB,William Bryan Strange III,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 8",,REP,Brett Busby,2,2,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 8",,REP,Over Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 8",,REP,Under Votes,0,0,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 8",,DEM,Gisela D. Triana,4,4,0,0
Jim Wells,1,"Justice, Supreme Court, Place No. 8",,LIB,Tom Oxford,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 3",,REP,Bert Richardson,2,2,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 3",,DEM,Elizabeth Davis Frizell,4,4,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 3",,DEM,Over Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 3",,DEM,Under Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 4",,REP,Kevin Patrick Yeary,2,2,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 4",,REP,Over Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 4",,REP,Under Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 4",,DEM,Tina Clinton,4,4,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 9",,REP,David Newell,2,2,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 9",,REP,Over Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 9",,REP,Under Votes,0,0,0,0
Jim Wells,1,"Judge, Court of Criminal Appeals, Place No. 9",,DEM,Brandon Birmingham,4,4,0,0
Jim Wells,1,State Senate,20,REP,Judy Cutright,2,2,0,0
Jim Wells,1,State Senate,20,REP,Over Votes,0,0,0,0
Jim Wells,1,State Senate,20,REP,Under Votes,0,0,0,0
Jim Wells,1,State Senate,20,DEM,"Juan ""Chuy"" Hinojosa",4,4,0,0
