county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Swisher,1,Registered Voters,,,,565,,,
Swisher,1,Ballots Cast,,,,343,54,242,47
Swisher,1,Ballots Cast Blank,,,,0,0,0,0
Swisher,1,President,,Donald J. Trump / Michael R. Pence,REP,267,30,200,37
Swisher,1,President,,Joseph R. Biden / Kamala D. Harris,DEM,66,23,35,8
Swisher,1,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,1,4,1
Swisher,1,President,,Howie Hawkins / Angela Walker,GRN,2,0,1,1
Swisher,1,President,,Write-In,,0,0,0,0
Swisher,1,President,,Over Votes,,0,0,0,0
Swisher,1,President,,Under Votes,,2,0,2,0
Swisher,1,U.S. Senate,,John Cornyn,REP,266,28,206,32
Swisher,1,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,59,23,30,6
Swisher,1,U.S. Senate,,Kerry Douglas McKennon,LIB,6,0,4,2
Swisher,1,U.S. Senate,,David B. Collins,GRN,2,1,0,1
Swisher,1,U.S. Senate,,Write-In,,0,0,0,0
Swisher,1,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,1,U.S. Senate,,Under Votes,,10,2,2,6
Swisher,1,U.S. House,13,Ronny Jackson,REP,257,27,198,32
Swisher,1,U.S. House,13,Gus Trujillo,DEM,66,24,35,7
Swisher,1,U.S. House,13,Jack B. Westbrook,LIB,8,1,4,3
Swisher,1,U.S. House,13,Over Votes,,0,0,0,0
Swisher,1,U.S. House,13,Under Votes,,12,2,5,5
Swisher,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,255,26,198,31
Swisher,1,Railroad Commissioner,,Chrysta Castaneda,DEM,71,26,36,9
Swisher,1,Railroad Commissioner,,Matt Sterett,LIB,6,0,4,2
Swisher,1,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,0,1,0
Swisher,1,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,1,Railroad Commissioner,,Under Votes,,10,2,3,5
Swisher,1,State Representative,88,Ken King,REP,299,32,228,39
Swisher,1,State Representative,88,Over Votes,,0,0,0,0
Swisher,1,State Representative,88,Under Votes,,44,22,14,8
Swisher,2,Registered Voters,,,,1013,,,
Swisher,2,Ballots Cast,,,,576,78,396,102
Swisher,2,Ballots Cast Blank,,,,0,0,0,0
Swisher,2,President,,Donald J. Trump / Michael R. Pence,REP,446,50,315,81
Swisher,2,President,,Joseph R. Biden / Kamala D. Harris,DEM,125,28,77,20
Swisher,2,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,0,1,1
Swisher,2,President,,Howie Hawkins / Angela Walker,GRN,1,0,1,0
Swisher,2,President,,Write-In,,0,0,0,0
Swisher,2,President,,Over Votes,,0,0,0,0
Swisher,2,President,,Under Votes,,2,0,2,0
Swisher,2,U.S. Senate,,John Cornyn,REP,434,52,310,72
Swisher,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,123,25,76,22
Swisher,2,U.S. Senate,,Kerry Douglas McKennon,LIB,8,0,3,5
Swisher,2,U.S. Senate,,David B. Collins,GRN,3,0,3,0
Swisher,2,U.S. Senate,,Write-In,,1,0,0,1
Swisher,2,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,2,U.S. Senate,,Under Votes,,7,1,4,2
Swisher,2,U.S. House,13,Ronny Jackson,REP,435,51,311,73
Swisher,2,U.S. House,13,Gus Trujillo,DEM,122,25,74,23
Swisher,2,U.S. House,13,Jack B. Westbrook,LIB,8,0,4,4
Swisher,2,U.S. House,13,Over Votes,,0,0,0,0
Swisher,2,U.S. House,13,Under Votes,,11,2,7,2
Swisher,2,Railroad Commissioner,,"James ""Jim"" Wright",REP,429,49,305,75
Swisher,2,Railroad Commissioner,,Chrysta Castaneda,DEM,121,25,74,22
Swisher,2,Railroad Commissioner,,Matt Sterett,LIB,6,0,6,0
Swisher,2,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,0,2
Swisher,2,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,2,Railroad Commissioner,,Under Votes,,18,4,11,3
Swisher,2,State Representative,88,Ken King,REP,501,52,357,92
Swisher,2,State Representative,88,Over Votes,,0,0,0,0
Swisher,2,State Representative,88,Under Votes,,75,26,39,10
Swisher,3,Registered Voters,,,,742,,,
Swisher,3,Ballots Cast,,,,497,72,360,65
Swisher,3,Ballots Cast Blank,,,,0,0,0,0
Swisher,3,President,,Donald J. Trump / Michael R. Pence,REP,387,42,297,48
Swisher,3,President,,Joseph R. Biden / Kamala D. Harris,DEM,101,29,56,16
Swisher,3,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,6,1,5,0
Swisher,3,President,,Howie Hawkins / Angela Walker,GRN,2,0,1,1
Swisher,3,President,,Write-In,,0,0,0,0
Swisher,3,President,,Over Votes,,0,0,0,0
Swisher,3,President,,Under Votes,,1,0,1,0
Swisher,3,U.S. Senate,,John Cornyn,REP,378,46,293,39
Swisher,3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,101,25,58,18
Swisher,3,U.S. Senate,,Kerry Douglas McKennon,LIB,9,1,4,4
Swisher,3,U.S. Senate,,David B. Collins,GRN,4,0,2,2
Swisher,3,U.S. Senate,,Write-In,,0,0,0,0
Swisher,3,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,3,U.S. Senate,,Under Votes,,5,0,3,2
Swisher,3,U.S. House,13,Ronny Jackson,REP,382,44,294,44
Swisher,3,U.S. House,13,Gus Trujillo,DEM,100,26,56,18
Swisher,3,U.S. House,13,Jack B. Westbrook,LIB,6,1,3,2
Swisher,3,U.S. House,13,Over Votes,,0,0,0,0
Swisher,3,U.S. House,13,Under Votes,,9,1,7,1
Swisher,3,Railroad Commissioner,,"James ""Jim"" Wright",REP,386,48,298,40
Swisher,3,Railroad Commissioner,,Chrysta Castaneda,DEM,89,19,51,19
Swisher,3,Railroad Commissioner,,Matt Sterett,LIB,10,1,4,5
Swisher,3,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,2,0
Swisher,3,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,3,Railroad Commissioner,,Under Votes,,10,4,5,1
Swisher,3,State Representative,88,Ken King,REP,433,49,328,56
Swisher,3,State Representative,88,Over Votes,,0,0,0,0
Swisher,3,State Representative,88,Under Votes,,64,23,32,9
Swisher,4,Registered Voters,,,,455,,,
Swisher,4,Ballots Cast,,,,194,37,122,35
Swisher,4,Ballots Cast Blank,,,,0,0,0,0
Swisher,4,President,,Donald J. Trump / Michael R. Pence,REP,127,15,91,21
Swisher,4,President,,Joseph R. Biden / Kamala D. Harris,DEM,61,22,26,13
Swisher,4,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,1,0
Swisher,4,President,,Howie Hawkins / Angela Walker,GRN,3,0,2,1
Swisher,4,President,,Write-In,,0,0,0,0
Swisher,4,President,,Over Votes,,0,0,0,0
Swisher,4,President,,Under Votes,,2,0,2,0
Swisher,4,U.S. Senate,,John Cornyn,REP,116,14,83,19
Swisher,4,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,59,20,27,12
Swisher,4,U.S. Senate,,Kerry Douglas McKennon,LIB,9,1,7,1
Swisher,4,U.S. Senate,,David B. Collins,GRN,3,1,1,1
Swisher,4,U.S. Senate,,Write-In,,0,0,0,0
Swisher,4,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,4,U.S. Senate,,Under Votes,,7,1,4,2
Swisher,4,U.S. House,13,Ronny Jackson,REP,118,14,86,18
Swisher,4,U.S. House,13,Gus Trujillo,DEM,65,20,29,16
Swisher,4,U.S. House,13,Jack B. Westbrook,LIB,6,1,5,0
Swisher,4,U.S. House,13,Over Votes,,0,0,0,0
Swisher,4,U.S. House,13,Under Votes,,5,2,2,1
Swisher,4,Railroad Commissioner,,"James ""Jim"" Wright",REP,117,15,85,17
Swisher,4,Railroad Commissioner,,Chrysta Castaneda,DEM,60,21,27,12
Swisher,4,Railroad Commissioner,,Matt Sterett,LIB,2,0,2,0
Swisher,4,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,7,0,4,3
Swisher,4,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,4,Railroad Commissioner,,Under Votes,,8,1,4,3
Swisher,4,State Representative,88,Ken King,REP,153,19,105,29
Swisher,4,State Representative,88,Over Votes,,0,0,0,0
Swisher,4,State Representative,88,Under Votes,,41,18,17,6
Swisher,6,Registered Voters,,,,358,,,
Swisher,6,Ballots Cast,,,,189,18,84,87
Swisher,6,Ballots Cast Blank,,,,0,0,0,0
Swisher,6,President,,Donald J. Trump / Michael R. Pence,REP,150,13,78,59
Swisher,6,President,,Joseph R. Biden / Kamala D. Harris,DEM,36,5,6,25
Swisher,6,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,1,0,0,1
Swisher,6,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Swisher,6,President,,Write-In,,1,0,0,1
Swisher,6,President,,Over Votes,,0,0,0,0
Swisher,6,President,,Under Votes,,0,0,0,0
Swisher,6,U.S. Senate,,John Cornyn,REP,146,15,76,55
Swisher,6,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,38,3,6,29
Swisher,6,U.S. Senate,,Kerry Douglas McKennon,LIB,1,0,1,0
Swisher,6,U.S. Senate,,David B. Collins,GRN,1,0,0,1
Swisher,6,U.S. Senate,,Write-In,,0,0,0,0
Swisher,6,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,6,U.S. Senate,,Under Votes,,3,0,1,2
Swisher,6,U.S. House,13,Ronny Jackson,REP,146,14,77,55
Swisher,6,U.S. House,13,Gus Trujillo,DEM,38,4,6,28
Swisher,6,U.S. House,13,Jack B. Westbrook,LIB,1,0,0,1
Swisher,6,U.S. House,13,Over Votes,,0,0,0,0
Swisher,6,U.S. House,13,Under Votes,,4,0,1,3
Swisher,6,Railroad Commissioner,,"James ""Jim"" Wright",REP,145,14,76,55
Swisher,6,Railroad Commissioner,,Chrysta Castaneda,DEM,40,4,7,29
Swisher,6,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Swisher,6,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Swisher,6,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,6,Railroad Commissioner,,Under Votes,,4,0,1,3
Swisher,6,State Representative,88,Ken King,REP,169,15,80,74
Swisher,6,State Representative,88,Over Votes,,0,0,0,0
Swisher,6,State Representative,88,Under Votes,,20,3,4,13
Swisher,7,Registered Voters,,,,450,,,
Swisher,7,Ballots Cast,,,,327,30,145,152
Swisher,7,Ballots Cast Blank,,,,0,0,0,0
Swisher,7,President,,Donald J. Trump / Michael R. Pence,REP,286,18,131,137
Swisher,7,President,,Joseph R. Biden / Kamala D. Harris,DEM,36,11,14,11
Swisher,7,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,4,0,0,4
Swisher,7,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Swisher,7,President,,Write-In,,0,0,0,0
Swisher,7,President,,Over Votes,,0,0,0,0
Swisher,7,President,,Under Votes,,1,1,0,0
Swisher,7,U.S. Senate,,John Cornyn,REP,279,20,130,129
Swisher,7,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,33,8,10,15
Swisher,7,U.S. Senate,,Kerry Douglas McKennon,LIB,8,0,4,4
Swisher,7,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Swisher,7,U.S. Senate,,Write-In,,0,0,0,0
Swisher,7,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,7,U.S. Senate,,Under Votes,,7,2,1,4
Swisher,7,U.S. House,13,Ronny Jackson,REP,277,16,130,131
Swisher,7,U.S. House,13,Gus Trujillo,DEM,35,10,11,14
Swisher,7,U.S. House,13,Jack B. Westbrook,LIB,8,1,3,4
Swisher,7,U.S. House,13,Over Votes,,0,0,0,0
Swisher,7,U.S. House,13,Under Votes,,7,3,1,3
Swisher,7,Railroad Commissioner,,"James ""Jim"" Wright",REP,275,14,128,133
Swisher,7,Railroad Commissioner,,Chrysta Castaneda,DEM,30,9,11,10
Swisher,7,Railroad Commissioner,,Matt Sterett,LIB,7,0,4,3
Swisher,7,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,0,1,1
Swisher,7,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,7,Railroad Commissioner,,Under Votes,,13,7,1,5
Swisher,7,State Representative,88,Ken King,REP,299,18,133,148
Swisher,7,State Representative,88,Over Votes,,0,0,0,0
Swisher,7,State Representative,88,Under Votes,,28,12,12,4
Swisher,9,Registered Voters,,,,35,,,
Swisher,9,Ballots Cast,,,,28,4,17,7
Swisher,9,Ballots Cast Blank,,,,0,0,0,0
Swisher,9,President,,Donald J. Trump / Michael R. Pence,REP,23,3,13,7
Swisher,9,President,,Joseph R. Biden / Kamala D. Harris,DEM,5,1,4,0
Swisher,9,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,0,0,0,0
Swisher,9,President,,Howie Hawkins / Angela Walker,GRN,0,0,0,0
Swisher,9,President,,Write-In,,0,0,0,0
Swisher,9,President,,Over Votes,,0,0,0,0
Swisher,9,President,,Under Votes,,0,0,0,0
Swisher,9,U.S. Senate,,John Cornyn,REP,22,3,12,7
Swisher,9,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,6,1,5,0
Swisher,9,U.S. Senate,,Kerry Douglas McKennon,LIB,0,0,0,0
Swisher,9,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Swisher,9,U.S. Senate,,Write-In,,0,0,0,0
Swisher,9,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,9,U.S. Senate,,Under Votes,,0,0,0,0
Swisher,9,U.S. House,13,Ronny Jackson,REP,21,3,12,6
Swisher,9,U.S. House,13,Gus Trujillo,DEM,7,1,5,1
Swisher,9,U.S. House,13,Jack B. Westbrook,LIB,0,0,0,0
Swisher,9,U.S. House,13,Over Votes,,0,0,0,0
Swisher,9,U.S. House,13,Under Votes,,0,0,0,0
Swisher,9,Railroad Commissioner,,"James ""Jim"" Wright",REP,22,3,12,7
Swisher,9,Railroad Commissioner,,Chrysta Castaneda,DEM,6,1,5,0
Swisher,9,Railroad Commissioner,,Matt Sterett,LIB,0,0,0,0
Swisher,9,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Swisher,9,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,9,Railroad Commissioner,,Under Votes,,0,0,0,0
Swisher,9,State Representative,88,Ken King,REP,24,4,14,6
Swisher,9,State Representative,88,Over Votes,,0,0,0,0
Swisher,9,State Representative,88,Under Votes,,4,0,3,1
Swisher,11,Registered Voters,,,,323,,,
Swisher,11,Ballots Cast,,,,211,31,80,100
Swisher,11,Ballots Cast Blank,,,,0,0,0,0
Swisher,11,President,,Donald J. Trump / Michael R. Pence,REP,159,21,68,70
Swisher,11,President,,Joseph R. Biden / Kamala D. Harris,DEM,48,10,10,28
Swisher,11,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,2,0,1,1
Swisher,11,President,,Howie Hawkins / Angela Walker,GRN,1,0,0,1
Swisher,11,President,,Write-In,,0,0,0,0
Swisher,11,President,,Over Votes,,0,0,0,0
Swisher,11,President,,Under Votes,,1,0,1,0
Swisher,11,U.S. Senate,,John Cornyn,REP,154,22,65,67
Swisher,11,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,45,8,10,27
Swisher,11,U.S. Senate,,Kerry Douglas McKennon,LIB,3,0,1,2
Swisher,11,U.S. Senate,,David B. Collins,GRN,2,0,0,2
Swisher,11,U.S. Senate,,Write-In,,0,0,0,0
Swisher,11,U.S. Senate,,Over Votes,,0,0,0,0
Swisher,11,U.S. Senate,,Under Votes,,7,1,4,2
Swisher,11,U.S. House,13,Ronny Jackson,REP,155,20,67,68
Swisher,11,U.S. House,13,Gus Trujillo,DEM,50,10,11,29
Swisher,11,U.S. House,13,Jack B. Westbrook,LIB,4,0,1,3
Swisher,11,U.S. House,13,Over Votes,,0,0,0,0
Swisher,11,U.S. House,13,Under Votes,,2,1,1,0
Swisher,11,Railroad Commissioner,,"James ""Jim"" Wright",REP,157,20,67,70
Swisher,11,Railroad Commissioner,,Chrysta Castaneda,DEM,42,7,10,25
Swisher,11,Railroad Commissioner,,Matt Sterett,LIB,4,1,0,3
Swisher,11,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,0,0,0
Swisher,11,Railroad Commissioner,,Over Votes,,0,0,0,0
Swisher,11,Railroad Commissioner,,Under Votes,,8,3,3,2
Swisher,11,State Representative,88,Ken King,REP,177,23,71,83
Swisher,11,State Representative,88,Over Votes,,0,0,0,0
Swisher,11,State Representative,88,Under Votes,,34,8,9,17
