county,precinct,office,district,party,candidate,early_voting,election_day,mail,votes
Loving,1,Ballots Cast,,,,0,0,2,2
Loving,2,Ballots Cast,,,,2,0,0,2
Loving,3,Ballots Cast,,,,1,5,0,6
Loving,4,Ballots Cast,,,,0,0,0,0
Loving,2,President,,DEM,Michael R. Bloomberg,2,0,0,2
Loving,2,U.S. Senate,,DEM,Cristina Tzintzun Ramirez,1,0,0,1
Loving,2,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",1,0,0,1
Loving,3,U.S. Senate,,DEM,Chris Bell,1,1,0,2
Loving,2,U.S. House,23,DEM,Gina Ortiz Jones,2,0,0,2
Loving,3,U.S. House,23,DEM,Gina Ortiz Jones,1,1,0,2
Loving,2,Railroad Commissioner,,DEM,"Roberto R. ""Beto"" Alonzo",1,0,0,1
Loving,2,Railroad Commissioner,,DEM,Mark Watson,1,0,0,1
Loving,3,Railroad Commissioner,,DEM,Mark Watson,1,4,0,5
Loving,2,State Representative,74,DEM,Rowland Garza,2,0,0,2
Loving,3,State Representative,74,DEM,Rowland Garza,1,1,0,2
Loving,3,U.S. Senate,,DEM,Michael Cooper,0,1,0,1
Loving,3,U.S. Senate,,DEM,D.R. Hunter,0,1,0,1
Loving,3,U.S. Senate,,DEM,"Annie ""Mama"" Garcia",0,1,0,1
Loving,3,U.S. House,23,DEM,Efrain V. Valdez,0,2,0,2
Loving,3,U.S. House,23,DEM,Ricardo R. Madrid,0,1,0,1
Loving,3,State Representative,74,DEM,Eddie Morales,0,2,0,2
Loving,1,President,,DEM,Pete Buttigieg,0,0,1,1
Loving,1,President,,DEM,Joseph R. Biden,0,0,1,1
Loving,1,State Representative,74,DEM,Ramsey English Cantu,0,0,1,1
Loving,1,President,,REP,Donald J. Trump,5,1,0,6
Loving,2,President,,REP,Donald J. Trump,2,4,0,6
Loving,3,President,,REP,Donald J. Trump,2,5,1,8
Loving,4,President,,REP,Donald J. Trump,1,3,0,4
Loving,1,President,,REP,Uncommitted,1,1,0,2
Loving,3,President,,REP,Uncommitted,0,1,0,1
Loving,4,President,,REP,Zoltan G. Istvan,0,1,0,1
Loving,4,President,,REP,Bill Weld,0,1,0,1
Loving,1,U.S. Senate,,REP,Dwayne Stovall,1,0,0,1
Loving,2,U.S. Senate,,REP,Dwayne Stovall,0,1,0,1
Loving,3,U.S. Senate,,REP,Dwayne Stovall,0,0,1,1
Loving,4,U.S. Senate,,REP,Dwayne Stovall,0,1,0,1
Loving,3,U.S. Senate,,REP,John Anthony Castro,0,1,0,1
Loving,4,U.S. Senate,,REP,John Anthony Castro,0,1,0,1
Loving,1,U.S. Senate,,REP,John Cornyn,4,2,0,6
Loving,2,U.S. Senate,,REP,John Cornyn,1,1,0,2
Loving,3,U.S. Senate,,REP,John Cornyn,1,3,0,4
Loving,4,U.S. Senate,,REP,John Cornyn,1,1,0,2
Loving,1,U.S. Senate,,REP,Mark Yancey,1,0,0,1
Loving,3,U.S. Senate,,REP,Mark Yancey,1,1,0,2
Loving,4,U.S. Senate,,REP,Mark Yancey,0,1,0,1
Loving,3,U.S. House,23,REP,Alma Arredondo-Lynch,0,2,0,2
Loving,1,U.S. House,23,REP,Tony Gonzales,1,0,0,1
Loving,3,U.S. House,23,REP,Tony Gonzales,0,1,0,1
Loving,4,U.S. House,23,REP,Tony Gonzales,0,1,0,1
Loving,1,U.S. House,23,REP,Raul Reyes,1,0,0,1
Loving,4,U.S. House,23,REP,Raul Reyes,1,1,0,2
Loving,1,U.S. House,23,REP,"Cecil B. ""Burt"" Jones",2,2,0,4
Loving,2,U.S. House,23,REP,"Cecil B. ""Burt"" Jones",0,1,0,1
Loving,1,U.S. House,23,REP,Jeff McFarlin,1,0,0,1
Loving,2,U.S. House,23,REP,Jeff McFarlin,1,1,0,2
Loving,3,U.S. House,23,REP,Jeff McFarlin,0,0,1,1
Loving,4,U.S. House,23,REP,Jeff McFarlin,0,1,0,1
Loving,2,U.S. House,23,REP,Ben Van Winkle,1,0,0,1
Loving,3,U.S. House,23,REP,Ben Van Winkle,0,1,0,1
Loving,3,U.S. House,23,REP,"Cecil B. ""Burt"" Jones",1,1,0,2
Loving,1,Railroad Commissioner,,REP,Ryan Sitton,2,1,0,3
Loving,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",4,1,0,5
Loving,2,Railroad Commissioner,,REP,Ryan Sitton,1,2,0,3
Loving,2,Railroad Commissioner,,REP,"James ""Jim"" Wright",1,0,0,1
Loving,3,Railroad Commissioner,,REP,Ryan Sitton,1,4,0,5
Loving,3,Railroad Commissioner,,REP,"James ""Jim"" Wright",0,1,1,2
Loving,4,Railroad Commissioner,,REP,Ryan Sitton,1,3,0,4
Loving,4,Railroad Commissioner,,REP,"James ""Jim"" Wright",0,1,0,1
Loving,1,State Representative,74,REP,Robert Garza,3,0,0,3
Loving,1,State Representative,74,REP,Ruben Falcon,2,2,0,4
Loving,2,State Representative,74,REP,Robert Garza,1,2,0,3
Loving,2,State Representative,74,REP,Ruben Falcon,1,0,0,1
Loving,3,State Representative,74,REP,Robert Garza,1,2,0,3
Loving,3,State Representative,74,REP,Ruben Falcon,0,2,1,3
Loving,4,State Representative,74,REP,Robert Garza,1,1,0,2
Loving,4,State Representative,74,REP,Ruben Falcon,0,2,0,2
