county,precinct,office,district,party,candidate,votes,early_voting,early_voting,election_day
Cooke,Pct. 1,Registered Voters,,,,1508,,,
Cooke,Pct. 1,Ballots Cast,,,,933,103,690,140
Cooke,Pct. 1,Ballots Cast - Blank,,,,0,0,0,0
Cooke,Pct. 1,President,,REP,Donald J. Trump / Michael R. Pence,619,39,484,96
Cooke,Pct. 1,President,,DEM,Joseph R. Biden / Kamala D. Harris,281,55,191,35
Cooke,Pct. 1,President,,LBT,Jo Jorgensen / Jeremy Spike Cohen,18,1,12,5
Cooke,Pct. 1,President,,GRN,Howie Hawkins / Angela Walker,4,1,1,2
Cooke,Pct. 1,President,,,Write-ins,6,4,2,0
Cooke,Pct. 1,President,,,Write-In: Abram Loeb/Jennifer Jairala,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Robert Morrow/Anne Beckett,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Kasey Wells/Rachel Wells,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Uncertified,2,0,2,0
Cooke,Pct. 1,President,,,Write-In: President R. boddie/Eric C. Stoneham,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Brian Carroll/Amar Patel,4,4,0,0
Cooke,Pct. 1,President,,,Write-In: Todd Cella/Tim Cella,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Jesse Cuellar/Jimmy Monreal,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Tom Hoefling/Andy Prior,0,0,0,0
Cooke,Pct. 1,President,,,Write-In: Gloria La Riva/Leonard Peltier,0,0,0,0
Cooke,Pct. 1,President,,,Not Assigned,0,0,0,0
Cooke,Pct. 1,U.S. Senate,,REP,John Cornyn,639,50,497,92
Cooke,Pct. 1,U.S. Senate,,DEM,Mary MJ Hegar,258,50,173,35
Cooke,Pct. 1,U.S. Senate,,LBT,Kerry Douglas McKennon,19,1,13,5
Cooke,Pct. 1,U.S. Senate,,GRN,David B. Collins,5,0,1,4
Cooke,Pct. 1,U.S. Senate,,,Write-ins,2,0,1,1
Cooke,Pct. 1,U.S. Senate,,,Write-In: Uncertified,2,0,1,1
Cooke,Pct. 1,U.S. Senate,,,Write-In: Ricardo Turullois-Bonilla,0,0,0,0
Cooke,Pct. 1,U.S. Senate,,,Not Assigned,0,0,0,0
Cooke,Pct. 1,U.S. House,13,REP,Ronny Jackson,638,50,495,93
Cooke,Pct. 1,U.S. House,13,DEM,Gus Trujillo,240,50,159,31
Cooke,Pct. 1,U.S. House,13,LBT,Jack B. Westbrook,33,1,24,8
Cooke,Pct. 1,Railroad Commissioner,,REP,James Jim Wright,634,53,488,93
Cooke,Pct. 1,Railroad Commissioner,,DEM,Chrysta Castaneda,241,44,162,35
Cooke,Pct. 1,Railroad Commissioner,,LBT,Matt Sterett,22,2,15,5
Cooke,Pct. 1,Railroad Commissioner,,GRN,Katija Kat Gruene,6,0,5,1
Cooke,Pct. 1,Chief Justice Supreme Court,,REP,Nathan Hecht,629,48,487,94
Cooke,Pct. 1,Chief Justice Supreme Court,,DEM,Amy Clark Meachum,255,46,171,38
Cooke,Pct. 1,Chief Justice Supreme Court,,LBT,Mark Ash,25,4,17,4
Cooke,Pct. 1,Justice Supreme Court Pl 6,,REP,Jane Bland,645,50,498,97
Cooke,Pct. 1,Justice Supreme Court Pl 6,,DEM,Kathy Cheng,257,47,172,38
Cooke,Pct. 1,Justice Supreme Court Pl 7,,REP,Jeff Boyd,626,47,485,94
Cooke,Pct. 1,Justice Supreme Court Pl 7,,DEM,Staci Williams,254,51,169,34
Cooke,Pct. 1,Justice Supreme Court Pl 7,,LBT,William Bryan Strange III,23,0,17,6
Cooke,Pct. 1,Justice Supreme Court Pl 8,,REP,Brett Busby,625,48,485,92
Cooke,Pct. 1,Justice Supreme Court Pl 8,,DEM,Gisela D. Triana,251,46,171,34
Cooke,Pct. 1,Justice Supreme Court Pl 8,,LBT,Tom Oxford,29,5,16,8
Cooke,Pct. 1,Judge Ct of Crim App Pl 3,,REP,Bert Richardson,632,48,493,91
Cooke,Pct. 1,Judge Ct of Crim App Pl 3,,DEM,Elizabeth Davis Frizell,267,50,176,41
Cooke,Pct. 1,Judge Ct of Crim App Pl 4,,REP,Kevin Patrick Yeary,647,49,502,96
Cooke,Pct. 1,Judge Ct of Crim App Pl 4,,DEM,Tina Clinton,256,48,170,38
Cooke,Pct. 1,Judge Ct of Crim App Pl 9,,REP,David Newell,635,48,496,91
Cooke,Pct. 1,Judge Ct of Crim App Pl 9,,DEM,Brandon Birmingham,264,49,173,42
Cooke,Pct. 1,Member State BoE Dist 15,,REP,Jay Johnson,643,50,496,97
Cooke,Pct. 1,Member State BoE Dist 15,,DEM,John Betancourt,256,49,172,35
Cooke,Pct. 1,State Representative,68,REP,Drew Springer,635,54,479,102
Cooke,Pct. 1,State Representative,68,DEM,Patsy Ledbetter,278,46,197,35
Cooke,Pct. 1,Justice 2nd Ct of App Dist Pl 2,,REP,Dana Womack,787,62,598,127
Cooke,Pct. 1,Justice 2nd Ct of App Dist Pl 6,,REP,Mike Wallach,648,51,498,99
Cooke,Pct. 1,Justice 2nd Ct of App Dist Pl 6,,DEM,Delonia A. Watson,248,47,169,32
Cooke,Pct. 1,Justice 2nd Ct of App Dist Pl 7,,REP,Brian Walker,790,65,600,125
Cooke,Pct. 1,Dist Judge 235th Judicial Dist,,REP,Janelle M. Haverkamp,784,70,591,123
