candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Ballots Cast,,,,Wilbarger,PCT 1 ALL,,,,1334
Donald J Trump,President,,REP,Wilbarger,PCT 1 ALL,0,653,145,798
Joseph R Biden,President,,DEM,Wilbarger,PCT 1 ALL,0,168,46,214
Jo Jorgensen,President,,LIB,Wilbarger,PCT 1 ALL,0,6,5,11
Howie Hawkins,President,,GRN,Wilbarger,PCT 1 ALL,0,0,1,1
Over Votes,President,,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 1 ALL,0,10,1,11
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 1 ALL,0,647,145,792
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Wilbarger,PCT 1 ALL,0,156,46,202
Kerry Douglas McKennon,U.S. Senate,,LIB,Wilbarger,PCT 1 ALL,0,10,1,11
David B. Collins,U.S. Senate,,GRN,Wilbarger,PCT 1 ALL,0,1,1,2
Over Votes,U.S. Senate,,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,U.S. Senate,,,Wilbarger,PCT 1 ALL,0,23,5,28
Ronny Jackson,U.S. House,13,,Wilbarger,PCT 1 ALL,0,644,142,786
Gus Trujillo,U.S. House,13,,Wilbarger,PCT 1 ALL,0,157,42,199
Jack B. Westbrook,U.S. House,13,,Wilbarger,PCT 1 ALL,0,11,7,18
Over Votes,U.S. House,13,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,U.S. House,13,,Wilbarger,PCT 1 ALL,0,25,7,32
"James ""Jim"" Wright",Railroad Commissioner,,REP,Wilbarger,PCT 1 ALL,0,637,143,780
Chrysta Castaneda,Railroad Commissioner,,DEM,Wilbarger,PCT 1 ALL,0,147,37,184
Matt Sterett,Railroad Commissioner,,LIB,Wilbarger,PCT 1 ALL,0,14,5,19
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Wilbarger,PCT 1 ALL,0,8,5,13
Over Votes,Railroad Commissioner,,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,Railroad Commissioner,,,Wilbarger,PCT 1 ALL,0,31,8,39
Charles Perry,State Senate,28,,Wilbarger,PCT 1 ALL,0,680,165,845
Over Votes,State Senate,28,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,State Senate,28,,Wilbarger,PCT 1 ALL,0,157,33,190
Drew Springer,State Representative,68,,Wilbarger,PCT 1 ALL,0,646,144,790
Patsy Ledbetter,State Representative,68,,Wilbarger,PCT 1 ALL,0,155,39,194
Over Votes,State Representative,68,,Wilbarger,PCT 1 ALL,0,0,0,0
Under Votes,State Representative,68,,Wilbarger,PCT 1 ALL,0,36,15,51
Ballots Cast,,,,Wilbarger,PCT 1 GEN‐ VISD,,,,151
Donald J Trump,President,,REP,Wilbarger,PCT 1 GEN‐ VISD,0,125,13,138
Joseph R Biden,President,,DEM,Wilbarger,PCT 1 GEN‐ VISD,0,9,3,12
Jo Jorgensen,President,,LIB,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Howie Hawkins,President,,GRN,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Over Votes,President,,,Wilbarger,PCT 1 GEN‐ VISD,0,0,0,0
Under Votes,President,,,Wilbarger,PCT 1 GEN‐ VISD,0,1,0,1
John Cornyn,U.S. Senate,,REP,Wilbarger,PCT 1 GEN‐ VISD,0,127,11,138
