county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Brown,Precinct 101,Ballots Cast,,,,,,,510
Brown,Precinct 101 - BISD,Ballots Cast,,,,,,,89
Brown,Precinct 101 - BISD BCWID,Ballots Cast,,,,,,,24
Brown,Precinct 101 - BCWID,Ballots Cast,,,,,,,1130
Brown,Precinct 105,Ballots Cast,,,,,,,181
Brown,Precinct 105 - EISD,Ballots Cast,,,,,,,7
Brown,Precinct 105 - EISD BCWID,Ballots Cast,,,,,,,21
Brown,Precinct 105 - BCWID,Ballots Cast,,,,,,,981
Brown,Precinct 109,Ballots Cast,,,,,,,228
Brown,Precinct 113,Ballots Cast,,,,,,,962
Brown,Precinct 113 - BCWID,Ballots Cast,,,,,,,360
Brown,Precinct 202,Ballots Cast,,,,,,,148
Brown,Precinct 202 - BCWID,Ballots Cast,,,,,,,624
Brown,Precinct 204,Ballots Cast,,,,,,,8
Brown,Precinct 204 - BCWID,Ballots Cast,,,,,,,764
Brown,Precinct 212,Ballots Cast,,,,,,,625
Brown,Precinct 212 - BISD,Ballots Cast,,,,,,,6
Brown,Precinct 214,Ballots Cast,,,,,,,546
Brown,Precinct 214 - EISD,Ballots Cast,,,,,,,9
Brown,Precinct 215,Ballots Cast,,,,,,,6
Brown,Precinct 215 - BISD,Ballots Cast,,,,,,,203
Brown,Precinct 303,Ballots Cast,,,,,,,5
Brown,Precinct 303 - BCWID,Ballots Cast,,,,,,,797
Brown,Precinct 306,Ballots Cast,,,,,,,24
Brown,Precinct 306 - EISD,Ballots Cast,,,,,,,572
Brown,Precinct 306 - EISD BCWID,Ballots Cast,,,,,,,746
Brown,Precinct 306 - BCWID,Ballots Cast,,,,,,,19
Brown,Precinct 307,Ballots Cast,,,,,,,548
Brown,Precinct 308,Ballots Cast,,,,,,,459
Brown,Precinct 308 - EISD,Ballots Cast,,,,,,,15
Brown,Precinct 316,Ballots Cast,,,,,,,176
Brown,Precinct 316 - EISD,Ballots Cast,,,,,,,30
Brown,Precinct 318,Ballots Cast,,,,,,,24
Brown,Precinct 318 - EISD,Ballots Cast,,,,,,,553
Brown,Precinct 318 - EISD BCWID,Ballots Cast,,,,,,,660
Brown,Precinct 318 - BCWID,Ballots Cast,,,,,,,9
Brown,Precinct 410,Ballots Cast,,,,,,,51
Brown,Precinct 410 - COB BISD,Ballots Cast,,,,,,,659
Brown,Precinct 410 - BISD BCWID,Ballots Cast,,,,,,,10
Brown,Precinct 410 - BISD,Ballots Cast,,,,,,,1043
Brown,Precinct 411,Ballots Cast,,,,,,,3
Brown,Precinct 411 - BCWID,Ballots Cast,,,,,,,725
Brown,Precinct 417,Ballots Cast,,,,,,,488
Brown,Precinct 417 - BISD,Ballots Cast,,,,,,,1012
Brown,Precinct 101,"Chief Justice, Supreme Court",,Amy Clark Meachum,,6,20,18,44
Brown,Precinct 101 - BISD,"Chief Justice, Supreme Court",,Amy Clark Meachum,,2,10,0,12
Brown,Precinct 101 - BISD BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,0,5,0,5
Brown,Precinct 101 - BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,13,135,38,186
Brown,Precinct 105,"Chief Justice, Supreme Court",,Amy Clark Meachum,,3,17,2,22
Brown,Precinct 105 - EISD,"Chief Justice, Supreme Court",,Amy Clark Meachum,,0,0,0,0
Brown,Precinct 105 - EISD BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,0,0,0,0
Brown,Precinct 105 - BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,18,101,28,147
Brown,Precinct 109,"Chief Justice, Supreme Court",,Amy Clark Meachum,,4,6,3,13
Brown,Precinct 113,"Chief Justice, Supreme Court",,Amy Clark Meachum,,30,81,16,127
Brown,Precinct 113 - BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,18,40,8,66
Brown,Precinct 202,"Chief Justice, Supreme Court",,Amy Clark Meachum,,3,11,2,16
Brown,Precinct 202 - BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,18,75,22,115
Brown,Precinct 204,"Chief Justice, Supreme Court",,Amy Clark Meachum,,0,0,0,0
Brown,Precinct 204 - BCWID,"Chief Justice, Supreme Court",,Amy Clark Meachum,,36,119,38,193
Brown,Precinct 212,"Chief Justice, Supreme Court",,Amy Clark Meachum,,8,26,20,54
Brown,Precinct 212 - BISD,"Chief Justice, Supreme Court",,Amy Clark Meachum,,0,0,0,0
