county,precinct,office,district,candidate,party,votes,early_voting,election_day,mail,provisional
Hardin,1,President,,Michael R. Bloomberg,DEM,18,9,5,4,0
Hardin,1,President,,Robby Wells,DEM,1,0,0,1,0
Hardin,1,President,,Amy Klobuchar,DEM,1,0,1,0,0
Hardin,1,President,,Pete Buttigieg,DEM,3,1,0,2,0
Hardin,1,President,,Cory Booker,DEM,1,0,1,0,0
Hardin,1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0,0
Hardin,1,President,,Andrew Yang,DEM,0,0,0,0,0
Hardin,1,President,,Deval Patrick,DEM,0,0,0,0,0
Hardin,1,President,,Tulsi Gabbard,DEM,0,0,0,0,0
Hardin,1,President,,Michael Bennet,DEM,0,0,0,0,0
Hardin,1,President,,Elizabeth Warren,DEM,5,1,2,2,0
Hardin,1,President,,Marianne Williamson,DEM,0,0,0,0,0
Hardin,1,President,,John K. Delaney,DEM,0,0,0,0,0
Hardin,1,President,,Joseph R. Biden,DEM,76,14,56,6,0
Hardin,1,President,,Julián Castro,DEM,2,1,1,0,0
Hardin,1,President,,Bernie Sanders,DEM,15,6,5,4,0
Hardin,1,President,,Tom Steyer,DEM,0,0,0,0,0
Hardin,1,United States Senator,,Sema Hernandez,DEM,9,4,4,1,0
Hardin,1,United States Senator,,D. R. Hunter,DEM,3,0,2,1,0
Hardin,1,United States Senator,,Adrian Ocegueda,DEM,2,2,0,0,0
Hardin,1,United States Senator,,Amanda K. Edwards,DEM,20,3,10,7,0
Hardin,1,United States Senator,,Cristina Tzintzun Ramirez,DEM,5,3,2,0,0
Hardin,1,United States Senator,,Victor Hugo Harris,DEM,2,1,1,0,0
Hardin,1,United States Senator,,"Annie ""Mamá"" Garcia",DEM,10,1,9,0,0
Hardin,1,United States Senator,,Michael Cooper,DEM,30,4,19,7,0
Hardin,1,United States Senator,,Jack Daniel Foster Jr,DEM,3,1,0,2,0
Hardin,1,United States Senator,,Chris Bell,DEM,11,5,5,1,0
Hardin,1,United States Senator,,"Mary ""MJ"" Hegar",DEM,2,0,2,0,0
Hardin,1,United States Senator,,Royce West,DEM,10,4,6,0,0
Hardin,1,United States Representative,36,Rashad Lewis,DEM,82,22,45,15,0
Hardin,1,Railroad Commissioner,,Chrysta Castañeda,DEM,33,9,18,6,0
Hardin,1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,19,4,15,0,0
Hardin,1,Railroad Commissioner,,Kelly Stone,DEM,20,5,11,4,0
Hardin,1,Railroad Commissioner,,Mark Watson,DEM,29,10,10,9,0
Hardin,1,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,83,22,46,15,0
Hardin,1,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,18,6,10,2,0
Hardin,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,70,20,39,11,0
Hardin,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,32,7,17,8,0
Hardin,1,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,40,8,25,7,0
Hardin,1,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,61,18,31,12,0
Hardin,1,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,64,19,33,12,0
Hardin,1,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,36,8,21,7,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,64,20,38,6,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,18,2,11,5,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,18,5,6,7,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,29,8,14,7,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,72,20,41,11,0
Hardin,1,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,85,25,43,17,0
Hardin,1,"County Commissioner, Precinct 3",,Donald Owens,DEM,83,23,43,17,0
Hardin,1,County Chairman,,Vickie Brekel,DEM,88,25,46,17,0
Hardin,1,Proposition #1,,Yes,DEM,114,30,66,18,0
Hardin,1,Proposition #1,,No,DEM,4,0,3,1,0
Hardin,1,Proposition #2,,Yes,DEM,115,31,66,18,0
Hardin,1,Proposition #2,,No,DEM,4,0,3,1,0
Hardin,1,Proposition #3,,Yes,DEM,117,31,67,19,0
Hardin,1,Proposition #3,,No,DEM,2,0,2,0,0
Hardin,1,Proposition #4,,Yes,DEM,116,30,67,19,0
Hardin,1,Proposition #4,,No,DEM,1,0,1,0,0
Hardin,1,Proposition #5,,Yes,DEM,113,30,64,19,0
Hardin,1,Proposition #5,,No,DEM,5,0,5,0,0
Hardin,1,Proposition #6,,Yes,DEM,116,28,69,19,0
Hardin,1,Proposition #6,,No,DEM,3,1,2,0,0
