county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Camp,Precinct 1001,Registered Voters,,,,1875,,,
Camp,Precinct 1001,Ballots Cast Total,,,,678,38,364,276
Camp,Precinct 1001,Ballots Cast Republican Party,,,,517,18,297,202
Camp,Precinct 1001,Ballots Cast Democratic Party,,,,161,20,67,74
Camp,Precinct 1001,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,4,0,1,3
Camp,Precinct 1001,President,,Donald J. Trump,REP,492,18,286,188
Camp,Precinct 1001,President,,Matthew John Matern,REP,0,0,0,0
Camp,Precinct 1001,President,,Joe Walsh,REP,0,0,0,0
Camp,Precinct 1001,President,,Zoltan G. Istvan,REP,0,0,0,0
Camp,Precinct 1001,President,,Bill Weld,REP,1,0,1,0
Camp,Precinct 1001,President,,Bob Ely,REP,0,0,0,0
Camp,Precinct 1001,President,,Uncommitted,REP,13,0,6,7
Camp,Precinct 1001,U S Senate,,John Cornyn,REP,402,17,236,149
Camp,Precinct 1001,U S Senate,,John Anthony Castro,REP,14,0,4,10
Camp,Precinct 1001,U S Senate,,Mark Yancey,REP,24,0,16,8
Camp,Precinct 1001,U S Senate,,Dwayne Stovall,REP,41,1,20,20
Camp,Precinct 1001,U S Senate,,Virgil Bierschwale,REP,1,0,1,0
Camp,Precinct 1001,U S House,4,John Ratcliffe,REP,459,17,263,179
Camp,Precinct 1001,Railroad Commissioner,,"James ""Jim"" Wright",REP,326,8,199,119
Camp,Precinct 1001,Railroad Commissioner,,Ryan Sitton,REP,106,4,54,48
Camp,Precinct 1001,State Senate,1,Bryan Hughes,REP,449,14,266,169
Camp,Precinct 1001,State House,5,Cole Hefner,REP,458,14,268,176
Camp,Precinct 1001,President,,Amy Klobuchar,DEM,0,0,0,0
Camp,Precinct 1001,President,,"Roque ""Rocky"" De La Fuente ",DEM,0,0,0,0
Camp,Precinct 1001,President,,Cory Booker,DEM,0,0,0,0
Camp,Precinct 1001,President,,Michael R. Bloomberg,DEM,24,1,17,6
Camp,Precinct 1001,President,,Michael Bennet,DEM,1,0,0,1
Camp,Precinct 1001,President,,Elizabeth Warren,DEM,4,1,2,1
Camp,Precinct 1001,President,,Marianne Williamson,DEM,1,0,0,1
Camp,Precinct 1001,President,,Robby Wells,DEM,0,0,0,0
Camp,Precinct 1001,President,,Bernie Sanders,DEM,41,5,16,20
Camp,Precinct 1001,President,,Pete Buttigieg,DEM,5,3,2,0
Camp,Precinct 1001,President,,John K. Delaney,DEM,0,0,0,0
Camp,Precinct 1001,President,,Andrew Yang,DEM,0,0,0,0
Camp,Precinct 1001,President,,Tom Steyer,DEM,0,0,0,0
Camp,Precinct 1001,President,,Julian Castro,DEM,0,0,0,0
Camp,Precinct 1001,President,,Joseph R. Biden,DEM,81,9,28,44
Camp,Precinct 1001,President,,Tulsi Gabbard,DEM,2,0,1,1
Camp,Precinct 1001,President,,Deval Patrick,DEM,0,0,0,0
Camp,Precinct 1001,U S Senate,,Mary (MJ) Hegar,DEM,23,4,8,11
Camp,Precinct 1001,U S Senate,,Amanda K. Edwards,DEM,29,2,16,11
Camp,Precinct 1001,U S Senate,,Royce West,DEM,32,4,15,13
Camp,Precinct 1001,U S Senate,,Adrian Ocegueda,DEM,3,0,0,3
Camp,Precinct 1001,U S Senate,,Chris Bell,DEM,14,3,4,7
Camp,Precinct 1001,U S Senate,,"Annie ""Mama"" Garcia",DEM,10,0,1,9
Camp,Precinct 1001,U S Senate,,Sema Hernandez,DEM,6,0,3,3
Camp,Precinct 1001,U S Senate,,Michael Cooper,DEM,16,2,8,6
Camp,Precinct 1001,U S Senate,,D. R. Hunter,DEM,0,0,0,0
Camp,Precinct 1001,U S Senate,,Victor Hugo Harris,DEM,3,0,2,1
Camp,Precinct 1001,U S Senate,,"Jack Daniel Foster, Jr.",DEM,2,0,1,1
Camp,Precinct 1001,U S Senate,,Cristina Tzintzun Ramirez,DEM,9,1,4,4
Camp,Precinct 1001,U S House,4,Russell Foster,DEM,110,15,47,48
Camp,Precinct 1001,Railroad Commissioner,,Mark Watson,DEM,53,7,25,21
Camp,Precinct 1001,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,33,1,13,19
Camp,Precinct 1001,Railroad Commissioner,,Kelly Stone,DEM,31,7,11,13
Camp,Precinct 1001,Railroad Commissioner,,Chrysta Castaneda,DEM,25,0,11,14
Camp,Precinct 1001,State Senate,,Audrey Spanko,DEM,125,17,51,57
Camp,Precinct 1001,State House,5,Lawyanda Prince,DEM,131,17,56,58
Camp,Precinct 2002,Registered Voters,,,,2152,,,
Camp,Precinct 2002,Ballots Cast Total,,,,813,47,456,310
Camp,Precinct 2002,Ballots Cast Republican Party,,,,657,24,397,236
