candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
Ballots Cast,,,,Coke,1 - RLISD CITY,32,202,59,293
Donald J Trump,President,,REP,Coke,1 - RLISD CITY,28,178,52,258
Joseph R Biden,President,,DEM,Coke,1 - RLISD CITY,4,23,5,32
Jo Jorgensen,President,,LIB,Coke,1 - RLISD CITY,0,1,2,3
Howie Hawkins,President,,GRN,Coke,1 - RLISD CITY,0,0,0,0
Under Votes,President,,,Coke,1 - RLISD CITY,0,3,0,3
Over Votes,President,,,Coke,1 - RLISD CITY,0,0,0,0
John Cornyn,U.S. Senate,,REP,Coke,1 - RLISD CITY,28,175,53,256
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Coke,1 - RLISD CITY,4,20,3,27
Kerry Douglas McKennon,U.S. Senate,,LIB,Coke,1 - RLISD CITY,0,5,3,8
David B. Collins,U.S. Senate,,GRN,Coke,1 - RLISD CITY,0,0,0,0
Under Votes,U.S. Senate,,,Coke,1 - RLISD CITY,0,5,0,5
Over Votes,U.S. Senate,,,Coke,1 - RLISD CITY,0,0,0,0
August Pfluger,U.S. House,11,REP,Coke,1 - RLISD CITY,26,176,52,254
Jon Mark Hogg,U.S. House,11,DEM,Coke,1 - RLISD CITY,3,19,2,24
Wacey Alpha Cody,U.S. House,11,LIB,Coke,1 - RLISD CITY,0,6,5,11
Under Votes,U.S. House,11,,Coke,1 - RLISD CITY,3,4,0,7
Over Votes,U.S. House,11,,Coke,1 - RLISD CITY,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Coke,1 - RLISD CITY,27,170,52,249
Chrysta Castaneda,Railroad Commissioner,,DEM,Coke,1 - RLISD CITY,3,20,4,27
Matt Sterett,Railroad Commissioner,,LIB,Coke,1 - RLISD CITY,0,6,2,8
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Coke,1 - RLISD CITY,0,0,1,1
Under Votes,Railroad Commissioner,,,Coke,1 - RLISD CITY,2,9,0,11
Over Votes,Railroad Commissioner,,,Coke,1 - RLISD CITY,0,0,0,0
Charles Perry,State Senate,28,REP,Coke,1 - RLISD CITY,23,186,55,264
Under Votes,State Senate,28,,Coke,1 - RLISD CITY,9,19,4,32
Over Votes,State Senate,28,,Coke,1 - RLISD CITY,0,0,0,0
Drew Darby,State Representative,72,REP,Coke,1 - RLISD CITY,22,189,52,263
Under Votes,State Representative,72,,Coke,1 - RLISD CITY,10,16,7,33
Over Votes,State Representative,72,,Coke,1 - RLISD CITY,0,0,0,0
Ballots Cast,,,,Coke,1 - RLISD,17,101,35,153
Donald J Trump,President,,REP,Coke,1 - RLISD,17,96,32,145
Joseph R Biden,President,,DEM,Coke,1 - RLISD,0,3,3,6
Jo Jorgensen,President,,LIB,Coke,1 - RLISD,0,1,0,1
Howie Hawkins,President,,GRN,Coke,1 - RLISD,0,1,0,1
Under Votes,President,,,Coke,1 - RLISD,0,0,1,1
Over Votes,President,,,Coke,1 - RLISD,0,0,0,0
John Cornyn,U.S. Senate,,REP,Coke,1 - RLISD,17,88,31,136
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Coke,1 - RLISD,0,6,3,9
Kerry Douglas McKennon,U.S. Senate,,LIB,Coke,1 - RLISD,0,1,1,2
David B. Collins,U.S. Senate,,GRN,Coke,1 - RLISD,0,1,0,1
Under Votes,U.S. Senate,,,Coke,1 - RLISD,0,5,1,6
Over Votes,U.S. Senate,,,Coke,1 - RLISD,0,0,0,0
August Pfluger,U.S. House,11,REP,Coke,1 - RLISD,16,90,32,138
Jon Mark Hogg,U.S. House,11,DEM,Coke,1 - RLISD,0,4,4,8
Wacey Alpha Cody,U.S. House,11,LIB,Coke,1 - RLISD,0,4,0,4
Under Votes,U.S. House,11,,Coke,1 - RLISD,1,3,0,4
Over Votes,U.S. House,11,,Coke,1 - RLISD,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Coke,1 - RLISD,17,87,33,137
Chrysta Castaneda,Railroad Commissioner,,DEM,Coke,1 - RLISD,0,3,3,6
Matt Sterett,Railroad Commissioner,,LIB,Coke,1 - RLISD,0,1,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Coke,1 - RLISD,0,1,0,1
Under Votes,Railroad Commissioner,,,Coke,1 - RLISD,0,9,0,9
Over Votes,Railroad Commissioner,,,Coke,1 - RLISD,0,0,0,0
Charles Perry,State Senate,28,REP,Coke,1 - RLISD,15,90,34,139
Under Votes,State Senate,28,,Coke,1 - RLISD,2,11,2,15
Over Votes,State Senate,28,,Coke,1 - RLISD,0,0,0,0
Drew Darby,State Representative,72,REP,Coke,1 - RLISD,14,91,32,137
Under Votes,State Representative,72,,Coke,1 - RLISD,3,10,4,17
Over Votes,State Representative,72,,Coke,1 - RLISD,0,0,0,0
Ballots Cast,,,,Coke,2 - C. BRONTE,15,99,80,194
Donald J Trump,President,,REP,Coke,2 - C. BRONTE,10,85,68,163
Joseph R Biden,President,,DEM,Coke,2 - C. BRONTE,5,14,10,29
Jo Jorgensen,President,,LIB,Coke,2 - C. BRONTE,0,0,1,1
Howie Hawkins,President,,GRN,Coke,2 - C. BRONTE,0,0,1,1
Under Votes,President,,,Coke,2 - C. BRONTE,1,0,0,1
Over Votes,President,,,Coke,2 - C. BRONTE,0,0,0,0
John Cornyn,U.S. Senate,,REP,Coke,2 - C. BRONTE,12,86,70,168
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Coke,2 - C. BRONTE,4,12,6,22
Kerry Douglas McKennon,U.S. Senate,,LIB,Coke,2 - C. BRONTE,0,0,1,1
David B. Collins,U.S. Senate,,GRN,Coke,2 - C. BRONTE,0,0,1,1
Under Votes,U.S. Senate,,,Coke,2 - C. BRONTE,0,1,2,3
Over Votes,U.S. Senate,,,Coke,2 - C. BRONTE,0,0,0,0
August Pfluger,U.S. House,11,REP,Coke,2 - C. BRONTE,9,87,64,160
Jon Mark Hogg,U.S. House,11,DEM,Coke,2 - C. BRONTE,5,11,9,25
Wacey Alpha Cody,U.S. House,11,LIB,Coke,2 - C. BRONTE,1,0,4,5
Under Votes,U.S. House,11,,Coke,2 - C. BRONTE,1,1,3,5
Over Votes,U.S. House,11,,Coke,2 - C. BRONTE,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Coke,2 - C. BRONTE,10,85,66,161
Chrysta Castaneda,Railroad Commissioner,,DEM,Coke,2 - C. BRONTE,4,10,5,19
Matt Sterett,Railroad Commissioner,,LIB,Coke,2 - C. BRONTE,0,1,2,3
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Coke,2 - C. BRONTE,0,0,1,1
Under Votes,Railroad Commissioner,,,Coke,2 - C. BRONTE,2,3,6,11
Over Votes,Railroad Commissioner,,,Coke,2 - C. BRONTE,0,0,0,0
Charles Perry,State Senate,28,REP,Coke,2 - C. BRONTE,11,88,73,172
Under Votes,State Senate,28,,Coke,2 - C. BRONTE,5,11,7,23
Over Votes,State Senate,28,,Coke,2 - C. BRONTE,0,0,0,0
Drew Darby,State Representative,72,REP,Coke,2 - C. BRONTE,8,86,76,170
Under Votes,State Representative,72,,Coke,2 - C. BRONTE,8,13,4,25
Over Votes,State Representative,72,,Coke,2 - C. BRONTE,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
