county,precinct,office,district,candidate,party,election_day,votes
Hudspeth,1,President,,DONALD J. TRUMP,REP,140,140
Hudspeth,1,President,,JOSEPH R. BIDEN,DEM,47,47
Hudspeth,1,President,,JO JORGENSEN,LBT,1,1
Hudspeth,1,President,,HOWIE HAWKINS,GRE,0,0
Hudspeth,1,President,,WRITE - IN,,0,0
Hudspeth,2,President,,DONALD J. TRUMP,REP,81,81
Hudspeth,2,President,,JOSEPH R. BIDEN,DEM,75,75
Hudspeth,2,President,,JO JORGENSEN,LBT,1,1
Hudspeth,2,President,,HOWIE HAWKINS,GRE,0,0
Hudspeth,2,President,,WRITE - IN,,0,0
Hudspeth,3N,President,,DONALD J. TRUMP,REP,43,43
Hudspeth,3N,President,,JOSEPH R. BIDEN,DEM,12,12
Hudspeth,3N,President,,JO JORGENSEN,LBT,0,0
Hudspeth,3N,President,,HOWIE HAWKINS,GRE,2,2
Hudspeth,3N,President,,WRITE - IN,,0,0
Hudspeth,3S,President,,DONALD J. TRUMP,REP,47,47
Hudspeth,3S,President,,JOSEPH R. BIDEN,DEM,22,22
Hudspeth,3S,President,,JO JORGENSEN,LBT,0,0
Hudspeth,3S,President,,HOWIE HAWKINS,GRE,1,1
Hudspeth,3S,President,,WRITE - IN,,0,0
Hudspeth,4,President,,DONALD J. TRUMP,REP,65,65
Hudspeth,4,President,,JOSEPH R. BIDEN,DEM,27,27
Hudspeth,4,President,,JO JORGENSEN,LBT,2,2
Hudspeth,4,President,,HOWIE HAWKINS,GRE,0,0
Hudspeth,4,President,,WRITE - IN,,0,0
Hudspeth,Mail,President,,DONALD J. TRUMP,REP,,28
Hudspeth,Mail,President,,JOSEPH R. BIDEN,DEM,,45
Hudspeth,Mail,President,,JO JORGENSEN,LBT,,0
Hudspeth,Mail,President,,HOWIE HAWKINS,GRE,,1
Hudspeth,Mail,President,,WRITE - IN,,,0
Hudspeth,Early Voting,President,,DONALD J. TRUMP,REP,,367
Hudspeth,Early Voting,President,,JOSEPH R. BIDEN,DEM,,143
Hudspeth,Early Voting,President,,JO JORGENSEN,LBT,,6
Hudspeth,Early Voting,President,,HOWIE HAWKINS,GRE,,1
Hudspeth,Early Voting,President,,WRITE - IN,,,0
Hudspeth,Provisional,President,,DONALD J. TRUMP,REP,,8
Hudspeth,1,U.S. Senate,,JOHN CORNYN,REP,118,118
Hudspeth,1,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,42,42
Hudspeth,1,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,6,6
Hudspeth,1,U.S. Senate,,DAVID B. COLLINS,GRE,3,3
Hudspeth,1,U.S. Senate,,WRITE - IN,,0,0
Hudspeth,2,U.S. Senate,,JOHN CORNYN,REP,61,61
Hudspeth,2,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,81,81
Hudspeth,2,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,2,2
Hudspeth,2,U.S. Senate,,DAVID B. COLLINS,GRE,2,2
Hudspeth,2,U.S. Senate,,WRITE - IN,,1,1
Hudspeth,3N,U.S. Senate,,JOHN CORNYN,REP,38,38
Hudspeth,3N,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,14,14
Hudspeth,3N,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,0,0
Hudspeth,3N,U.S. Senate,,DAVID B. COLLINS,GRE,3,3
Hudspeth,3N,U.S. Senate,,WRITE - IN,,0,0
Hudspeth,3S,U.S. Senate,,JOHN CORNYN,REP,35,35
Hudspeth,3S,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,24,24
Hudspeth,3S,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,1,1
Hudspeth,3S,U.S. Senate,,DAVID B. COLLINS,GRE,1,1
Hudspeth,3S,U.S. Senate,,WRITE - IN,,0,0
Hudspeth,4,U.S. Senate,,JOHN CORNYN,REP,59,59
Hudspeth,4,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,22,22
Hudspeth,4,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,3,3
Hudspeth,4,U.S. Senate,,DAVID B. COLLINS,GRE,2,2
Hudspeth,4,U.S. Senate,,WRITE - IN,,0,0
Hudspeth,Mail,U.S. Senate,,JOHN CORNYN,REP,,29
Hudspeth,Mail,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,,42
Hudspeth,Mail,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,,0
Hudspeth,Mail,U.S. Senate,,DAVID B. COLLINS,GRE,,1
Hudspeth,Mail,U.S. Senate,,WRITE - IN,,,0
Hudspeth,Early Voting,U.S. Senate,,JOHN CORNYN,REP,,333
Hudspeth,Early Voting,U.S. Senate,,"MARY ""MJ"" HEGAR",DEM,,148
Hudspeth,Early Voting,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,,9
Hudspeth,Early Voting,U.S. Senate,,DAVID B. COLLINS,GRE,,3
Hudspeth,Early Voting,U.S. Senate,,WRITE - IN,,,0
Hudspeth,Provisional,U.S. Senate,,JOHN CORNYN,REP,,7
Hudspeth,Provisional,U.S. Senate,,KERRY DOUGLAS McKENNON,LBT,,1
Hudspeth,1,U.S. House,23,TONY GONZALES,REP,108,108
Hudspeth,1,U.S. House,23,GINA ORTIZ JONES,DEM,49,49
Hudspeth,1,U.S. House,23,BETO VILLELA,LBT,14,14
Hudspeth,2,U.S. House,23,TONY GONZALES,REP,56,56
Hudspeth,2,U.S. House,23,GINA ORTIZ JONES,DEM,85,85
Hudspeth,2,U.S. House,23,BETO VILLELA,LBT,5,5
Hudspeth,3N,U.S. House,23,TONY GONZALES,REP,39,39
Hudspeth,3N,U.S. House,23,GINA ORTIZ JONES,DEM,17,17
Hudspeth,3N,U.S. House,23,BETO VILLELA,LBT,1,1
Hudspeth,3S,U.S. House,23,TONY GONZALES,REP,37,37
Hudspeth,3S,U.S. House,23,GINA ORTIZ JONES,DEM,25,25
Hudspeth,3S,U.S. House,23,BETO VILLELA,LBT,0,0
Hudspeth,4,U.S. House,23,TONY GONZALES,REP,63,63
Hudspeth,4,U.S. House,23,GINA ORTIZ JONES,DEM,25,25
Hudspeth,4,U.S. House,23,BETO VILLELA,LBT,0,0
Hudspeth,Mail,U.S. House,23,TONY GONZALES,REP,,24
Hudspeth,Mail,U.S. House,23,GINA ORTIZ JONES,DEM,,45
Hudspeth,Mail,U.S. House,23,BETO VILLELA,LBT,,2
Hudspeth,Early Voting,U.S. House,23,TONY GONZALES,REP,,325
Hudspeth,Early Voting,U.S. House,23,GINA ORTIZ JONES,DEM,,164
Hudspeth,Early Voting,U.S. House,23,BETO VILLELA,LBT,,14
Hudspeth,Provisional,U.S. House,23,TONY GONZALES,REP,,6
Hudspeth,Provisional,U.S. House,23,GINA ORTIZ JONES,DEM,,1
Hudspeth,Provisional,U.S. House,23,BETO VILLELA,LBT,,1
Hudspeth,1,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,108,108
Hudspeth,1,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,37,37
Hudspeth,1,Railroad Commissioner,,MATT STERETT,LBT,10,10
Hudspeth,1,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,4,4
Hudspeth,2,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,55,55
Hudspeth,2,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,84,84
Hudspeth,2,Railroad Commissioner,,MATT STERETT,LBT,3,3
Hudspeth,2,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,3,3
Hudspeth,3N,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,41,41
Hudspeth,3N,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,12,12
Hudspeth,3N,Railroad Commissioner,,MATT STERETT,LBT,1,1
Hudspeth,3N,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,1,1
Hudspeth,3S,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,37,37
Hudspeth,3S,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,21,21
Hudspeth,3S,Railroad Commissioner,,MATT STERETT,LBT,1,1
Hudspeth,3S,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,1,1
Hudspeth,4,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,61,61
Hudspeth,4,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,25,25
Hudspeth,4,Railroad Commissioner,,MATT STERETT,LBT,1,1
Hudspeth,4,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,0,0
Hudspeth,Mail,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,,25
Hudspeth,Mail,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,,42
Hudspeth,Mail,Railroad Commissioner,,MATT STERETT,LBT,,3
Hudspeth,Mail,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,,2
Hudspeth,Early Voting,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,,324
Hudspeth,Early Voting,Railroad Commissioner,,CHRYSTA CASTANEDA,DEM,,136
Hudspeth,Early Voting,Railroad Commissioner,,MATT STERETT,LBT,,19
Hudspeth,Early Voting,Railroad Commissioner,,"KATIJA ""KAT"" GRUENE",GRE,,4
Hudspeth,Provisional,Railroad Commissioner,,"JAMES ""JIM"" WRIGHT",REP,,7
Hudspeth,Provisional,Railroad Commissioner,,MATT STERETT,LBT,,1
Hudspeth,1,State Senate,29,BETHANY HATCH,REP,117,117
Hudspeth,1,State Senate,29,CESAR J. BLANCO,DEM,39,39
Hudspeth,2,State Senate,29,BETHANY HATCH,REP,60,60
Hudspeth,2,State Senate,29,CESAR J. BLANCO,DEM,86,86
Hudspeth,3N,State Senate,29,BETHANY HATCH,REP,43,43
Hudspeth,3N,State Senate,29,CESAR J. BLANCO,DEM,12,12
Hudspeth,3S,State Senate,29,BETHANY HATCH,REP,35,35
Hudspeth,3S,State Senate,29,CESAR J. BLANCO,DEM,23,23
Hudspeth,4,State Senate,29,BETHANY HATCH,REP,67,67
Hudspeth,4,State Senate,29,CESAR J. BLANCO,DEM,20,20
Hudspeth,Mail,State Senate,29,BETHANY HATCH,REP,,28
Hudspeth,Mail,State Senate,29,CESAR J. BLANCO,DEM,,45
Hudspeth,Early Voting,State Senate,29,BETHANY HATCH,REP,,331
Hudspeth,Early Voting,State Senate,29,CESAR J. BLANCO,DEM,,151
Hudspeth,1,State Representative,74,RUBEN FALCON,REP,111,111
Hudspeth,1,State Representative,74,EDDIE MORALES,DEM,51,51
Hudspeth,2,State Representative,74,RUBEN FALCON,REP,55,55
Hudspeth,2,State Representative,74,EDDIE MORALES,DEM,93,93
Hudspeth,3N,State Representative,74,RUBEN FALCON,REP,39,39
Hudspeth,3N,State Representative,74,EDDIE MORALES,DEM,16,16
Hudspeth,3S,State Representative,74,RUBEN FALCON,REP,34,34
Hudspeth,3S,State Representative,74,EDDIE MORALES,DEM,27,27
Hudspeth,4,State Representative,74,RUBEN FALCON,REP,61,61
Hudspeth,4,State Representative,74,EDDIE MORALES,DEM,26,26
Hudspeth,Mail,State Representative,74,RUBEN FALCON,REP,,29
Hudspeth,Mail,State Representative,74,EDDIE MORALES,DEM,,42
Hudspeth,Early Voting,State Representative,74,RUBEN FALCON,REP,,328
Hudspeth,Early Voting,State Representative,74,EDDIE MORALES,DEM,,161
