county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Lampasas,Precinct 1,Registered Voters,,,Registered Voters,2003,,,
Lampasas,Precinct 2,Registered Voters,,,Registered Voters,3409,,,
Lampasas,Precinct 3,Registered Voters,,,Registered Voters,2073,,,
Lampasas,Precinct 4,Registered Voters,,,Registered Voters,1326,,,
Lampasas,Precinct 5,Registered Voters,,,Registered Voters,552,,,
Lampasas,Precinct 6,Registered Voters,,,Registered Voters,513,,,
Lampasas,Precinct 7,Registered Voters,,,Registered Voters,842,,,
Lampasas,Precinct 8,Registered Voters,,,Registered Voters,1977,,,
Lampasas,Precinct 9,Registered Voters,,,Registered Voters,1836,,,
Lampasas,Precinct 1,Ballots Cast,,,Ballots Cast,540,30,145,365
Lampasas,Precinct 2,Ballots Cast,,,Ballots Cast,956,42,495,419
Lampasas,Precinct 3,Ballots Cast,,,Ballots Cast,408,25,206,177
Lampasas,Precinct 4,Ballots Cast,,,Ballots Cast,307,8,140,159
Lampasas,Precinct 5,Ballots Cast,,,Ballots Cast,219,5,123,91
Lampasas,Precinct 6,Ballots Cast,,,Ballots Cast,187,4,88,95
Lampasas,Precinct 7,Ballots Cast,,,Ballots Cast,288,8,60,220
Lampasas,Precinct 8,Ballots Cast,,,Ballots Cast,462,10,149,303
Lampasas,Precinct 9,Ballots Cast,,,Ballots Cast,505,7,195,303
Lampasas,Precinct 1,Ballots Cast,,REP,Ballots Cast,376,12,108,256
Lampasas,Precinct 2,Ballots Cast,,REP,Ballots Cast,748,16,411,321
Lampasas,Precinct 3,Ballots Cast,,REP,Ballots Cast,291,7,150,134
Lampasas,Precinct 4,Ballots Cast,,REP,Ballots Cast,231,1,118,112
Lampasas,Precinct 5,Ballots Cast,,REP,Ballots Cast,192,3,111,78
Lampasas,Precinct 6,Ballots Cast,,REP,Ballots Cast,157,0,79,78
Lampasas,Precinct 7,Ballots Cast,,REP,Ballots Cast,250,3,49,198
Lampasas,Precinct 8,Ballots Cast,,REP,Ballots Cast,339,4,118,217
Lampasas,Precinct 9,Ballots Cast,,REP,Ballots Cast,402,4,170,228
Lampasas,Precinct 1,Ballots Cast,,DEM,Ballots Cast,164,18,37,109
Lampasas,Precinct 2,Ballots Cast,,DEM,Ballots Cast,208,26,84,98
