county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Aransas,1,President,,REP,Zoltan G. Istvan,0,0,1,1
Aransas,1,President,,REP,Joe Walsh,0,0,3,3
Aransas,1,President,,REP,Bill Weld,1,0,1,2
Aransas,1,President,,REP,Bob Ely,0,0,0,0
Aransas,1,President,,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Aransas,1,President,,REP,Matthew John Matern,0,0,1,1
Aransas,1,President,,REP,Donald J. Trump,210,25,248,483
Aransas,1,President,,REP,Uncommitted,15,3,15,33
Aransas,1,President,,REP,Ballots Cast,226,28,269,523
Aransas,1,President,,REP,Undervotes,1,0,1,2
Aransas,1,President,,REP,Overvotes,0,0,0,0
Aransas,1,United States Senator,,REP,John Cornyn,149,19,215,383
Aransas,1,United States Senator,,REP,Mark Yancey,23,3,7,33
Aransas,1,United States Senator,,REP,John Anthony Castro,13,1,8,22
Aransas,1,United States Senator,,REP,Dwayne Stovall,22,0,23,45
Aransas,1,United States Senator,,REP,Virgil Bierschwale,0,0,5,5
Aransas,1,United States Senator,,REP,Ballots Cast,207,23,258,488
Aransas,1,United States Senator,,REP,Undervotes,20,5,12,37
Aransas,1,United States Senator,,REP,Overvotes,0,0,0,0
Aransas,1,"United States Representative, District No. 27",,REP,Michael Cloud,204,21,259,484
Aransas,1,"United States Representative, District No. 27",,REP,Ballots Cast,204,21,259,484
Aransas,1,"United States Representative, District No. 27",,REP,Undervotes,23,7,11,41
Aransas,1,"United States Representative, District No. 27",,REP,Overvotes,0,0,0,0
Aransas,1,Railroad Commissioner,,REP,Ryan Sitton,62,10,91,163
Aransas,1,Railroad Commissioner,,REP,"James ""Jim"" Wright",138,11,144,293
Aransas,1,Railroad Commissioner,,REP,Ballots Cast,200,21,235,456
Aransas,1,Railroad Commissioner,,REP,Undervotes,27,7,35,69
Aransas,1,Railroad Commissioner,,REP,Overvotes,0,0,0,0
Aransas,1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,195,19,234,448
Aransas,1,"Chief Justice, Supreme Court",,REP,Ballots Cast,195,19,234,448
Aransas,1,"Chief Justice, Supreme Court",,REP,Undervotes,32,9,36,77
Aransas,1,"Chief Justice, Supreme Court",,REP,Overvotes,0,0,0,0
Aransas,1,"Justice, Supreme Court, Place 6",,REP,Jane Bland,191,19,230,440
Aransas,1,"Justice, Supreme Court, Place 6",,REP,Ballots Cast,191,19,230,440
Aransas,1,"Justice, Supreme Court, Place 6",,REP,Undervotes,36,9,40,85
Aransas,1,"Justice, Supreme Court, Place 6",,REP,Overvotes,0,0,0,0
Aransas,1,"Justice, Supreme Court, Place 7",,REP,Jeff Boyd,189,19,229,437
Aransas,1,"Justice, Supreme Court, Place 7",,REP,Ballots Cast,189,19,229,437
Aransas,1,"Justice, Supreme Court, Place 7",,REP,Undervotes,38,9,41,88
Aransas,1,"Justice, Supreme Court, Place 7",,REP,Overvotes,0,0,0,0
Aransas,1,"Justice, Supreme Court, Place 8",,REP,Brett Busby,192,19,227,438
Aransas,1,"Justice, Supreme Court, Place 8",,REP,Ballots Cast,192,19,227,438
Aransas,1,"Justice, Supreme Court, Place 8",,REP,Undervotes,35,9,43,87
Aransas,1,"Justice, Supreme Court, Place 8",,REP,Overvotes,0,0,0,0
Aransas,1,"Judge, Court of Criminal Appeals, Place 3",,REP,Gina Parker,99,4,129,232
Aransas,1,"Judge, Court of Criminal Appeals, Place 3",,REP,Bert Richardson,97,13,97,207
Aransas,1,"Judge, Court of Criminal Appeals, Place 3",,REP,Ballots Cast,196,17,226,439
Aransas,1,"Judge, Court of Criminal Appeals, Place 3",,REP,Undervotes,31,11,44,86
Aransas,1,"Judge, Court of Criminal Appeals, Place 3",,REP,Overvotes,0,0,0,0
Aransas,1,"Judge, Court of Criminal Appeals, Place 4",,REP,Kevin Patrick Yeary,189,19,226,434
Aransas,1,"Judge, Court of Criminal Appeals, Place 4",,REP,Ballots Cast,189,19,226,434
Aransas,1,"Judge, Court of Criminal Appeals, Place 4",,REP,Undervotes,38,9,44,91
Aransas,1,"Judge, Court of Criminal Appeals, Place 4",,REP,Overvotes,0,0,0,0
Aransas,1,"Judge, Court of Criminal Appeals, Place 9",,REP,David Newell,189,19,228,436
Aransas,1,"Judge, Court of Criminal Appeals, Place 9",,REP,Ballots Cast,189,19,228,436
Aransas,1,"Judge, Court of Criminal Appeals, Place 9",,REP,Undervotes,38,9,42,89
Aransas,1,"Judge, Court of Criminal Appeals, Place 9",,REP,Overvotes,0,0,0,0
Aransas,1,"State Senator, District 18",,REP,Lois W. Kolkhorst,193,19,228,440
