county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Gaines,2,President,,Donald J. Trump Michael R. Pence,REP,48,1025,151,1224
Gaines,2,President,,Joseph R. Biden Kamala D. Harris,DEM,13,80,19,112
Gaines,2,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,1,6,6,13
Gaines,2,President,,Howie Hawkins Angela Walker,GRN,0,1,0,1
Gaines,2,President,,Brian Carroll (W),,0,1,0,1
Gaines,2,President,,JOAQUIN GUZMAN (W),,0,0,0,0
Gaines,2,U.S. Senate,,John Cornyn,REP,49,984,145,1178
Gaines,2,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,13,78,20,111
Gaines,2,U.S. Senate,,Kerry Douglas McKennon,LIB,0,14,5,19
Gaines,2,U.S. Senate,,David B. Collins,GRN,0,3,0,3
Gaines,2,U.S. House,19,Jodey C. Arrington,REP,46,989,149,1184
Gaines,2,U.S. House,19,Tom Watson,DEM,13,71,17,101
Gaines,2,U.S. House,19,Joe Burnes,LIB,0,18,5,23
Gaines,2,Railroad Commissioner,,"James ""Jim"" Wright",REP,47,965,144,1156
Gaines,2,Railroad Commissioner,,Chrysta Castañeda,DEM,13,81,16,110
Gaines,2,Railroad Commissioner,,Matt Sterett,LIB,0,17,7,24
Gaines,2,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,2,2,4
Gaines,2,State Representative,83,Dustin Burrows,REP,46,976,151,1173
Gaines,2,State Representative,83,Addison Perry-Franks,DEM,13,84,17,114
Gaines,3,President,,Donald J. Trump Michael R. Pence,REP,54,1644,142,1840
Gaines,3,President,,Joseph R. Biden Kamala D. Harris,DEM,16,86,19,121
Gaines,3,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,11,3,14
Gaines,3,President,,Howie Hawkins Angela Walker,GRN,0,0,0,0
Gaines,3,President,,Brian Carroll (W),,0,0,0,0
Gaines,3,President,,JOAQUIN GUZMAN (W),,0,0,0,0
Gaines,3,U.S. Senate,,John Cornyn,REP,53,1579,137,1769
Gaines,3,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,16,89,15,120
Gaines,3,U.S. Senate,,Kerry Douglas McKennon,LIB,0,19,4,23
Gaines,3,U.S. Senate,,David B. Collins,GRN,0,0,0,0
Gaines,3,U.S. House,19,Jodey C. Arrington,REP,52,1587,140,1779
Gaines,3,U.S. House,19,Tom Watson,DEM,14,70,16,100
Gaines,3,U.S. House,19,Joe Burnes,LIB,0,25,4,29
Gaines,3,Railroad Commissioner,,"James ""Jim"" Wright",REP,55,1567,138,1760
Gaines,3,Railroad Commissioner,,Chrysta Castañeda,DEM,13,73,16,102
Gaines,3,Railroad Commissioner,,Matt Sterett,LIB,0,23,3,26
Gaines,3,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,0,1,1,2
Gaines,3,State Representative,83,Dustin Burrows,REP,49,1557,141,1747
Gaines,3,State Representative,83,Addison Perry-Franks,DEM,14,97,13,124
Gaines,4,President,,Donald J. Trump Michael R. Pence,REP,19,665,96,780
