county,precinct,office,district,candidate,party,votes,early_voting,election day,mail
Somervell,Precinct 1,Registered Voters,,,,1312,,,
Somervell,Precinct 1,Ballots Cast Total,,,,598,314,266,18
Somervell,Precinct 1,Ballots Cast,,,REP,545,293,236,16
Somervell,Precinct 1,Ballots Cast,,,DEM,53,21,30,2
Somervell,Precinct 1,President,,Elizabeth Warren,DEM,10,4,6,0
Somervell,Precinct 1,President,,Robby Wells,DEM,0,0,0,0
Somervell,Precinct 1,President,,Marianne Williamson,DEM,0,0,0,0
Somervell,Precinct 1,President,,Pete Buttigieg,DEM,1,1,0,0
Somervell,Precinct 1,President,,Tulsi Gabbard,DEM,0,0,0,0
Somervell,Precinct 1,President,,Deval Patrick,DEM,0,0,0,0
Somervell,Precinct 1,President,,Michael R. Bloomberg,DEM,3,2,1,0
Somervell,Precinct 1,President,,Bernie Sanders,DEM,19,8,11,0
Somervell,Precinct 1,President,,Julian Castro,DEM,1,0,1,0
Somervell,Precinct 1,President,,Amy Klobuchar,DEM,4,4,0,0
Somervell,Precinct 1,President,,Cory Booker,DEM,0,0,0,0
Somervell,Precinct 1,President,,Andrew Yang,DEM,0,0,0,0
Somervell,Precinct 1,President,,John K. Delaney,DEM,0,0,0,0
Somervell,Precinct 1,President,,Joseph R. Biden,DEM,15,2,11,2
Somervell,Precinct 1,President,,Tom Steyer,DEM,0,0,0,0
Somervell,Precinct 1,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Somervell,Precinct 1,President,,Michael Bennet,DEM,0,0,0,0
Somervell,Precinct 1,President,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 1,President,,Under Votes,DEM,0,0,0,0
Somervell,Precinct 1,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,2,0,2,0
Somervell,Precinct 1,U.S. Senate,,Adrian Ocegueda,DEM,1,0,1,0
Somervell,Precinct 1,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,2,1,1,0
Somervell,Precinct 1,U.S. Senate,,Mary (MJ) Hegar,DEM,27,15,10,2
Somervell,Precinct 1,U.S. Senate,,Sema Hernandez,DEM,2,0,2,0
Somervell,Precinct 1,U.S. Senate,,Chris Bell,DEM,2,0,2,0
Somervell,Precinct 1,U.S. Senate,,Royce West,DEM,7,4,3,0
Somervell,Precinct 1,U.S. Senate,,Michael Cooper,DEM,0,0,0,0
Somervell,Precinct 1,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,5,0,5,0
Somervell,Precinct 1,U.S. Senate,,Victor Hugo Harris,DEM,2,0,2,0
Somervell,Precinct 1,U.S. Senate,,D. R. Hunter,DEM,0,0,0,0
Somervell,Precinct 1,U.S. Senate,,Amanda K. Edwards,DEM,2,1,1,0
Somervell,Precinct 1,U.S. Senate,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 1,U.S. Senate,,Under Votes,DEM,1,0,1,0
Somervell,Precinct 1,U.S. House,25,Heidi Sloan,DEM,13,3,10,0
Somervell,Precinct 1,U.S. House,25,Julie Oliver,DEM,33,16,15,2
Somervell,Precinct 1,U.S. House,25,Over Votes,DEM,0,0,0,0
Somervell,Precinct 1,U.S. House,25,Under Votes,DEM,7,2,5,0
Somervell,Precinct 1,Railroad Commissioner,,Kelly Stone,DEM,15,5,8,2
Somervell,Precinct 1,Railroad Commissioner,,Mark Watson,DEM,9,4,5,0
Somervell,Precinct 1,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,13,7,6,0
Somervell,Precinct 1,Railroad Commissioner,,Chrysta Castaneda,DEM,7,2,5,0
Somervell,Precinct 1,Railroad Commissioner,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 1,Railroad Commissioner,,Under Votes,DEM,9,3,6,0
Somervell,Precinct 1,State Senate,22,Robert Vick,DEM,40,15,23,2
Somervell,Precinct 1,State Senate,22,Over Votes,DEM,0,0,0,0
Somervell,Precinct 1,State Senate,22,Under Votes,DEM,13,6,7,0
Somervell,Precinct 2,Registered Voters,,,,1778,,,
Somervell,Precinct 2,Ballots Cast Total,,,,795,440,319,36
Somervell,Precinct 2,Ballots Cast,,,REP,696,400,272,24
Somervell,Precinct 2,Ballots Cast,,,DEM,101,40,49,12
Somervell,Precinct 2,President,,Elizabeth Warren,DEM,9,2,5,2
Somervell,Precinct 2,President,,Robby Wells,DEM,1,0,0,1
Somervell,Precinct 2,President,,Marianne Williamson,DEM,0,0,0,0
Somervell,Precinct 2,President,,Pete Buttigieg,DEM,4,4,0,0
Somervell,Precinct 2,President,,Tulsi Gabbard,DEM,0,0,0,0
Somervell,Precinct 2,President,,Deval Patrick,DEM,0,0,0,0
Somervell,Precinct 2,President,,Michael R. Bloomberg,DEM,19,10,7,2
Somervell,Precinct 2,President,,Bernie Sanders,DEM,31,11,16,4
Somervell,Precinct 2,President,,Julian Castro,DEM,0,0,0,0
Somervell,Precinct 2,President,,Amy Klobuchar,DEM,2,2,0,0
Somervell,Precinct 2,President,,Cory Booker,DEM,0,0,0,0
Somervell,Precinct 2,President,,Andrew Yang,DEM,0,0,0,0
Somervell,Precinct 2,President,,John K. Delaney,DEM,0,0,0,0
Somervell,Precinct 2,President,,Joseph R. Biden,DEM,32,9,20,3
Somervell,Precinct 2,President,,Tom Steyer,DEM,2,1,1,0
Somervell,Precinct 2,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Somervell,Precinct 2,President,,Michael Bennet,DEM,0,0,0,0
Somervell,Precinct 2,President,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 2,President,,Under Votes,DEM,1,1,0,0
Somervell,Precinct 2,U.S. Senate,,"Jack Daniel Foster, Jr.",DEM,6,3,3,0
Somervell,Precinct 2,U.S. Senate,,Adrian Ocegueda,DEM,1,1,0,0
Somervell,Precinct 2,U.S. Senate,,Cristina Tzintzun Ramirez,DEM,13,3,8,2
Somervell,Precinct 2,U.S. Senate,,Mary (MJ) Hegar,DEM,29,16,12,1
Somervell,Precinct 2,U.S. Senate,,Sema Hernandez,DEM,4,1,3,0
Somervell,Precinct 2,U.S. Senate,,Chris Bell,DEM,5,2,1,2
Somervell,Precinct 2,U.S. Senate,,Royce West,DEM,10,3,4,3
Somervell,Precinct 2,U.S. Senate,,Michael Cooper,DEM,1,0,0,1
Somervell,Precinct 2,U.S. Senate,,"Annie ""Mama"" Garcia",DEM,8,3,3,2
Somervell,Precinct 2,U.S. Senate,,Victor Hugo Harris,DEM,2,2,0,0
Somervell,Precinct 2,U.S. Senate,,D. R. Hunter,DEM,1,0,1,0
Somervell,Precinct 2,U.S. Senate,,Amanda K. Edwards,DEM,5,1,4,0
Somervell,Precinct 2,U.S. Senate,,Over Votes,DEM,0,0,0,0
Somervell,Precinct 2,U.S. Senate,,Under Votes,DEM,16,5,10,1
Somervell,Precinct 2,U.S. House,25,Heidi Sloan,DEM,29,10,15,4
Somervell,Precinct 2,U.S. House,25,Julie Oliver,DEM,49,21,23,5
Somervell,Precinct 2,U.S. House,25,Over Votes,DEM,0,0,0,0
Somervell,Precinct 2,U.S. House,25,Under Votes,DEM,23,9,11,3
Somervell,Precinct 2,Railroad Commissioner,,Kelly Stone,DEM,35,15,16,4
Somervell,Precinct 2,Railroad Commissioner,,Mark Watson,DEM,8,4,3,1
